Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,24.974403,[28  7] ; [ 4 22],[18.36065574 16.63934426] ; [13.63934426 12.36065574],1
p11,1,3.4e-05,17.184675,[28  7] ; [ 7 19],[20.08196721 14.91803279] ; [14.91803279 11.08196721],1
n5,1,0.002226,9.353213,[27  8] ; [10 16],[21.2295082 13.7704918] ; [15.7704918 10.2295082],0
r3,1,0.003114,8.739496,[29  5] ; [13 13],[23.8 10.2] ; [18.2  7.8],0
p2,1,0.011461,6.392363,[26  9] ; [11 15],[21.2295082 13.7704918] ; [15.7704918 10.2295082],0
a5,1,0.013173,6.145698,[22 13] ; [ 8 18],[17.21311475 17.78688525] ; [12.78688525 13.21311475],0
s8,1,0.025172,5.012003,[11 24] ; [ 2 24],[ 7.45901639 27.54098361] ; [ 5.54098361 20.45901639],0
p8,1,0.039514,4.238619,[16 19] ; [ 5 20],[12.25 22.75] ; [ 8.75 16.25],0
p7,1,0.081455,3.035625,[20 15] ; [ 9 17],[16.63934426 18.36065574] ; [12.36065574 13.63934426],0
n6,1,0.094249,2.800259,[23 11] ; [12 14],[19.83333333 14.16666667] ; [15.16666667 10.83333333],0
p4,1,0.106626,2.603531,[18 17] ; [ 8 18],[14.91803279 20.08196721] ; [11.08196721 14.91803279],0
r4,1,0.108162,2.580877,[10 25] ; [ 3 23],[ 7.45901639 27.54098361] ; [ 5.54098361 20.45901639],0
v4,1,0.126582,2.333926,[23 12] ; [12 14],[20.08196721 14.91803279] ; [14.91803279 11.08196721],0
n2,1,0.141326,2.163462,[9 3] ; [6 7],[7.2 4.8] ; [7.8 5.2],0
a2,1,0.175552,1.83488,[ 1 34] ; [ 3 23],[ 2.29508197 32.70491803] ; [ 1.70491803 24.29508197],0
s7,1,0.201717,1.629896,[ 9 24] ; [ 3 20],[ 7.07142857 25.92857143] ; [ 4.92857143 18.07142857],0
b4,1,0.31487,1.010137,[17 18] ; [16 10],[18.93442623 16.06557377] ; [14.06557377 11.93442623],0
u2,1,0.376017,0.783683,[10  7] ; [6 8],[8.77419355 8.22580645] ; [7.22580645 6.77419355],0
p1,1,0.387797,0.745838,[ 1 34] ; [ 2 24],[ 1.72131148 33.27868852] ; [ 1.27868852 24.72131148],0
p12,1,0.460939,0.543614,[ 3 32] ; [ 1 25],[ 2.29508197 32.70491803] ; [ 1.70491803 24.29508197],0
v3,1,0.46781,0.527144,[ 8 27] ; [ 4 22],[ 6.8852459 28.1147541] ; [ 5.1147541 20.8852459],0
v1,1,0.471857,0.517624,[11 24] ; [ 6 20],[ 9.75409836 25.24590164] ; [ 7.24590164 18.75409836],0
d3,1,0.480548,0.497619,[18 17] ; [11 15],[16.63934426 18.36065574] ; [12.36065574 13.63934426],0
p5,1,0.484018,0.489796,[ 3 32] ; [ 1 24],[ 2.33333333 32.66666667] ; [ 1.66666667 23.33333333],0
d1,1,0.48723,0.482637,[ 8 27] ; [ 8 18],[ 9.18032787 25.81967213] ; [ 6.81967213 19.18032787],0
a8,1,0.487998,0.480937,[ 6 26] ; [ 3 22],[ 5.05263158 26.94736842] ; [ 3.94736842 21.05263158],0
r1,1,0.567511,0.326866,[11 24] ; [10 16],[12.04918033 22.95081967] ; [ 8.95081967 17.04918033],0
n1,1,0.568261,0.3256,[4 8] ; [ 3 10],[3.36 8.64] ; [3.64 9.36],0
n3,1,0.570632,0.321626,[7 5] ; [9 4],[7.68 4.32] ; [8.32 4.68],0
n4,1,0.57983,0.306509,[20 15] ; [13 13],[18.93442623 16.06557377] ; [14.06557377 11.93442623],0
s6,1,0.667832,0.184149,[14 21] ; [ 9 17],[13.19672131 21.80327869] ; [ 9.80327869 16.19672131],0
b5,1,0.683015,0.166752,[22 13] ; [15 11],[21.2295082 13.7704918] ; [15.7704918 10.2295082],0
d4,1,0.683015,0.166752,[22 13] ; [15 11],[21.2295082 13.7704918] ; [15.7704918 10.2295082],0
p3,1,0.693012,0.155844,[10 25] ; [ 6 19],[ 9.33333333 25.66666667] ; [ 6.66666667 18.33333333],0
s1,1,0.700375,0.148082,[ 3 32] ; [ 3 23],[ 3.44262295 31.55737705] ; [ 2.55737705 23.44262295],0
a4,1,0.702791,0.145585,[11 24] ; [ 7 19],[10.32786885 24.67213115] ; [ 7.67213115 18.32786885],0
b3,1,0.725622,0.123169,[ 6 15] ; [ 4 13],[ 5.52631579 15.47368421] ; [ 4.47368421 12.52631579],0
b2,1,0.725622,0.123169,[ 6 15] ; [ 4 13],[ 5.52631579 15.47368421] ; [ 4.47368421 12.52631579],0
u3,1,0.749518,0.101936,[ 4 13] ; [ 4 10],[ 4.38709677 12.61290323] ; [ 3.61290323 10.38709677],0
a6,1,0.791085,0.070173,[16 19] ; [11 15],[15.49180328 19.50819672] ; [11.50819672 14.49180328],0
a3,1,0.793428,0.068571,[18 17] ; [12 13],[17.5 17.5] ; [12.5 12.5],0
v2,1,0.800815,0.063652,[12 22] ; [10 16],[12.46666667 21.53333333] ; [ 9.53333333 16.46666667],0
d5,1,0.851677,0.034961,[18 17] ; [14 12],[18.36065574 16.63934426] ; [13.63934426 12.36065574],0
s4,1,0.854458,0.033648,[ 6 29] ; [ 4 22],[ 5.73770492 29.26229508] ; [ 4.26229508 21.73770492],0
d2,1,0.887081,0.020164,[10 25] ; [ 7 19],[ 9.75409836 25.24590164] ; [ 7.24590164 18.75409836],0
a1,1,0.901488,0.015322,[ 3 32] ; [ 2 24],[ 2.86885246 32.13114754] ; [ 2.13114754 23.86885246],0
a7,1,0.912117,0.012181,[18 17] ; [13 13],[17.78688525 17.21311475] ; [13.21311475 12.78688525],0
s2,1,0.915473,0.011265,[ 9 26] ; [ 7 19],[ 9.18032787 25.81967213] ; [ 6.81967213 19.18032787],0
p6,1,0.961804,0.002293,[ 6 29] ; [ 4 20],[ 5.93220339 29.06779661] ; [ 4.06779661 19.93220339],0
s3,1,0.962584,0.002201,[11 24] ; [ 8 17],[11.08333333 23.91666667] ; [ 7.91666667 17.08333333],0
b1,1,0.97862,0.000718,[23 12] ; [17  9],[22.95081967 12.04918033] ; [17.04918033  8.95081967],0
