Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,30.46487,[93 19] ; [132 119],[69.4214876 42.5785124] ; [155.5785124  95.4214876],1
s2,1,0.0,28.770824,[77 34] ; [ 97 153],[53.50138504 57.49861496] ; [120.49861496 129.50138504],1
s4,1,6.2e-05,16.030323,[30 79] ; [ 27 224],[17.25833333 91.74166667] ; [ 39.74166667 211.25833333],1
s7,1,8.5e-05,15.454207,[64 44] ; [ 88 152],[47.17241379 60.82758621] ; [104.82758621 135.17241379],1
s3,1,0.000194,13.893147,[73 36] ; [114 136],[56.77715877 52.22284123] ; [130.22284123 119.77715877],1
s8,1,0.000204,13.793326,[55 57] ; [ 73 179],[39.38461538 72.61538462] ; [ 88.61538462 163.38461538],1
p1,1,0.003695,8.427953,[ 12 100] ; [  8 243],[  6.1707989 105.8292011] ; [ 13.8292011 237.1707989],0
p12,1,0.008757,6.871642,[ 11 101] ; [  8 243],[  5.86225895 106.13774105] ; [ 13.13774105 237.86225895],0
p6,1,0.013325,6.125458,[32 79] ; [ 43 205],[23.18941504 87.81058496] ; [ 51.81058496 196.18941504],0
p5,1,0.022099,5.237958,[ 10 102] ; [  8 239],[  5.61559889 106.38440111] ; [ 12.38440111 234.61559889],0
v1,1,0.023709,5.115811,[59 50] ; [100 143],[49.23579545 59.76420455] ; [109.76420455 133.23579545],0
p3,1,0.026011,4.95529,[47 65] ; [ 75 175],[37.74585635 74.25414365] ; [ 84.25414365 165.74585635],0
p10,1,0.030132,4.701727,[88 23] ; [171  80],[79.41712707 31.58287293] ; [179.58287293  71.41712707],0
p9,1,0.030271,4.693829,[92 18] ; [182  67],[83.95543175 26.04456825] ; [190.04456825  58.95543175],0
a2,1,0.036258,4.384928,[39 73] ; [ 61 191],[30.76923077 81.23076923] ; [ 69.23076923 182.76923077],0
a5,1,0.044317,4.044444,[88 24] ; [172  80],[80. 32.] ; [180.  72.],0
p4,1,0.044332,4.043876,[55 56] ; [ 96 155],[46.30110497 64.69889503] ; [104.69889503 146.30110497],0
r4,1,0.052553,3.758067,[98 14] ; [199  53],[91.38461538 20.61538462] ; [205.61538462  46.38461538],0
d2,1,0.063426,3.445459,[67 44] ; [125 126],[58.87292818 52.12707182] ; [133.12707182 117.87292818],0
n6,1,0.067045,3.353917,[92 18] ; [188  63],[85.31855956 24.68144044] ; [194.68144044  56.31855956],0
n1,1,0.075116,3.167524,[16 16] ; [27 57],[11.86206897 20.13793103] ; [31.13793103 52.86206897],0
a3,1,0.086376,2.940643,[88 23] ; [178  74],[81.33884298 29.66115702] ; [184.66115702  67.33884298],0
v4,1,0.109446,2.562198,[103   7] ; [222  30],[98.75690608 11.24309392] ; [226.24309392  25.75690608],0
n2,1,0.114739,2.487704,[25  8] ; [50 33],[21.3362069 11.6637931] ; [53.6637931 29.3362069],0
r2,1,0.131867,2.270383,[103   6] ; [223  26],[99.25698324  9.74301676] ; [226.74301676  22.25698324],0
a7,1,0.155624,2.016244,[75 37] ; [187  65],[80.61538462 31.38461538] ; [181.38461538  70.61538462],0
d5,1,0.156125,2.011359,[99 13] ; [208  44],[94.46153846 17.53846154] ; [212.53846154  39.46153846],0
p7,1,0.156908,2.003771,[52 58] ; [ 97 150],[45.91036415 64.08963585] ; [103.08963585 143.91036415],0
p2,1,0.241663,1.370868,[83 29] ; [170  80],[78.27624309 33.72375691] ; [174.72375691  75.27624309],0
p11,1,0.259547,1.271172,[72 40] ; [177  75],[76.61538462 35.38461538] ; [172.38461538  79.61538462],0
u1,1,0.268267,1.225589,[28 84] ; [ 50 202],[24. 88.] ; [ 54. 198.],0
a4,1,0.270774,1.212821,[61 51] ; [121 130],[56.15426997 55.84573003] ; [125.84573003 125.15426997],0
u4,1,0.340018,0.910364,[  1 111] ; [  6 246],[  2.15384615 109.84615385] ; [  4.84615385 247.15384615],0
v3,1,0.348278,0.879722,[33 75] ; [ 85 153],[36.83236994 71.16763006] ; [ 81.16763006 156.83236994],0
r1,1,0.376977,0.780536,[88 23] ; [189  63],[84.70247934 26.29752066] ; [192.29752066  59.70247934],0
r3,1,0.504824,0.444781,[104   7] ; [231  21],[102.43801653   8.56198347] ; [232.56198347  19.43801653],0
s1,1,0.528496,0.397283,[  5 105] ; [  8 242],[  3.97222222 106.02777778] ; [  9.02777778 240.97222222],0
v2,1,0.560019,0.339672,[60 49] ; [123 115],[57.48414986 51.51585014] ; [125.51585014 112.48414986],0
d1,1,0.57061,0.321662,[75 37] ; [161  91],[72.61538462 39.38461538] ; [163.38461538  88.61538462],0
a6,1,0.594274,0.283719,[76 36] ; [178  74],[78.15384615 33.84615385] ; [175.84615385  76.15384615],0
b3,1,0.611783,0.257586,[27 45] ; [62 89],[28.73542601 43.26457399] ; [60.26457399 90.73542601],0
b2,1,0.611783,0.257586,[27 45] ; [62 89],[28.73542601 43.26457399] ; [60.26457399 90.73542601],0
u2,1,0.615869,0.251716,[12 10] ; [43 28],[13.01075269  8.98924731] ; [41.98924731 29.01075269],0
d3,1,0.617785,0.248993,[85 27] ; [185  67],[83.07692308 28.92307692] ; [186.92307692  65.07692308],0
b1,1,0.619231,0.246951,[44 68] ; [106 146],[46.15384615 65.84615385] ; [103.84615385 148.15384615],0
b4,1,0.664735,0.187822,[72 40] ; [156  96],[70.15384615 41.84615385] ; [157.84615385  94.15384615],0
u3,1,0.668129,0.183798,[15  9] ; [42 31],[14.10309278  9.89690722] ; [42.89690722 30.10309278],0
