Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,5.4e-05,16.309172,[10 15] ; [54 11],[17.77777778  7.22222222] ; [46.22222222 18.77777778],1
p9,1,0.000156,14.293579,[12 12] ; [57  8],[18.60674157  5.39325843] ; [50.39325843 14.60674157],1
p2,1,0.000158,14.276329,[ 9 16] ; [50 14],[16.57303371  8.42696629] ; [42.42696629 21.57303371],1
s6,1,0.0015,10.079186,[ 7 17] ; [44 22],[13.6 10.4] ; [37.4 28.6],0
r3,1,0.002958,8.833434,[17  8] ; [61  5],[21.42857143  3.57142857] ; [56.57142857  9.42857143],0
p8,1,0.003745,8.403703,[ 3 21] ; [29 34],[ 8.82758621 15.17241379] ; [23.17241379 39.82758621],0
v3,1,0.003745,8.403703,[ 3 21] ; [29 34],[ 8.82758621 15.17241379] ; [23.17241379 39.82758621],0
v1,1,0.01312,6.152875,[ 6 19] ; [33 29],[11.20689655 13.79310345] ; [27.79310345 34.20689655],0
v2,1,0.015234,5.889147,[ 9 16] ; [40 22],[14.08045977 10.91954023] ; [34.91954023 27.08045977],0
b4,1,0.015944,5.809091,[11 14] ; [47 19],[15.93406593  9.06593407] ; [42.06593407 23.93406593],0
n5,1,0.017451,5.650438,[12 13] ; [49 17],[16.75824176  8.24175824] ; [44.24175824 21.75824176],0
s8,1,0.018845,5.515848,[ 5 20] ; [31 35],[ 9.89010989 15.10989011] ; [26.10989011 39.89010989],0
r4,1,0.020794,5.344011,[10 15] ; [44 22],[14.83516484 10.16483516] ; [39.16483516 26.83516484],0
s2,1,0.023567,5.126205,[ 7 18] ; [36 30],[11.81318681 13.18681319] ; [31.18681319 34.81318681],0
b1,1,0.041971,4.136364,[15 10] ; [24 42],[10.71428571 14.28571429] ; [28.28571429 37.71428571],0
p6,1,0.049009,3.87503,[ 5 18] ; [28 34],[ 8.92941176 14.07058824] ; [24.07058824 37.92941176],0
p4,1,0.058778,3.571532,[ 9 15] ; [39 26],[12.94382022 11.05617978] ; [35.05617978 29.94382022],0
b2,1,0.067889,3.333333,[9 6] ; [15 30],[6. 9.] ; [18. 27.],0
b3,1,0.067889,3.333333,[9 6] ; [15 30],[6. 9.] ; [18. 27.],0
s4,1,0.071695,3.243782,[ 8 17] ; [10 56],[ 4.94505495 20.05494505] ; [13.05494505 52.94505495],0
v4,1,0.071695,3.243782,[17  8] ; [56 10],[20.05494505  4.94505495] ; [52.94505495 13.05494505],0
n2,1,0.109781,2.557367,[7 7] ; [16  5],[9.2 4.8] ; [13.8  7.2],0
s7,1,0.13733,2.207624,[ 6 16] ; [29 35],[ 8.95348837 13.04651163] ; [26.04651163 37.95348837],0
d2,1,0.155855,2.013986,[20  4] ; [45 21],[17.33333333  6.66666667] ; [47.66666667 18.33333333],0
