Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4e-06,21.060314,[18 10] ; [16 70],[ 8.35087719 19.64912281] ; [25.64912281 60.35087719],1
d3,1,0.001077,10.690086,[22  6] ; [37 49],[14.49122807 13.50877193] ; [44.50877193 41.49122807],0
p6,1,0.003523,8.514828,[ 9 19] ; [ 8 77],[ 4.21238938 23.78761062] ; [12.78761062 72.21238938],0
p2,1,0.007412,7.170358,[21  7] ; [39 46],[14.86725664 13.13274336] ; [45.13274336 39.86725664],0
p5,1,0.010357,6.572506,[ 5 23] ; [ 3 82],[ 1.98230088 26.01769912] ; [ 6.01769912 78.98230088],0
p7,1,0.010618,6.528083,[15 12] ; [24 60],[ 9.48648649 17.51351351] ; [29.51351351 54.48648649],0
p8,1,0.016321,5.767957,[12 16] ; [17 68],[ 7.18584071 20.81415929] ; [21.81415929 63.18584071],0
d4,1,0.016496,5.749258,[23  5] ; [49 37],[17.68421053 10.31578947] ; [54.31578947 31.68421053],0
s2,1,0.017018,5.694524,[11 16] ; [16 71],[ 6.39473684 20.60526316] ; [20.60526316 66.39473684],0
d5,1,0.02734,4.869224,[22  6] ; [48 39],[17.04347826 10.95652174] ; [52.95652174 34.04347826],0
a6,1,0.043933,4.059148,[19  9] ; [40 47],[14.36521739 13.63478261] ; [44.63478261 42.36521739],0
n6,1,0.064215,3.425027,[19  8] ; [42 42],[14.83783784 12.16216216] ; [46.16216216 37.83783784],0
d1,1,0.068394,3.321153,[14 14] ; [27 60],[ 9.9826087 18.0173913] ; [31.0173913 55.9826087],0
b2,1,0.073371,3.205937,[ 2 12] ; [20 30],[4.8125 9.1875] ; [17.1875 32.8125],0
b3,1,0.073371,3.205937,[ 2 12] ; [20 30],[4.8125 9.1875] ; [17.1875 32.8125],0
p1,1,0.090342,2.868277,[ 5 23] ; [ 6 80],[ 2.70175439 25.29824561] ; [ 8.29824561 77.70175439],0
p9,1,0.090396,2.867299,[18 10] ; [38 45],[14.12612613 13.87387387] ; [41.87387387 41.12612613],0
a7,1,0.113705,2.501949,[18 10] ; [40 45],[14.37168142 13.62831858] ; [43.62831858 41.37168142],0
p10,1,0.124902,2.354747,[16 11] ; [36 49],[12.53571429 14.46428571] ; [39.46428571 45.53571429],0
s3,1,0.139922,2.178818,[11 15] ; [23 62],[ 7.96396396 18.03603604] ; [26.03603604 58.96396396],0
v1,1,0.150161,2.070615,[11 16] ; [22 62],[ 8.02702703 18.97297297] ; [24.97297297 59.02702703],0
a5,1,0.174907,1.840376,[17 11] ; [40 47],[13.87826087 14.12173913] ; [43.12173913 43.87826087],0
n4,1,0.182214,1.779472,[19  9] ; [46 40],[15.96491228 12.03508772] ; [49.03508772 36.96491228],0
s4,1,0.18991,1.718317,[ 7 20] ; [13 74],[ 4.73684211 22.26315789] ; [15.26315789 71.73684211],0
b1,1,0.205524,1.602677,[18 10] ; [44 43],[15.09565217 12.90434783] ; [46.90434783 40.09565217],0
s7,1,0.228506,1.450134,[ 7 18] ; [14 68],[ 4.90654206 20.09345794] ; [16.09345794 65.90654206],0
s5,1,0.256355,1.288334,[ 6 20] ; [12 75],[ 4.14159292 21.85840708] ; [13.85840708 73.14159292],0
s6,1,0.288695,1.125697,[10 17] ; [23 64],[ 7.81578947 19.18421053] ; [25.18421053 61.81578947],0
p11,1,0.360996,0.834425,[15 13] ; [38 49],[12.90434783 15.09565217] ; [40.09565217 46.90434783],0
v2,1,0.365676,0.818307,[ 7 20] ; [29 53],[ 8.91743119 18.08256881] ; [27.08256881 54.91743119],0
b4,1,0.4235,0.640584,[14 14] ; [51 36],[15.82608696 12.17391304] ; [49.17391304 37.82608696],0
a1,1,0.423974,0.639273,[ 2 26] ; [11 76],[ 3.16521739 24.83478261] ; [ 9.83478261 77.16521739],0
n5,1,0.454822,0.558608,[14 13] ; [51 34],[15.66964286 11.33035714] ; [49.33035714 35.66964286],0
d2,1,0.457668,0.551592,[ 9 19] ; [34 51],[10.65486726 17.34513274] ; [32.34513274 52.65486726],0
n2,1,0.459075,0.548149,[7 4] ; [22 21],[5.90740741 5.09259259] ; [23.09259259 19.90740741],0
v4,1,0.491398,0.473463,[17 10] ; [46 37],[15.46363636 11.53636364] ; [47.53636364 35.46363636],0
v3,1,0.49663,0.462131,[ 6 21] ; [14 71],[ 4.82142857 22.17857143] ; [15.17857143 69.82142857],0
u1,1,0.512975,0.427994,[ 3 25] ; [ 6 81],[ 2.19130435 25.80869565] ; [ 6.80869565 80.19130435],0
a2,1,0.566774,0.32811,[ 4 24] ; [ 9 78],[ 3.16521739 24.83478261] ; [ 9.83478261 77.16521739],0
