Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,53.009516,[264   9] ; [97 37],[242.14496314  30.85503686] ; [118.85503686  15.14496314],1
p9,1,0.0,43.931823,[223  49] ; [64 64],[195.16  76.84] ; [91.84 36.16],1
p10,1,0.0,40.976871,[211  64] ; [59 73],[182.43243243  92.56756757] ; [87.56756757 44.43243243],1
p2,1,0.0,37.505934,[213  63] ; [64 72],[185.5631068  90.4368932] ; [91.4368932 44.5631068],1
r4,1,0.0,35.716176,[241  35] ; [84 52],[217.7184466  58.2815534] ; [107.2815534  28.7184466],1
n6,1,0.0,35.232906,[227  48] ; [73 60],[202.20588235  72.79411765] ; [97.79411765 35.20588235],1
b1,1,6.8e-05,15.876434,[ 88 188] ; [71 65],[106.51456311 169.48543689] ; [52.48543689 83.51456311],1
v4,1,0.00012,14.795925,[252  21] ; [106  28],[240.13267813  32.86732187] ; [117.86732187  16.13267813],1
s1,1,0.000736,11.396797,[  4 267] ; [ 11 123],[ 10.03703704 260.96296296] ; [  4.96296296 129.03703704],1
p8,1,0.00169,9.859309,[ 95 175] ; [ 27 108],[ 81.33333333 188.66666667] ; [40.66666667 94.33333333],0
v2,1,0.002008,9.542123,[142 118] ; [49 80],[127.66066838 132.33933162] ; [63.33933162 65.66066838],0
s6,1,0.006123,7.513825,[153 119] ; [56 78],[140.01970443 131.98029557] ; [68.98029557 65.01970443],0
s8,1,0.012254,6.273688,[ 97 179] ; [ 31 104],[ 85.95620438 190.04379562] ; [42.04379562 92.95620438],0
p12,1,0.014882,5.930371,[ 16 257] ; [  1 134],[ 11.375 261.625] ; [  5.625 129.375],0
a1,1,0.015774,5.827928,[  9 267] ; [ 12 124],[ 14.06796117 261.93203883] ; [  6.93203883 129.06796117],0
r2,1,0.017969,5.599144,[253  19] ; [114  19],[246.47901235  25.52098765] ; [120.52098765  12.47901235],0
u3,1,0.026207,4.942318,[54 42] ; [18 31],[47.66896552 48.33103448] ; [24.33103448 24.66896552],0
p7,1,0.02727,4.873646,[129 137] ; [49 84],[118.66666667 147.33333333] ; [59.33333333 73.66666667],0
r1,1,0.029871,4.716692,[205  70] ; [86 48],[195.6601467  79.3398533] ; [95.3398533 38.6601467],0
n4,1,0.033276,4.53152,[192  84] ; [79 55],[182.42926829  93.57073171] ; [88.57073171 45.42926829],0
v3,1,0.044248,4.047073,[ 94 176] ; [32 97],[ 85.26315789 184.73684211] ; [40.73684211 88.26315789],0
n2,1,0.060597,3.520969,[56 17] ; [39 24],[50.99264706 22.00735294] ; [44.00735294 18.99264706],0
s3,1,0.061936,3.48476,[143 130] ; [57 77],[134.15233415 138.84766585] ; [65.84766585 68.15233415],0
n5,1,0.065768,3.385613,[183  91] ; [77 57],[174.60784314  99.39215686] ; [85.39215686 48.60784314],0
d2,1,0.080522,3.054329,[104 170] ; [63 71],[112.15196078 161.84803922] ; [54.84803922 79.15196078],0
