Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,1e-06,23.283215,[ 8 49] ; [37 29],[20.85365854 36.14634146] ; [24.14634146 41.85365854],1
p7,1,1.1e-05,19.354406,[ 9 46] ; [36 29],[20.625 34.375] ; [24.375 40.625],1
p9,1,0.000116,14.85709,[15 38] ; [41 23],[25.36752137 27.63247863] ; [30.63247863 33.36752137],1
r3,1,0.000141,14.488903,[31 25] ; [57  9],[40.39344262 15.60655738] ; [47.60655738 18.39344262],1
p3,1,0.000232,13.550155,[ 9 48] ; [31 35],[18.53658537 38.46341463] ; [21.46341463 44.53658537],1
p4,1,0.000489,12.155917,[10 45] ; [32 34],[19.09090909 35.90909091] ; [22.90909091 43.09090909],1
p6,1,0.002234,9.346717,[ 6 50] ; [22 42],[13.06666667 42.93333333] ; [14.93333333 49.06666667],0
p10,1,0.003293,8.637681,[17 37] ; [38 27],[24.95798319 29.04201681] ; [30.04201681 34.95798319],0
v4,1,0.003316,8.624666,[38 18] ; [59  7],[44.52459016 11.47540984] ; [52.47540984 13.52459016],0
r4,1,0.007219,7.217733,[28 29] ; [48 18],[35.2195122 21.7804878] ; [40.7804878 25.2195122],0
s7,1,0.009776,6.67531,[ 7 44] ; [22 41],[12.97368421 38.02631579] ; [16.02631579 46.97368421],0
s6,1,0.020547,5.364825,[16 40] ; [32 33],[22.21487603 33.78512397] ; [25.78512397 39.21487603],0
a1,1,0.025953,4.959165,[ 8 49] ; [ 2 64],[ 4.63414634 52.36585366] ; [ 5.36585366 60.63414634],0
p8,1,0.026879,4.898584,[10 47] ; [23 42],[15.41803279 41.58196721] ; [17.58196721 47.41803279],0
d3,1,0.044856,4.024034,[29 28] ; [44 20],[34.38842975 22.61157025] ; [38.61157025 25.38842975],0
b2,1,0.113935,2.498772,[17 23] ; [ 7 22],[13.91304348 26.08695652] ; [10.08695652 18.91304348],0
b3,1,0.113935,2.498772,[17 23] ; [ 7 22],[13.91304348 26.08695652] ; [10.08695652 18.91304348],0
n6,1,0.115391,2.478795,[31 25] ; [45 20],[35.17355372 20.82644628] ; [40.82644628 24.17355372],0
p1,1,0.12333,2.374515,[ 4 53] ; [ 1 65],[ 2.31707317 54.68292683] ; [ 2.68292683 63.31707317],0
n4,1,0.140093,2.176936,[30 26] ; [44 22],[33.96721311 22.03278689] ; [40.03278689 25.96721311],0
s5,1,0.156471,2.008006,[ 8 47] ; [16 48],[11.09243697 43.90756303] ; [12.90756303 51.09243697],0
r1,1,0.163399,1.942485,[31 25] ; [44 21],[34.7107438 21.2892562] ; [40.2892562 24.7107438],0
s1,1,0.169212,1.889906,[ 5 51] ; [ 2 63],[ 3.23966942 52.76033058] ; [ 3.76033058 61.23966942],0
b5,1,0.173288,1.854268,[33 24] ; [46 20],[36.6097561 20.3902439] ; [42.3902439 23.6097561],0
