Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.000596,11.789474,[2 6] ; [61 15],[6. 2.] ; [57. 19.],1
v4,1,0.004401,8.11057,[6 2] ; [75  2],[7.62352941 0.37647059] ; [73.37647059  3.62352941],0
p9,1,0.009212,6.781179,[3 5] ; [61 16],[6.02352941 1.97647059] ; [57.97647059 19.02352941],0
r4,1,0.029681,4.727666,[5 3] ; [69  8],[6.96470588 1.03529412] ; [67.03529412  9.96470588],0
b1,1,0.041118,4.17115,[6 2] ; [29 48],[3.29411765 4.70588235] ; [31.70588235 45.29411765],0
n2,1,0.0651,3.402446,[1 2] ; [18  4],[2.28 0.72] ; [16.72  5.28],0
r1,1,0.075235,3.16495,[3 5] ; [53 24],[5.27058824 2.72941176] ; [50.72941176 26.27058824],0
a8,1,0.116577,2.462722,[3 5] ; [11 61],[1.4 6.6] ; [12.6 59.4],0
v1,1,0.156662,2.00615,[2 6] ; [39 37],[3.9047619 4.0952381] ; [37.0952381 38.9047619],0
s4,1,0.209582,1.574312,[3 5] ; [14 61],[1.63855422 6.36144578] ; [15.36144578 59.63855422],0
p10,1,0.210595,1.567331,[4 4] ; [55 22],[5.55294118 2.44705882] ; [53.44705882 23.55294118],0
d3,1,0.250832,1.318663,[3 5] ; [44 31],[4.53012048 3.46987952] ; [42.46987952 32.53012048],0
r3,1,0.279929,1.167434,[7 1] ; [73  3],[7.61904762 0.38095238] ; [72.38095238  3.61904762],0
b4,1,0.321671,0.982138,[3 5] ; [43 34],[4.32941176 3.67058824] ; [41.67058824 35.32941176],0
d2,1,0.327704,0.957948,[3 5] ; [17 60],[1.88235294 6.11764706] ; [18.11764706 58.88235294],0
n5,1,0.327704,0.957948,[5 3] ; [60 17],[6.11764706 1.88235294] ; [58.88235294 18.11764706],0
s6,1,0.347285,0.883355,[4 4] ; [50 25],[5.20481928 2.79518072] ; [48.79518072 26.20481928],0
a7,1,0.390821,0.736386,[4 4] ; [49 26],[5.10843373 2.89156627] ; [47.89156627 27.10843373],0
n1,1,0.399164,0.710842,[1 2] ; [13  9],[1.68 1.32] ; [12.32  9.68],0
s8,1,0.399271,0.710521,[2 6] ; [31 46],[3.10588235 4.89411765] ; [29.89411765 47.10588235],0
s7,1,0.413815,0.667814,[2 4] ; [37 36],[2.96202532 3.03797468] ; [36.03797468 36.96202532],0
p7,1,0.433622,0.613104,[6 2] ; [65 11],[6.76190476 1.23809524] ; [64.23809524 11.76190476],0
v2,1,0.478904,0.501358,[5 3] ; [37 38],[4.04819277 3.95180723] ; [37.95180723 37.04819277],0
s2,1,0.478933,0.501292,[3 5] ; [39 38],[3.95294118 4.04705882] ; [38.04705882 38.95294118],0
a6,1,0.523184,0.407612,[5 3] ; [39 38],[4.14117647 3.85882353] ; [39.85882353 37.14117647],0
a4,1,0.527976,0.398286,[1 7] ; [17 60],[1.69411765 6.30588235] ; [16.30588235 60.69411765],0
d4,1,0.540782,0.374092,[5 3] ; [56 21],[5.74117647 2.25882353] ; [55.25882353 21.74117647],0
p8,1,0.567659,0.326615,[6 2] ; [50 27],[5.27058824 2.72941176] ; [50.72941176 26.27058824],0
u2,1,0.570718,0.321483,[3 1] ; [23 15],[2.47619048 1.52380952] ; [23.52380952 14.47619048],0
v3,1,0.599126,0.276316,[2 6] ; [26 50],[2.66666667 5.33333333] ; [25.33333333 50.66666667],0
p12,1,0.644783,0.21254,[1 7] ; [ 6 71],[0.65882353 7.34117647] ; [ 6.34117647 70.65882353],0
d5,1,0.649261,0.206833,[6 2] ; [51 25],[5.42857143 2.57142857] ; [51.57142857 24.42857143],0
n4,1,0.655768,0.198705,[5 3] ; [54 23],[5.55294118 2.44705882] ; [53.44705882 23.55294118],0
s5,1,0.762595,0.091249,[2 6] ; [22 51],[2.37037037 5.62962963] ; [21.62962963 51.37037037],0
p4,1,0.773158,0.083086,[5 3] ; [52 25],[5.36470588 2.63529412] ; [51.63529412 25.36470588],0
s3,1,0.806019,0.060302,[4 4] ; [42 35],[4.32941176 3.67058824] ; [41.67058824 35.32941176],0
p2,1,0.817553,0.053219,[7 1] ; [65 12],[6.77647059 1.22352941] ; [65.22352941 11.77647059],0
n3,1,0.826403,0.0481,[2 1] ; [16  6],[2.16 0.84] ; [15.84  6.16],0
d1,1,0.830871,0.045619,[2 6] ; [22 55],[2.25882353 5.74117647] ; [21.74117647 55.25882353],0
b5,1,0.8321,0.044948,[5 3] ; [51 26],[5.27058824 2.72941176] ; [50.72941176 26.27058824],0
p11,1,0.850236,0.035652,[6 2] ; [60 17],[6.21176471 1.78823529] ; [59.78823529 17.21176471],0
b2,1,0.850814,0.035374,[1 2] ; [19 30],[1.15384615 1.84615385] ; [18.84615385 30.15384615],0
b3,1,0.850814,0.035374,[1 2] ; [19 30],[1.15384615 1.84615385] ; [18.84615385 30.15384615],0
p3,1,0.916416,0.011014,[4 4] ; [37 40],[3.85882353 4.14117647] ; [37.14117647 39.85882353],0
u3,1,0.920155,0.010048,[2 2] ; [20 18],[2.0952381 1.9047619] ; [19.9047619 18.0952381],0
a3,1,0.943542,0.005015,[4 4] ; [39 37],[4.0952381 3.9047619] ; [38.9047619 37.0952381],0
