Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.00269,9.006341,[28 41] ; [ 8 44],[20.52892562 48.47107438] ; [15.47107438 36.52892562],0
b2,1,0.00269,9.006341,[28 41] ; [ 8 44],[20.52892562 48.47107438] ; [15.47107438 36.52892562],0
p1,1,0.003124,8.733446,[  4 121] ; [12 72],[  9.56937799 115.43062201] ; [ 6.43062201 77.56937799],0
a3,1,0.003927,8.317187,[83 43] ; [39 46],[72.85308057 53.14691943] ; [49.14691943 35.85308057],0
u2,1,0.004061,8.256351,[26 15] ; [15 31],[19.32183908 21.67816092] ; [21.67816092 24.32183908],0
d3,1,0.006811,7.322111,[61 66] ; [25 60],[51.51886792 75.48113208] ; [34.48113208 50.51886792],0
d5,1,0.030279,4.693387,[76 51] ; [38 47],[68.29245283 58.70754717] ; [45.70754717 39.29245283],0
u3,1,0.047464,3.928863,[28 14] ; [21 25],[23.38636364 18.61363636] ; [25.61363636 20.38636364],0
s2,1,0.052961,3.745157,[95 32] ; [53 32],[88.66037736 38.33962264] ; [59.33962264 25.66037736],0
s5,1,0.059383,3.554538,[47 74] ; [22 62],[40.72682927 80.27317073] ; [28.27317073 55.72682927],0
p8,1,0.080354,3.05772,[64 60] ; [33 51],[57.82692308 66.17307692] ; [39.17307692 44.82692308],0
p9,1,0.083008,3.004995,[102  21] ; [62 23],[96.98076923 26.01923077] ; [67.01923077 17.98076923],0
s1,1,0.098614,2.727822,[  4 121] ; [ 7 76],[  6.61057692 118.38942308] ; [ 4.38942308 78.61057692],0
s6,1,0.110179,2.551658,[100  24] ; [59 24],[95.24637681 28.75362319] ; [63.75362319 19.24637681],0
p11,1,0.124228,2.363193,[100  27] ; [59 26],[95.25 31.75] ; [63.75 21.25],0
n6,1,0.130092,2.291407,[91 33] ; [70 15],[95.5215311 28.4784689] ; [65.4784689 19.5215311],0
a8,1,0.130656,2.284689,[24 98] ; [ 9 69],[ 20.13 101.87] ; [12.87 65.13],0
r1,1,0.155833,2.014199,[97 30] ; [56 27],[92.52857143 34.47142857] ; [60.47142857 22.52857143],0
