Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.001612,9.945629,[2 7] ; [23  6],[5.92105263 3.07894737] ; [19.07894737  9.92105263],0
s7,1,0.038721,4.273064,[8 1] ; [14 14],[5.35135135 3.64864865] ; [16.64864865 11.35135135],0
v1,1,0.087569,2.918495,[3 6] ; [19 10],[5.21052632 3.78947368] ; [16.78947368 12.21052632],0
p10,1,0.094509,2.79585,[8 1] ; [17 12],[5.92105263 3.07894737] ; [19.07894737  9.92105263],0
a5,1,0.094509,2.79585,[8 1] ; [17 12],[5.92105263 3.07894737] ; [19.07894737  9.92105263],0
p1,1,0.098486,2.729885,[3 6] ; [ 3 26],[1.42105263 7.57894737] ; [ 4.57894737 24.42105263],0
d1,1,0.119948,2.418,[7 2] ; [14 15],[4.97368421 4.02631579] ; [16.02631579 12.97368421],0
b5,1,0.122325,2.387291,[4 5] ; [21  8],[5.92105263 3.07894737] ; [19.07894737  9.92105263],0
n6,1,0.204368,1.610884,[6 3] ; [24  4],[7.2972973 1.7027027] ; [22.7027027  5.2972973],0
a3,1,0.2255,1.469021,[7 2] ; [16 13],[5.44736842 3.55263158] ; [17.55263158 11.44736842],0
b1,1,0.252332,1.310345,[3 6] ; [16 13],[4.5 4.5] ; [14.5 14.5],0
d2,1,0.290642,1.116646,[6 3] ; [13 15],[4.62162162 4.37837838] ; [14.37837838 13.62162162],0
r1,1,0.341864,0.903429,[5 4] ; [21  8],[6.15789474 2.84210526] ; [19.84210526  9.15789474],0
p12,1,0.357126,0.847974,[2 7] ; [ 3 26],[1.18421053 7.81578947] ; [ 3.81578947 25.18421053],0
v4,1,0.368459,0.808855,[8 1] ; [28  1],[8.52631579 0.47368421] ; [27.47368421  1.52631579],0
p3,1,0.382777,0.761765,[6 3] ; [14 14],[4.86486486 4.13513514] ; [15.13513514 12.86486486],0
b4,1,0.38551,0.753056,[7 2] ; [18 11],[5.92105263 3.07894737] ; [19.07894737  9.92105263],0
d5,1,0.451946,0.565767,[7 2] ; [18 10],[6.08108108 2.91891892] ; [18.91891892  9.08108108],0
p8,1,0.45494,0.558314,[4 5] ; [17 12],[4.97368421 4.02631579] ; [16.02631579 12.97368421],0
n4,1,0.458818,0.548777,[5 4] ; [20  9],[5.92105263 3.07894737] ; [19.07894737  9.92105263],0
p7,1,0.489399,0.477847,[7 2] ; [19 10],[6.15789474 2.84210526] ; [19.84210526  9.15789474],0
v2,1,0.528708,0.396873,[6 2] ; [17 10],[5.25714286 2.74285714] ; [17.74285714  9.25714286],0
p11,1,0.588355,0.292921,[5 4] ; [19 10],[5.68421053 3.31578947] ; [18.31578947 10.68421053],0
u2,1,0.591208,0.288462,[1 1] ; [9 4],[1.33333333 0.66666667] ; [8.66666667 4.33333333],0
a6,1,0.638512,0.220694,[5 4] ; [18 10],[5.59459459 3.40540541] ; [17.40540541 10.59459459],0
p5,1,0.659505,0.194125,[1 8] ; [ 5 24],[1.42105263 7.57894737] ; [ 4.57894737 24.42105263],0
d4,1,0.709065,0.139212,[7 2] ; [20  8],[6.56756757 2.43243243] ; [20.43243243  7.56756757],0
a7,1,0.726917,0.121961,[5 4] ; [18 11],[5.44736842 3.55263158] ; [17.55263158 11.44736842],0
s3,1,0.771756,0.084146,[5 4] ; [14 14],[4.62162162 4.37837838] ; [14.37837838 13.62162162],0
n3,1,0.77816,0.079365,[3 1] ; [4 2],[2.8 1.2] ; [4.2 1.8],0
s2,1,0.802746,0.062397,[6 3] ; [18 11],[5.68421053 3.31578947] ; [18.31578947 10.68421053],0
b2,1,0.824016,0.049454,[3 5] ; [ 8 11],[3.25925926 4.74074074] ; [ 7.74074074 11.25925926],0
b3,1,0.824016,0.049454,[3 5] ; [ 8 11],[3.25925926 4.74074074] ; [ 7.74074074 11.25925926],0
p4,1,0.917246,0.010796,[5 4] ; [15 13],[4.86486486 4.13513514] ; [15.13513514 12.86486486],0
d3,1,0.917246,0.010796,[5 4] ; [15 13],[4.86486486 4.13513514] ; [15.13513514 12.86486486],0
v3,1,0.927197,0.008349,[3 5] ; [11 17],[3.11111111 4.88888889] ; [10.88888889 17.11111111],0
s1,1,0.947825,0.004282,[1 8] ; [ 3 26],[0.94736842 8.05263158] ; [ 3.05263158 25.94736842],0
a2,1,0.947825,0.004282,[1 8] ; [ 3 26],[0.94736842 8.05263158] ; [ 3.05263158 25.94736842],0
r4,1,0.947825,0.004282,[8 1] ; [26  3],[8.05263158 0.94736842] ; [25.94736842  3.05263158],0
u1,1,0.947825,0.004282,[1 8] ; [ 3 26],[0.94736842 8.05263158] ; [ 3.05263158 25.94736842],0
a4,1,0.983888,0.000408,[4 5] ; [13 16],[4.02631579 4.97368421] ; [12.97368421 16.02631579],0
n1,1,1.0,0.0,[2 2] ; [3 3],[2. 2.] ; [3. 3.],0
s8,1,1.0,0.0,[5 4] ; [15 12],[5. 4.] ; [15. 12.],0
