Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.006542,7.394485,[88  9] ; [19  8],[83.7016129 13.2983871] ; [23.2983871  3.7016129],0
p4,1,0.007381,7.177924,[57 39] ; [ 9 20],[50.688 45.312] ; [15.312 13.688],0
n4,1,0.011966,6.315883,[71 26] ; [14 15],[65.43650794 31.56349206] ; [19.56349206  9.43650794],0
p10,1,0.018283,5.568851,[82 15] ; [18 10],[77.6 19.4] ; [22.4  5.6],0
p8,1,0.029796,4.721036,[48 47] ; [ 8 21],[42.90322581 52.09677419] ; [13.09677419 15.90322581],0
p7,1,0.048293,3.899762,[59 36] ; [12 17],[54.39516129 40.60483871] ; [16.60483871 12.39516129],0
p3,1,0.052103,3.772469,[50 47] ; [ 9 20],[45.42063492 51.57936508] ; [13.57936508 15.42063492],0
v3,1,0.066007,3.379637,[37 59] ; [ 5 21],[33.04918033 62.95081967] ; [ 8.95081967 17.04918033],0
n5,1,0.084556,2.975077,[70 27] ; [16 13],[66.20634921 30.79365079] ; [19.79365079  9.20634921],0
v1,1,0.084954,2.967484,[45 51] ; [ 8 20],[41.03225806 54.96774194] ; [11.96774194 16.03225806],0
a8,1,0.109961,2.554777,[13 77] ; [ 1 28],[10.58823529 79.41176471] ; [ 3.41176471 25.58823529],0
p11,1,0.124038,2.365579,[77 20] ; [19 10],[73.9047619 23.0952381] ; [22.0952381  6.9047619],0
d3,1,0.137492,2.20581,[58 38] ; [13 16],[54.528 41.472] ; [16.472 12.528],0
n3,1,0.157424,1.998796,[23  6] ; [5 4],[21.36842105  7.63157895] ; [6.63157895 2.36842105],0
p1,1,0.1624,1.951731,[ 8 89] ; [ 5 24],[10.00793651 86.99206349] ; [ 2.99206349 26.00793651],0
b1,1,0.166,1.918703,[30 67] ; [13 16],[33.1031746 63.8968254] ; [ 9.8968254 19.1031746],0
s1,1,0.196831,1.665732,[ 2 94] ; [ 2 27],[ 3.072 92.928] ; [ 0.928 28.072],0
d5,1,0.211037,1.564298,[74 22] ; [19 10],[71.424 24.576] ; [21.576  7.424],0
a7,1,0.215445,1.534454,[65 31] ; [16 13],[62.208 33.792] ; [18.792 10.208],0
a6,1,0.229716,1.442618,[59 38] ; [14 15],[56.1984127 40.8015873] ; [16.8015873 12.1984127],0
b5,1,0.271062,1.211364,[63 34] ; [22  7],[65.43650794 31.56349206] ; [19.56349206  9.43650794],0
s7,1,0.290682,1.11646,[38 55] ; [ 8 19],[35.65 57.35] ; [10.35 16.65],0
u4,1,0.360786,0.835155,[ 1 96] ; [ 1 28],[ 1.53968254 95.46031746] ; [ 0.46031746 28.53968254],0
p5,1,0.369273,0.80611,[13 84] ; [ 2 26],[11.64 85.36] ; [ 3.36 24.64],0
v2,1,0.40221,0.701708,[42 54] ; [ 9 17],[40.13114754 55.86885246] ; [10.86885246 15.13114754],0
n6,1,0.402347,0.701301,[86 11] ; [24  5],[84.68253968 12.31746032] ; [25.31746032  3.68253968],0
p6,1,0.417826,0.656421,[37 57] ; [ 9 20],[35.15447154 58.84552846] ; [10.84552846 18.15447154],0
p12,1,0.46529,0.533139,[ 7 90] ; [ 1 28],[ 6.15873016 90.84126984] ; [ 1.84126984 27.15873016],0
a1,1,0.46529,0.533139,[ 7 90] ; [ 1 28],[ 6.15873016 90.84126984] ; [ 1.84126984 27.15873016],0
a2,1,0.490044,0.47643,[11 86] ; [ 2 27],[10.00793651 86.99206349] ; [ 2.99206349 26.00793651],0
s3,1,0.493428,0.469042,[50 46] ; [13 16],[48.384 47.616] ; [14.616 14.384],0
n2,1,0.517268,0.419337,[23  6] ; [8 1],[23.65789474  5.34210526] ; [7.34210526 1.65789474],0
v4,1,0.538411,0.378493,[93  4] ; [27  2],[92.38095238  4.61904762] ; [27.61904762  1.38095238],0
s5,1,0.569225,0.323981,[27 63] ; [10 18],[28.22033898 61.77966102] ; [ 8.77966102 19.22033898],0
