Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.000695,11.502816,[12 14] ; [96 26],[18.97297297  7.02702703] ; [89.02702703 32.97297297],1
u1,1,0.007893,7.057521,[ 9 17] ; [ 16 106],[ 4.39189189 21.60810811] ; [ 20.60810811 101.39189189],0
s7,1,0.015593,5.848243,[14  9] ; [38 74],[ 8.85925926 14.14074074] ; [43.14074074 68.85925926],0
s6,1,0.022584,5.200222,[17  9] ; [49 71],[11.75342466 14.24657534] ; [54.24657534 65.75342466],0
d4,1,0.057729,3.601464,[25  1] ; [98 23],[21.75510204  4.24489796] ; [101.24489796  19.75510204],0
a4,1,0.071694,3.243796,[16 10] ; [51 70],[11.85034014 14.14965986] ; [55.14965986 65.85034014],0
s8,1,0.085577,2.955666,[13 13] ; [39 82],[ 9.19727891 16.80272109] ; [42.80272109 78.19727891],0
a2,1,0.096508,2.762317,[ 9 17] ; [24 98],[ 5.7972973 20.2027027] ; [27.2027027 94.7972973],0
p7,1,0.099483,2.713815,[12 13] ; [78 41],[15.625  9.375] ; [74.375 44.625],0
b4,1,0.119309,2.426371,[19  7] ; [69 53],[15.45945946 10.54054054] ; [72.54054054 49.45945946],0
u3,1,0.214193,1.542857,[5 2] ; [16 19],[3.5 3.5] ; [17.5 17.5],0
p8,1,0.25455,1.298155,[10 15] ; [62 56],[12.58741259 12.41258741] ; [59.41258741 58.58741259],0
p5,1,0.277831,1.177667,[ 2 23] ; [ 20 101],[ 3.76712329 21.23287671] ; [ 18.23287671 102.76712329],0
r3,1,0.32256,0.978537,[25  1] ; [109  12],[23.70068027  2.29931973] ; [110.29931973  10.70068027],0
p4,1,0.390192,0.738343,[16  9] ; [65 54],[14.0625 10.9375] ; [66.9375 52.0625],0
d2,1,0.408558,0.682994,[15 11] ; [59 62],[13.08843537 12.91156463] ; [60.91156463 60.08843537],0
s4,1,0.43193,0.617629,[ 1 25] ; [ 10 110],[ 1.95890411 24.04109589] ; [  9.04109589 110.95890411],0
p9,1,0.435962,0.606888,[19  6] ; [100  21],[20.37671233  4.62328767] ; [98.62328767 22.37671233],0
r1,1,0.469524,0.523095,[19  7] ; [97 25],[20.37837838  5.62162162] ; [95.62162162 26.37837838],0
s5,1,0.492029,0.472087,[ 7 18] ; [26 94],[ 5.68965517 19.31034483] ; [27.31034483 92.68965517],0
p1,1,0.503956,0.446595,[ 2 24] ; [ 15 107],[ 2.98648649 23.01351351] ; [ 14.01351351 107.98648649],0
u2,1,0.533561,0.387605,[5 2] ; [20 14],[4.26829268 2.73170732] ; [20.73170732 13.26829268],0
n3,1,0.541552,0.372671,[4 3] ; [16  7],[4.66666667 2.33333333] ; [15.33333333  7.66666667],0
n4,1,0.551395,0.354825,[22  4] ; [97 25],[20.90540541  5.09459459] ; [98.09459459 23.90540541],0
v4,1,0.570044,0.322609,[24  2] ; [116   6],[24.59459459  1.40540541] ; [115.40540541   6.59459459],0
b2,1,0.57074,0.321447,[6 7] ; [33 54],[5.07 7.93] ; [33.93 53.07],0
b3,1,0.57074,0.321447,[6 7] ; [33 54],[5.07 7.93] ; [33.93 53.07],0
b5,1,0.598757,0.276875,[17  9] ; [73 49],[15.81081081 10.18918919] ; [74.18918919 47.81081081],0
d5,1,0.622213,0.242769,[20  6] ; [99 23],[20.90540541  5.09459459] ; [98.09459459 23.90540541],0
p3,1,0.627145,0.235952,[12 13] ; [64 56],[13.10344828 11.89655172] ; [62.89655172 57.10344828],0
n2,1,0.663986,0.188718,[5 2] ; [15  9],[4.51612903 2.48387097] ; [15.48387097  8.51612903],0
s1,1,0.671543,0.179802,[ 1 24] ; [  3 118],[ 0.68493151 24.31506849] ; [  3.31506849 117.68493151],0
p6,1,0.715623,0.132725,[10 15] ; [43 76],[ 9.20138889 15.79861111] ; [43.79861111 75.20138889],0
r4,1,0.745592,0.105273,[23  3] ; [105  17],[22.48648649  3.51351351] ; [105.51351351  16.48648649],0
b1,1,0.767243,0.087606,[ 9 17] ; [46 76],[ 9.66216216 16.33783784] ; [45.33783784 76.66216216],0
p10,1,0.768812,0.086394,[21  4] ; [97 22],[20.48611111  4.51388889] ; [97.51388889 21.48611111],0
v1,1,0.782381,0.076296,[17  9] ; [75 45],[16.38356164  9.61643836] ; [75.61643836 44.38356164],0
v2,1,0.784842,0.074537,[19  7] ; [90 29],[19.54482759  6.45517241] ; [89.45517241 29.54482759],0
d3,1,0.793404,0.068588,[17  9] ; [83 39],[17.56756757  8.43243243] ; [82.43243243 39.56756757],0
a6,1,0.793404,0.068588,[17  9] ; [83 39],[17.56756757  8.43243243] ; [82.43243243 39.56756757],0
p2,1,0.848305,0.036589,[19  6] ; [89 31],[18.62068966  6.37931034] ; [89.37931034 30.62068966],0
a5,1,0.85614,0.032866,[19  7] ; [87 35],[18.62162162  7.37837838] ; [87.37837838 34.62162162],0
r2,1,0.859699,0.031243,[24  2] ; [111   8],[24.20689655  1.79310345] ; [110.79310345   8.20689655],0
n5,1,0.870294,0.026662,[20  6] ; [92 30],[19.67567568  6.32432432] ; [92.32432432 29.67567568],0
a3,1,0.903437,0.014719,[19  7] ; [87 34],[18.74829932  7.25170068] ; [87.25170068 33.74829932],0
a8,1,0.907163,0.0136,[ 3 18] ; [14 91],[ 2.83333333 18.16666667] ; [14.16666667 90.83333333],0
a1,1,0.931823,0.007319,[ 2 24] ; [ 10 112],[ 2.10810811 23.89189189] ; [  9.89189189 112.10810811],0
a7,1,0.971007,0.001321,[19  7] ; [88 33],[18.92517007  7.07482993] ; [88.07482993 32.92517007],0
d1,1,0.976452,0.000871,[15 11] ; [70 52],[14.93243243 11.06756757] ; [70.06756757 51.93243243],0
n6,1,0.980716,0.000584,[22  4] ; [103  19],[21.95945946  4.04054054] ; [103.04054054  18.95945946],0
