Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2.5e-05,17.784654,[38 57] ; [48 17],[51.0625 43.9375] ; [34.9375 30.0625],1
r3,1,3.9e-05,16.940829,[62 34] ; [62  5],[73.03067485 22.96932515] ; [50.96932515 16.03067485],1
p6,1,0.000177,14.06118,[11 84] ; [24 42],[20.65217391 74.34782609] ; [14.34782609 51.65217391],1
v1,1,0.00039,12.579294,[25 70] ; [36 31],[35.77160494 59.22839506] ; [25.22839506 41.77160494],1
d5,1,0.000572,11.864144,[62 32] ; [60  7],[71.22981366 22.77018634] ; [50.77018634 16.22981366],1
p10,1,0.001465,10.122215,[34 59] ; [41 25],[43.86792453 49.13207547] ; [31.13207547 34.86792453],0
s8,1,0.004056,8.258637,[21 74] ; [29 38],[29.32098765 65.67901235] ; [20.67901235 46.32098765],0
n6,1,0.006479,7.412027,[52 43] ; [50 16],[60.1863354 34.8136646] ; [41.8136646 24.1863354],0
r4,1,0.007191,7.224719,[55 41] ; [52 15],[63.01840491 32.98159509] ; [43.98159509 23.01840491],0
d4,1,0.007293,7.199374,[63 32] ; [57 10],[70.37037037 24.62962963] ; [49.62962963 17.37037037],0
r1,1,0.00786,7.06519,[53 42] ; [51 16],[60.98765432 34.01234568] ; [43.01234568 23.98765432],0
v3,1,0.00892,6.838834,[18 74] ; [25 40],[25.19745223 66.80254777] ; [17.80254777 47.19745223],0
d1,1,0.009052,6.812493,[36 60] ; [39 28],[44.17177914 51.82822086] ; [30.82822086 36.17177914],0
r2,1,0.010109,6.615511,[74 19] ; [63  4],[79.63125 13.36875] ; [57.36875  9.63125],0
a7,1,0.013072,6.159309,[56 39] ; [52 15],[63.33333333 31.66666667] ; [44.66666667 22.33333333],0
s7,1,0.014963,5.920849,[26 62] ; [30 31],[33.0738255 54.9261745] ; [22.9261745 38.0738255],0
a5,1,0.024176,5.081988,[52 44] ; [48 19],[58.89570552 37.10429448] ; [41.10429448 25.89570552],0
p3,1,0.026762,4.906075,[22 73] ; [26 40],[28.32298137 66.67701863] ; [19.67701863 46.32298137],0
v4,1,0.027493,4.859581,[71 25] ; [59  8],[76.56441718 19.43558282] ; [53.43558282 13.56441718],0
u1,1,0.037636,4.321377,[ 9 87] ; [14 53],[13.54601227 82.45398773] ; [ 9.45398773 57.54601227],0
a2,1,0.039763,4.227979,[18 78] ; [22 45],[23.55828221 72.44171779] ; [16.44171779 50.55828221],0
s2,1,0.045219,4.010446,[35 61] ; [35 32],[41.22699387 54.77300613] ; [28.77300613 38.22699387],0
d3,1,0.049172,3.869475,[48 45] ; [45 22],[54.05625 38.94375] ; [38.94375 28.05625],0
p7,1,0.053183,3.73816,[29 66] ; [30 36],[34.8136646 60.1863354] ; [24.1863354 41.8136646],0
b1,1,0.056906,3.625349,[63 33] ; [34 33],[57.12883436 38.87116564] ; [39.87116564 27.12883436],0
p9,1,0.058253,3.586426,[46 46] ; [43 23],[51.82278481 40.17721519] ; [37.17721519 28.82278481],0
a1,1,0.081266,3.039401,[12 84] ; [ 3 64],[ 8.83435583 87.16564417] ; [ 6.16564417 60.83435583],0
a4,1,0.093612,2.811139,[37 58] ; [35 32],[42.22222222 52.77777778] ; [29.77777778 37.22222222],0
n3,1,0.097179,2.751249,[24 20] ; [18  6],[27.17647059 16.82352941] ; [14.82352941  9.17647059],0
a3,1,0.099357,2.71584,[57 37] ; [49 18],[61.88819876 32.11180124] ; [44.11180124 22.88819876],0
s5,1,0.107719,2.587366,[23 69] ; [23 39],[27.48051948 64.51948052] ; [18.51948052 43.48051948],0
p2,1,0.14026,2.175103,[47 48] ; [41 26],[51.60493827 43.39506173] ; [36.39506173 30.60493827],0
d2,1,0.169918,1.883668,[43 51] ; [38 29],[47.29192547 46.70807453] ; [33.70807453 33.29192547],0
b5,1,0.180226,1.795758,[56 40] ; [46 21],[60.07361963 35.92638037] ; [41.92638037 25.07361963],0
p4,1,0.181816,1.782715,[30 65] ; [28 39],[34.01234568 60.98765432] ; [23.98765432 43.01234568],0
u3,1,0.183744,1.767083,[16 22] ; [11  7],[18.32142857 19.67857143] ; [8.67857143 9.32142857],0
a6,1,0.206314,1.597103,[53 42] ; [44 23],[56.88271605 38.11728395] ; [40.11728395 26.88271605],0
p5,1,0.210751,1.566258,[ 5 90] ; [ 1 66],[ 3.51851852 91.48148148] ; [ 2.48148148 64.51851852],0
n4,1,0.23332,1.420505,[56 39] ; [45 21],[59.59627329 35.40372671] ; [41.40372671 24.59627329],0
p1,1,0.429825,0.623297,[ 9 87] ; [ 4 63],[ 7.65644172 88.34355828] ; [ 5.34355828 61.65644172],0
s3,1,0.443042,0.588391,[41 54] ; [33 34],[43.39506173 51.60493827] ; [30.60493827 36.39506173],0
u2,1,0.474777,0.510836,[14 24] ; [8 9],[15.2 22.8] ; [ 6.8 10.2],0
b4,1,0.474872,0.510616,[49 47] ; [38 29],[51.2392638 44.7607362] ; [35.7607362 31.2392638],0
s4,1,0.531633,0.391269,[19 77] ; [16 51],[20.61349693 75.38650307] ; [14.38650307 52.61349693],0
n2,1,0.562294,0.335749,[26 21] ; [15  9],[27.14084507 19.85915493] ; [13.85915493 10.14084507],0
s1,1,0.639249,0.219726,[ 9 85] ; [ 5 62],[ 8.17391304 85.82608696] ; [ 5.82608696 61.17391304],0
n5,1,0.703033,0.145336,[59 37] ; [38 27],[57.83850932 38.16149068] ; [39.16149068 25.83850932],0
n1,1,0.821807,0.050725,[16 30] ; [ 9 15],[16.42857143 29.57142857] ; [ 8.57142857 15.42857143],0
b2,1,0.919971,0.010094,[20 37] ; [13 23],[20.22580645 36.77419355] ; [12.77419355 23.22580645],0
b3,1,0.919971,0.010094,[20 37] ; [13 23],[20.22580645 36.77419355] ; [12.77419355 23.22580645],0
a8,1,0.975882,0.000914,[11 82] ; [ 7 53],[10.94117647 82.05882353] ; [ 7.05882353 52.94117647],0
