Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2.8e-05,17.536232,[ 7 56] ; [14 13],[14.7 48.3] ; [ 6.3 20.7],1
p7,1,0.000436,12.373361,[14 48] ; [16 10],[21.13636364 40.86363636] ; [ 8.86363636 17.13636364],1
p8,1,0.000598,11.782289,[10 55] ; [13 13],[16.42857143 48.57142857] ; [ 6.57142857 19.42857143],1
p6,1,0.002609,9.062797,[ 3 60] ; [ 7 19],[ 7.07865169 55.92134831] ; [ 2.92134831 23.07865169],0
s2,1,0.004663,8.005784,[ 8 57] ; [10 16],[12.85714286 52.14285714] ; [ 5.14285714 20.85714286],0
p11,1,0.005981,7.556164,[23 42] ; [18  9],[28.9673913 36.0326087] ; [12.0326087 14.9673913],0
a5,1,0.009106,6.801934,[24 41] ; [18  9],[29.67391304 35.32608696] ; [12.32608696 14.67391304],0
s8,1,0.010534,6.542343,[ 1 64] ; [ 4 23],[ 3.5326087 61.4673913] ; [ 1.4673913 25.5326087],0
b3,1,0.017557,5.639808,[14 18] ; [ 2 16],[10.24 21.76] ; [ 5.76 12.24],0
b2,1,0.017557,5.639808,[14 18] ; [ 2 16],[10.24 21.76] ; [ 5.76 12.24],0
d3,1,0.032879,4.552061,[27 37] ; [18  9],[31.64835165 32.35164835] ; [13.35164835 13.64835165],0
d1,1,0.040442,4.199256,[17 48] ; [13 14],[21.19565217 43.80434783] ; [ 8.80434783 18.19565217],0
n1,1,0.048819,3.881562,[ 7 24] ; [6 5],[ 9.5952381 21.4047619] ; [3.4047619 7.5952381],0
p9,1,0.072503,3.225419,[29 34] ; [18  9],[32.9 30.1] ; [14.1 12.9],0
n6,1,0.07261,3.223008,[31 33] ; [18  8],[34.84444444 29.15555556] ; [14.15555556 11.84444444],0
d5,1,0.084175,2.982389,[33 32] ; [19  8],[36.73913043 28.26086957] ; [15.26086957 11.73913043],0
a4,1,0.094466,2.796565,[17 47] ; [12 15],[20.3956044 43.6043956] ; [ 8.6043956 18.3956044],0
s6,1,0.095102,2.785822,[16 49] ; [11 15],[19.28571429 45.71428571] ; [ 7.71428571 18.28571429],0
p2,1,0.096625,2.760377,[29 34] ; [17  9],[32.56179775 30.43820225] ; [13.43820225 12.56179775],0
v2,1,0.106873,2.599869,[16 45] ; [11 14],[19.15116279 41.84883721] ; [ 7.84883721 17.15116279],0
b1,1,0.109,2.568661,[29 36] ; [17 10],[32.5 32.5] ; [13.5 13.5],0
b5,1,0.1263,2.337407,[32 33] ; [18  9],[35.32608696 29.67391304] ; [14.67391304 12.32608696],0
b4,1,0.132049,2.268245,[40 25] ; [12 15],[36.73913043 28.26086957] ; [15.26086957 11.73913043],0
v3,1,0.13801,2.200011,[13 50] ; [ 2 24],[10.61797753 52.38202247] ; [ 4.38202247 21.61797753],0
n3,1,0.16349,1.941644,[15 16] ; [8 3],[16.97619048 14.02380952] ; [6.02380952 4.97619048],0
u3,1,0.174567,1.843277,[ 7 26] ; [6 9],[ 8.9375 24.0625] ; [ 4.0625 10.9375],0
r3,1,0.20618,1.598051,[29 33] ; [16 10],[31.70454545 30.29545455] ; [13.29545455 12.70454545],0
r1,1,0.255798,1.291358,[17 47] ; [ 4 22],[14.93333333 49.06666667] ; [ 6.06666667 19.93333333],0
r2,1,0.320339,0.987563,[37 25] ; [12 13],[34.91954023 27.08045977] ; [14.08045977 10.91954023],0
v1,1,0.337025,0.921714,[18 46] ; [10 16],[19.91111111 44.08888889] ; [ 8.08888889 17.91111111],0
p10,1,0.344252,0.894532,[27 36] ; [14 12],[29.02247191 33.97752809] ; [11.97752809 14.02247191],0
d4,1,0.355429,0.853979,[36 28] ; [18  9],[37.97802198 26.02197802] ; [16.02197802 10.97802198],0
a3,1,0.381602,0.765533,[32 31] ; [11 16],[30.1 32.9] ; [12.9 14.1],0
u2,1,0.403822,0.696915,[14 18] ; [ 5 11],[12.66666667 19.33333333] ; [6.33333333 9.66666667],0
u1,1,0.41415,0.666856,[ 4 61] ; [ 3 24],[ 4.94565217 60.05434783] ; [ 2.05434783 24.94565217],0
s4,1,0.415919,0.661818,[ 9 56] ; [ 2 24],[ 7.85714286 57.14285714] ; [ 3.14285714 22.85714286],0
n5,1,0.415938,0.661765,[38 26] ; [13 13],[36.26666667 27.73333333] ; [14.73333333 11.26666667],0
s1,1,0.426643,0.631944,[ 4 60] ; [ 3 24],[ 4.92307692 59.07692308] ; [ 2.07692308 24.92307692],0
p12,1,0.516669,0.420538,[ 1 64] ; [ 1 26],[ 1.41304348 63.58695652] ; [ 0.58695652 26.41304348],0
a6,1,0.526426,0.401286,[29 36] ; [14 13],[30.38043478 34.61956522] ; [12.61956522 14.38043478],0
a1,1,0.592072,0.28712,[10 55] ; [ 3 24],[ 9.18478261 55.81521739] ; [ 3.81521739 23.18478261],0
a2,1,0.596158,0.28083,[ 5 60] ; [ 3 24],[ 5.65217391 59.34782609] ; [ 2.34782609 24.65217391],0
a8,1,0.634007,0.226667,[ 4 56] ; [ 1 24],[ 3.52941176 56.47058824] ; [ 1.47058824 23.52941176],0
