Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,1.6e-05,18.671975,[26 12] ; [ 50 113],[14.3681592 23.6318408] ; [ 61.6318408 101.3681592],1
p5,1,0.006896,7.299874,[10 27] ; [ 17 148],[ 4.94554455 32.05445545] ; [ 22.05445545 142.94554455],0
u1,1,0.013433,6.11117,[15 23] ; [ 34 132],[ 9.12745098 28.87254902] ; [ 39.87254902 126.12745098],0
s7,1,0.018154,5.581236,[23 12] ; [69 89],[16.68393782 18.31606218] ; [75.31606218 82.68393782],0
b1,1,0.03513,4.438828,[22 16] ; [ 65 101],[16.20588235 21.79411765] ; [70.79411765 95.20588235],0
n4,1,0.057348,3.612467,[34  4] ; [125  41],[29.61764706  8.38235294] ; [129.38235294  36.61764706],0
r1,1,0.057771,3.60026,[35  3] ; [130  35],[30.88669951  7.11330049] ; [134.11330049  30.88669951],0
s6,1,0.067944,3.332008,[29  8] ; [102  61],[24.235 12.765] ; [106.765  56.235],0
b4,1,0.069719,3.289618,[17 21] ; [101  65],[21.98039216 16.01960784] ; [96.01960784 69.98039216],0
p3,1,0.076607,3.135453,[23 14] ; [76 89],[18.13366337 18.86633663] ; [80.86633663 84.13366337],0
p9,1,0.083518,2.995071,[34  4] ; [126  38],[30.0990099  7.9009901] ; [129.9009901  34.0990099],0
s8,1,0.105241,2.624272,[22 16] ; [72 94],[17.50980392 20.49019608] ; [76.49019608 89.50980392],0
p7,1,0.107494,2.590676,[26 11] ; [91 72],[21.645 15.355] ; [95.355 67.645],0
a7,1,0.11174,2.529444,[23 15] ; [122  44],[27.00980392 10.99019608] ; [117.99019608  48.00980392],0
a1,1,0.120333,2.412985,[ 4 34] ; [  7 159],[ 2.04901961 35.95098039] ; [  8.95098039 157.04901961],0
n6,1,0.121261,2.400961,[35  3] ; [135  30],[31.8226601  6.1773399] ; [138.1773399  26.8226601],0
p12,1,0.122919,2.379726,[ 4 34] ; [  7 158],[ 2.0591133 35.9408867] ; [  8.9408867 156.0591133],0
r4,1,0.167901,1.901585,[36  2] ; [144  22],[33.52941176  4.47058824] ; [146.47058824  19.52941176],0
p6,1,0.204985,1.606497,[19 19] ; [ 64 101],[15.53694581 22.46305419] ; [67.46305419 97.53694581],0
a8,1,0.216977,1.524251,[ 1 32] ; [ 15 141],[ 2.79365079 30.20634921] ; [ 13.20634921 142.79365079],0
s2,1,0.237689,1.394247,[22 16] ; [78 87],[18.71921182 19.28078818] ; [81.28078818 83.71921182],0
n3,1,0.247499,1.337368,[7 2] ; [31 23],[5.42857143 3.57142857] ; [32.57142857 21.42857143],0
v4,1,0.252759,1.30799,[37  1] ; [153  13],[35.39215686  2.60784314] ; [154.60784314  11.39215686],0
b5,1,0.271479,1.209259,[25 13] ; [93 73],[21.98039216 16.01960784] ; [96.01960784 69.98039216],0
p11,1,0.294135,1.100598,[30  8] ; [117  49],[27.38235294 10.61764706] ; [119.61764706  46.38235294],0
d3,1,0.296722,1.08887,[36  2] ; [148  18],[34.2745098  3.7254902] ; [149.7254902  16.2745098],0
n5,1,0.299146,1.077996,[31  7] ; [122  44],[28.5  9.5] ; [124.5  41.5],0
a5,1,0.337035,0.921676,[33  5] ; [133  33],[30.92156863  7.07843137] ; [135.07843137  30.92156863],0
s3,1,0.349789,0.874223,[24 14] ; [91 75],[21.42156863 16.57843137] ; [93.57843137 72.42156863],0
r3,1,0.386032,0.751405,[36  2] ; [149  16],[34.63054187  3.36945813] ; [150.36945813  14.63054187],0
p4,1,0.404136,0.695986,[25 13] ; [97 69],[22.7254902 15.2745098] ; [99.2745098 66.7254902],0
u2,1,0.423711,0.64,[6 2] ; [24 16],[5. 3.] ; [25. 15.],0
b3,1,0.426964,0.631068,[ 9 18] ; [43 60],[10.8 16.2] ; [41.2 61.8],0
b2,1,0.426964,0.631068,[ 9 18] ; [43 60],[10.8 16.2] ; [41.2 61.8],0
s5,1,0.433816,0.612586,[15 22] ; [ 55 108],[12.95 24.05] ; [ 57.05 105.95],0
p10,1,0.453575,0.561703,[31  7] ; [126  40],[29.24509804  8.75490196] ; [127.75490196  38.24509804],0
p8,1,0.456326,0.554891,[22 16] ; [85 81],[19.93137255 18.06862745] ; [87.06862745 78.93137255],0
a6,1,0.456432,0.554629,[28 10] ; [112  54],[26.07843137 11.92156863] ; [113.92156863  52.07843137],0
p2,1,0.494699,0.46629,[31  6] ; [130  35],[29.49009901  7.50990099] ; [131.50990099  33.49009901],0
a3,1,0.499572,0.455846,[30  7] ; [126  40],[28.43349754  8.56650246] ; [127.56650246  38.43349754],0
a4,1,0.547174,0.362404,[23 15] ; [91 74],[21.33990148 16.66009852] ; [92.66009852 72.33990148],0
s4,1,0.64321,0.214568,[ 9 28] ; [ 34 129],[ 7.955 29.045] ; [ 35.045 127.955],0
n2,1,0.733335,0.116071,[6 3] ; [34 22],[5.53846154 3.46153846] ; [34.46153846 21.53846154],0
r2,1,0.746199,0.104752,[37  1] ; [156   6],[36.67  1.33] ; [156.33   5.67],0
