Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.004086,8.245094,[44 18] ; [ 8 14],[38.38095238 23.61904762] ; [13.61904762  8.38095238],0
v4,1,0.004465,8.084244,[60  2] ; [17  5],[56.83333333  5.16666667] ; [20.16666667  1.83333333],0
s4,1,0.00991,6.651026,[11 51] ; [10 12],[15.5 46.5] ; [ 5.5 16.5],0
s5,1,0.024094,5.087883,[19 41] ; [13  9],[23.41463415 36.58536585] ; [ 8.58536585 13.41463415],0
p9,1,0.031311,4.635843,[52  9] ; [14  8],[48.5060241 12.4939759] ; [17.4939759  4.5060241],0
r1,1,0.041328,4.162509,[45 16] ; [11 11],[41.15662651 19.84337349] ; [14.84337349  7.15662651],0
v2,1,0.04412,4.051948,[32 24] ; [ 7 15],[28. 28.] ; [11. 11.],0
p10,1,0.045945,3.983604,[47 14] ; [12 10],[43.36144578 17.63855422] ; [15.63855422  6.36144578],0
p2,1,0.050642,3.820083,[53  8] ; [15  7],[49.97590361 11.02409639] ; [18.02409639  3.97590361],0
b1,1,0.053662,3.723167,[22 40] ; [13  9],[25.83333333 36.16666667] ; [ 9.16666667 12.83333333],0
a1,1,0.07622,3.143725,[ 2 60] ; [ 3 19],[ 3.69047619 58.30952381] ; [ 1.30952381 20.69047619],0
n1,1,0.088158,2.907692,[ 2 11] ; [4 4],[3.71428571 9.28571429] ; [2.28571429 5.71428571],0
a2,1,0.098944,2.722488,[12 50] ; [ 1 21],[ 9.5952381 52.4047619] ; [ 3.4047619 18.5952381],0
a4,1,0.119675,2.421567,[17 45] ; [10 12],[19.92857143 42.07142857] ; [ 7.07142857 14.92857143],0
p6,1,0.126979,2.329054,[19 42] ; [10 10],[21.83950617 39.16049383] ; [ 7.16049383 12.83950617],0
u3,1,0.129305,2.300834,[18  5] ; [4 4],[16.32258065  6.67741935] ; [5.67741935 2.32258065],0
p1,1,0.134051,2.244954,[ 6 54] ; [ 5 17],[ 8.04878049 51.95121951] ; [ 2.95121951 19.04878049],0
d3,1,0.160376,1.970674,[44 18] ; [12 10],[41.33333333 20.66666667] ; [14.66666667  7.33333333],0
a5,1,0.166735,1.912055,[41 21] ; [18  4],[43.54761905 18.45238095] ; [15.45238095  6.54761905],0
n6,1,0.175043,1.839215,[43 18] ; [12 10],[40.42168675 20.57831325] ; [14.57831325  7.42168675],0
n5,1,0.202737,1.622546,[23 38] ; [ 5 17],[20.57831325 40.42168675] ; [ 7.42168675 14.57831325],0
s8,1,0.223284,1.483138,[29 33] ; [ 7 15],[26.57142857 35.42857143] ; [ 9.42857143 12.57142857],0
p11,1,0.239657,1.382608,[45 17] ; [13  9],[42.80952381 19.19047619] ; [15.19047619  6.80952381],0
r4,1,0.273713,1.198044,[54  8] ; [17  5],[52.4047619  9.5952381] ; [18.5952381  3.4047619],0
r2,1,0.294858,1.097307,[58  4] ; [19  3],[56.83333333  5.16666667] ; [20.16666667  1.83333333],0
d5,1,0.304622,1.053849,[49 13] ; [15  7],[47.23809524 14.76190476] ; [16.76190476  5.23809524],0
n2,1,0.339802,0.911178,[9 4] ; [7 1],[9.9047619 3.0952381] ; [6.0952381 1.9047619],0
v3,1,0.341202,0.905911,[17 40] ; [ 4 17],[15.34615385 41.65384615] ; [ 5.65384615 15.34615385],0
d4,1,0.369677,0.80475,[48 14] ; [19  3],[49.45238095 12.54761905] ; [17.54761905  4.45238095],0
u2,1,0.423925,0.639408,[13  9] ; [6 2],[13.93333333  8.06666667] ; [5.06666667 2.93333333],0
b5,1,0.430688,0.620968,[37 25] ; [11 11],[35.42857143 26.57142857] ; [12.57142857  9.42857143],0
s1,1,0.438267,0.600815,[ 1 61] ; [ 1 21],[ 1.47619048 60.52380952] ; [ 0.52380952 21.47619048],0
