Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,70.646773,[21 82] ; [190  87],[57.19210526 45.80789474] ; [153.80789474 123.19210526],1
s3,1,0.0,51.548201,[30 72] ; [194  82],[60.44444444 41.55555556] ; [163.55555556 112.44444444],1
s7,1,0.0,36.707778,[33 64] ; [181  80],[57.98324022 39.01675978] ; [156.01675978 104.98324022],1
s8,1,0.0,34.272935,[30 73] ; [174 103],[55.29473684 47.70526316] ; [148.70526316 128.29473684],1
s5,1,1e-06,24.251903,[22 79] ; [135 134],[42.85675676 58.14324324] ; [114.14324324 154.85675676],1
s4,1,0.00083,11.172183,[ 7 96] ; [ 59 216],[17.98412698 85.01587302] ; [ 48.01587302 226.98412698],1
d2,1,0.001745,9.80001,[41 61] ; [162 116],[54.48947368 47.51052632] ; [148.51052632 129.48947368],0
p9,1,0.00437,8.123364,[95  8] ; [273   5],[99.4855643  3.5144357] ; [268.5144357   9.4855643],0
p6,1,0.004551,8.049885,[38 65] ; [146 128],[50.27055703 52.72944297] ; [133.72944297 140.27055703],0
r4,1,0.005103,7.842618,[91 12] ; [267  11],[96.78215223  6.21784777] ; [261.21784777  16.78215223],0
p12,1,0.014874,5.93138,[ 6 97] ; [ 42 235],[13.01052632 89.98947368] ; [ 34.98947368 242.01052632],0
r3,1,0.019714,5.437069,[95  8] ; [270   7],[98.93421053  4.06578947] ; [266.06578947  10.93421053],0
d1,1,0.019922,5.418676,[58 45] ; [192  86],[67.58530184 35.41469816] ; [182.41469816  95.58530184],0
p4,1,0.022741,5.188184,[78 25] ; [238  40],[85.42782152 17.57217848] ; [230.57217848  47.42782152],0
a3,1,0.024081,5.088765,[71 31] ; [223  54],[79.12401055 22.87598945] ; [214.87598945  62.12401055],0
p5,1,0.026615,4.915599,[11 91] ; [ 57 219],[18.34920635 83.65079365] ; [ 49.65079365 226.34920635],0
u1,1,0.046504,3.96323,[17 86] ; [ 73 205],[24.33070866 78.66929134] ; [ 65.66929134 212.33070866],0
u2,1,0.051144,3.803554,[16 16] ; [39 16],[20.22988506 11.77011494] ; [34.77011494 20.22988506],0
p2,1,0.053907,3.715572,[87 16] ; [252  24],[92.1292876 10.8707124] ; [246.8707124  29.1292876],0
a2,1,0.065471,3.393059,[22 81] ; [ 86 192],[29.19685039 73.80314961] ; [ 78.80314961 199.19685039],0
d4,1,0.072847,3.217677,[82 21] ; [241  36],[87.55 15.45] ; [235.45  41.55],0
d5,1,0.076281,3.142415,[83 20] ; [243  34],[88.36315789 14.63684211] ; [237.63684211  39.36315789],0
n6,1,0.117916,2.444792,[88 15] ; [252  25],[92.15789474 10.84210526] ; [247.84210526  29.15789474],0
a4,1,0.133538,2.250885,[45 58] ; [145 132],[51.5 51.5] ; [138.5 138.5],0
r1,1,0.155649,2.016002,[81 22] ; [234  42],[85.60686016 17.39313984] ; [229.39313984  46.60686016],0
u4,1,0.219043,1.510631,[  1 102] ; [  9 269],[  2.70341207 100.29658793] ; [  7.29658793 270.70341207],0
a1,1,0.237451,1.395662,[ 4 99] ; [ 20 258],[ 6.48818898 96.51181102] ; [ 17.51181102 260.48818898],0
r2,1,0.254644,1.297643,[97  6] ; [267   9],[98.92348285  4.07651715] ; [265.07651715  10.92348285],0
p11,1,0.257912,1.279929,[94  9] ; [242  36],[90.83464567 12.16535433] ; [245.16535433  32.83464567],0
p1,1,0.310901,1.026845,[16 87] ; [ 32 243],[13.07936508 89.92063492] ; [ 34.92063492 240.07936508],0
a5,1,0.338575,0.91582,[80 23] ; [228  50],[83.26509186 19.73490814] ; [224.73490814  53.26509186],0
u3,1,0.393534,0.727996,[18 14] ; [36 19],[19.86206897 12.13793103] ; [34.13793103 20.86206897],0
b4,1,0.417082,0.658522,[56 47] ; [164 114],[59.47506562 43.52493438] ; [160.52493438 117.47506562],0
n3,1,0.45199,0.565657,[12  2] ; [32 10],[11.  3.] ; [33.  9.],0
a7,1,0.456145,0.555337,[79 24] ; [202  75],[76.16578947 26.83421053] ; [204.83421053  72.16578947],0
b3,1,0.481359,0.495783,[30 36] ; [ 72 106],[27.59016393 38.40983607] ; [ 74.40983607 103.59016393],0
b2,1,0.481359,0.495783,[30 36] ; [ 72 106],[27.59016393 38.40983607] ; [ 74.40983607 103.59016393],0
a6,1,0.560722,0.338455,[76 27] ; [196  81],[73.72631579 29.27368421] ; [198.27368421  78.72631579],0
b5,1,0.591343,0.288252,[55 48] ; [157 121],[57.31233596 45.68766404] ; [154.68766404 123.31233596],0
n2,1,0.601213,0.273171,[11  3] ; [30 12],[10.25  3.75] ; [30.75 11.25],0
v4,1,0.61761,0.249241,[99  4] ; [270   8],[99.75590551  3.24409449] ; [269.24409449   8.75590551],0
v2,1,0.653575,0.201422,[66 35] ; [169 100],[64.14864865 36.85135135] ; [170.85135135  98.14864865],0
v1,1,0.667476,0.184569,[62 39] ; [171  97],[63.77506775 37.22493225] ; [169.22493225  98.77506775],0
p8,1,0.68903,0.160138,[72 31] ; [187  89],[70.3878628 32.6121372] ; [188.6121372  87.3878628],0
d3,1,0.695624,0.153064,[72 31] ; [200  78],[73.5328084 29.4671916] ; [198.4671916  79.5328084],0
n5,1,0.735133,0.114451,[84 19] ; [230  47],[85.11052632 17.88947368] ; [228.88947368  48.11052632],0
s1,1,0.735249,0.114346,[  2 101] ; [  7 269],[  2.44591029 100.55408971] ; [  6.55408971 269.44591029],0
n1,1,0.752044,0.099822,[5 9] ; [17 25],[5.5 8.5] ; [16.5 25.5],0
p7,1,0.806589,0.059941,[80 23] ; [216  58],[80.87002653 22.12997347] ; [215.12997347  58.87002653],0
b1,1,0.846219,0.037615,[43 60] ; [113 165],[42.17322835 60.82677165] ; [113.82677165 164.17322835],0
a8,1,0.885817,0.020621,[11 77] ; [ 31 229],[10.62068966 77.37931034] ; [ 31.37931034 228.62068966],0
v3,1,0.943259,0.005066,[48 52] ; [128 141],[47.69647696 52.30352304] ; [128.30352304 140.69647696],0
n4,1,0.987313,0.000253,[87 16] ; [235  43],[87.04986877 15.95013123] ; [234.95013123  43.04986877],0
