Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,31.2965,[ 34 132] ; [90 93],[ 58.97994269 107.02005731] ; [ 65.02005731 117.97994269],1
v1,1,0.0,25.497874,[ 52 113] ; [105  74],[75.30523256 89.69476744] ; [81.69476744 97.30523256],1
r3,1,0.000902,11.019274,[150  18] ; [181   4],[157.52974504  10.47025496] ; [173.47025496  11.52974504],1
r1,1,0.001162,10.550407,[112  56] ; [152  34],[125.28813559  42.71186441] ; [138.71186441  47.28813559],0
a7,1,0.002498,9.142422,[102  66] ; [140  45],[115.17280453  52.82719547] ; [126.82719547  58.17280453],0
d4,1,0.008262,6.975741,[122  47] ; [155  30],[132.24011299  36.75988701] ; [144.75988701  40.24011299],0
p10,1,0.012486,6.240583,[113  52] ; [149  37],[123.16239316  41.83760684] ; [138.83760684  47.16239316],0
d5,1,0.012901,6.182653,[126  42] ; [159  27],[135.25423729  32.74576271] ; [149.74576271  36.25423729],0
d1,1,0.015028,5.913177,[80 89] ; [112  74],[91.4028169 77.5971831] ; [100.5971831  85.4028169],0
p9,1,0.018873,5.513227,[119  46] ; [152  32],[128.12320917  36.87679083] ; [142.87679083  41.12320917],0
r2,1,0.025103,5.016801,[148  19] ; [175   9],[153.67806268  13.32193732] ; [169.32193732  14.67806268],0
n4,1,0.031262,4.638518,[118  50] ; [149  37],[126.71186441  41.28813559] ; [140.28813559  45.71186441],0
d3,1,0.041149,4.169861,[100  68] ; [130  56],[109.15254237  58.84745763] ; [120.84745763  65.15254237],0
s8,1,0.046918,3.948328,[ 55 113] ; [ 80 106],[ 64.06779661 103.93220339] ; [ 70.93220339 115.06779661],0
a1,1,0.063917,3.432725,[  4 165] ; [ 12 174],[  7.61690141 161.38309859] ; [  8.38309859 177.61690141],0
p7,1,0.064974,3.405628,[ 61 104] ; [86 98],[69.49856734 95.50143266] ; [ 77.50143266 106.49856734],0
p6,1,0.067652,3.339081,[ 33 134] ; [ 52 133],[ 40.32670455 126.67329545] ; [ 44.67329545 140.32670455],0
p2,1,0.074564,3.179581,[113  55] ; [141  45],[120.54237288  47.45762712] ; [133.45762712  52.54237288],0
u1,1,0.075832,3.152048,[ 28 141] ; [ 45 141],[ 34.75211268 134.24788732] ; [ 38.24788732 147.75211268],0
a5,1,0.100203,2.702315,[108  61] ; [134  52],[115.2056338  53.7943662] ; [126.7943662  59.2056338],0
s6,1,0.107854,2.585393,[100  67] ; [126  59],[107.22159091  59.77840909] ; [118.77840909  66.22159091],0
p1,1,0.108845,2.570916,[ 13 156] ; [  7 179],[  9.52112676 159.47887324] ; [ 10.47887324 175.52112676],0
a6,1,0.123619,2.370856,[106  63] ; [131  55],[112.82535211  56.17464789] ; [124.17464789  61.82535211],0
