Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.000763,11.330087,[7 2] ; [ 2 15],[3.11538462 5.88461538] ; [ 5.88461538 11.11538462],1
n6,1,0.00773,7.095029,[2 7] ; [13  4],[5.19230769 3.80769231] ; [9.80769231 7.19230769],0
d5,1,0.019143,5.488374,[8 1] ; [ 7 10],[5.19230769 3.80769231] ; [9.80769231 7.19230769],0
r2,1,0.020479,5.370629,[7 1] ; [ 6 10],[4.33333333 3.66666667] ; [8.66666667 7.33333333],0
d3,1,0.037002,4.350327,[8 1] ; [8 9],[5.53846154 3.46153846] ; [10.46153846  6.53846154],0
d2,1,0.067362,3.346168,[6 3] ; [ 5 12],[3.80769231 5.19230769] ; [7.19230769 9.80769231],0
s3,1,0.074905,3.172113,[7 2] ; [ 7 10],[4.84615385 4.15384615] ; [9.15384615 7.84615385],0
s2,1,0.074905,3.172113,[7 2] ; [ 7 10],[4.84615385 4.15384615] ; [9.15384615 7.84615385],0
n4,1,0.126858,2.330532,[3 6] ; [11  6],[4.84615385 4.15384615] ; [9.15384615 7.84615385],0
p4,1,0.13147,2.275064,[2 7] ; [9 8],[3.80769231 5.19230769] ; [7.19230769 9.80769231],0
p11,1,0.192373,1.699346,[4 5] ; [12  5],[5.53846154 3.46153846] ; [10.46153846  6.53846154],0
a3,1,0.216201,1.529412,[6 3] ; [ 7 10],[4.5 4.5] ; [8.5 8.5],0
b3,1,0.260531,1.265934,[2 3] ; [ 2 11],[1.11111111 3.88888889] ; [ 2.88888889 10.11111111],0
b2,1,0.260531,1.265934,[2 3] ; [ 2 11],[1.11111111 3.88888889] ; [ 2.88888889 10.11111111],0
p2,1,0.271644,1.208424,[5 4] ; [13  4],[6.23076923 2.76923077] ; [11.76923077  5.23076923],0
n2,1,0.280087,1.166667,[2 4] ; [5 3],[3. 3.] ; [4. 4.],0
r3,1,0.340018,0.910364,[6 3] ; [8 9],[4.84615385 4.15384615] ; [9.15384615 7.84615385],0
a7,1,0.340018,0.910364,[6 3] ; [8 9],[4.84615385 4.15384615] ; [9.15384615 7.84615385],0
a4,1,0.49205,0.472041,[2 7] ; [ 6 11],[2.76923077 6.23076923] ; [ 5.23076923 11.76923077],0
p10,1,0.500352,0.454189,[6 3] ; [9 8],[5.19230769 3.80769231] ; [9.80769231 7.19230769],0
n3,1,0.639994,0.21875,[3 3] ; [5 3],[3.42857143 2.57142857] ; [4.57142857 3.42857143],0
a6,1,0.648206,0.20817,[4 5] ; [ 6 11],[3.46153846 5.53846154] ; [ 6.53846154 10.46153846],0
b5,1,0.648206,0.20817,[5 4] ; [11  6],[5.53846154 3.46153846] ; [10.46153846  6.53846154],0
s7,1,0.653329,0.201728,[5 3] ; [9 8],[4.48 3.52] ; [9.52 7.48],0
p8,1,0.653329,0.201728,[3 5] ; [8 9],[3.52 4.48] ; [7.48 9.52],0
p7,1,0.67844,0.171887,[4 4] ; [10  7],[4.48 3.52] ; [9.52 7.48],0
p9,1,0.68017,0.169935,[4 5] ; [9 8],[4.5 4.5] ; [8.5 8.5],0
v2,1,0.68591,0.163549,[3 5] ; [ 5 12],[2.56 5.44] ; [ 5.44 11.56],0
b4,1,0.69574,0.152941,[3 6] ; [ 7 10],[3.46153846 5.53846154] ; [ 6.53846154 10.46153846],0
p3,1,0.69574,0.152941,[3 6] ; [ 7 10],[3.46153846 5.53846154] ; [ 6.53846154 10.46153846],0
n1,1,0.732678,0.116667,[2 4] ; [2 6],[1.71428571 4.28571429] ; [2.28571429 5.71428571],0
r1,1,0.778244,0.079303,[2 7] ; [ 3 14],[1.73076923 7.26923077] ; [ 3.26923077 13.73076923],0
v1,1,0.778244,0.079303,[2 7] ; [ 3 14],[1.73076923 7.26923077] ; [ 3.26923077 13.73076923],0
s5,1,0.781867,0.076667,[2 6] ; [ 3 12],[1.73913043 6.26086957] ; [ 3.26086957 11.73913043],0
p6,1,0.836701,0.042484,[3 6] ; [ 5 12],[2.76923077 6.23076923] ; [ 5.23076923 11.76923077],0
v4,1,0.836701,0.042484,[6 3] ; [12  5],[6.23076923 2.76923077] ; [11.76923077  5.23076923],0
s6,1,0.872518,0.025748,[5 4] ; [10  7],[5.19230769 3.80769231] ; [9.80769231 7.19230769],0
a5,1,0.872518,0.025748,[4 5] ; [ 7 10],[3.80769231 5.19230769] ; [7.19230769 9.80769231],0
b1,1,0.898768,0.016184,[4 5] ; [8 9],[4.15384615 4.84615385] ; [7.84615385 9.15384615],0
s8,1,0.940006,0.005664,[2 7] ; [ 4 13],[2.07692308 6.92307692] ; [ 3.92307692 13.07692308],0
s1,1,0.96042,0.002463,[1 8] ; [ 2 15],[1.03846154 7.96153846] ; [ 1.96153846 15.03846154],0
