Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,2e-06,22.950254,[19 17] ; [15 94],[ 8.44137931 27.55862069] ; [25.55862069 83.44137931],1
p7,1,8.5e-05,15.45111,[23 13] ; [29 77],[13.18309859 22.81690141] ; [38.81690141 67.18309859],1
p5,1,0.002375,9.234606,[ 7 29] ; [  4 102],[ 2.78873239 33.21126761] ; [ 8.21126761 97.78873239],0
p4,1,0.005812,7.60754,[19 16] ; [31 77],[12.23776224 22.76223776] ; [37.76223776 70.23776224],0
p3,1,0.006552,7.391843,[19 16] ; [32 78],[12.31034483 22.68965517] ; [38.68965517 71.31034483],0
d2,1,0.011901,6.325561,[ 9 26] ; [54 54],[15.41958042 19.58041958] ; [47.58041958 60.41958042],0
r3,1,0.014768,5.943935,[32  4] ; [108   2],[34.52054795  1.47945205] ; [105.47945205   4.52054795],0
v2,1,0.053749,3.720483,[22 12] ; [47 56],[17.12408759 16.87591241] ; [51.87591241 51.12408759],0
r2,1,0.063922,3.432585,[33  3] ; [107   2],[34.75862069  1.24137931] ; [105.24137931   3.75862069],0
a2,1,0.070466,3.272122,[ 3 33] ; [24 86],[ 6.65753425 29.34246575] ; [20.34246575 89.65753425],0
a3,1,0.073968,3.192684,[17 18] ; [72 38],[21.48275862 13.51724138] ; [67.51724138 42.48275862],0
d4,1,0.07481,3.174198,[22 13] ; [85 24],[26.00694444  8.99305556] ; [80.99305556 28.00694444],0
p10,1,0.083196,3.001336,[27  9] ; [63 44],[22.65734266 13.34265734] ; [67.34265734 39.65734266],0
d5,1,0.088604,2.899559,[20 15] ; [79 30],[24.0625 10.9375] ; [74.9375 34.0625],0
p9,1,0.115977,2.470824,[28  8] ; [68 39],[24.16783217 11.83216783] ; [71.83216783 35.16783217],0
b1,1,0.122667,2.38294,[13 23] ; [56 54],[17.01369863 18.98630137] ; [51.98630137 58.01369863],0
s3,1,0.127309,2.325015,[13 21] ; [58 51],[16.88111888 17.11888112] ; [54.11888112 54.88111888],0
b5,1,0.142753,2.148031,[19 17] ; [73 37],[22.68493151 13.31506849] ; [69.31506849 40.68493151],0
p12,1,0.158586,1.987657,[ 5 31] ; [  7 102],[ 2.97931034 33.02068966] ; [ 9.02068966 99.97931034],0
s5,1,0.175481,1.835489,[14 21] ; [28 73],[10.80882353 24.19117647] ; [31.19117647 69.80882353],0
s8,1,0.186967,1.741354,[11 24] ; [48 61],[14.34027778 20.65972222] ; [44.65972222 64.34027778],0
u1,1,0.193122,1.693635,[ 3 33] ; [19 91],[ 5.42465753 30.57534247] ; [16.57534247 93.42465753],0
u2,1,0.207638,1.58782,[ 9 10] ; [24 13],[11.19642857  7.80357143] ; [21.80357143 15.19642857],0
a4,1,0.209284,1.576372,[12 23] ; [51 59],[15.20689655 19.79310345] ; [47.79310345 62.20689655],0
s4,1,0.236137,1.403509,[ 5 31] ; [25 83],[ 7.5 28.5] ; [22.5 85.5],0
u3,1,0.244033,1.357143,[10  9] ; [26 12],[12.  7.] ; [24. 14.],0
s7,1,0.29282,1.106611,[11 22] ; [45 58],[13.58823529 19.41176471] ; [42.41176471 60.58823529],0
d3,1,0.339202,0.913447,[17 18] ; [63 46],[19.44444444 15.55555556] ; [60.55555556 48.44444444],0
d1,1,0.442458,0.589899,[16 20] ; [57 53],[18. 18.] ; [55. 55.],0
p11,1,0.465059,0.533691,[25 11] ; [69 41],[23.17808219 12.82191781] ; [70.82191781 39.17808219],0
a5,1,0.465059,0.533691,[25 11] ; [69 41],[23.17808219 12.82191781] ; [70.82191781 39.17808219],0
v4,1,0.514081,0.425752,[35  1] ; [104   6],[34.2739726  1.7260274] ; [104.7260274   5.2739726],0
n6,1,0.550474,0.356469,[26  9] ; [87 23],[27.27586207  7.72413793] ; [85.72413793 24.27586207],0
n4,1,0.566117,0.329223,[22 14] ; [73 37],[23.42465753 12.57534247] ; [71.57534247 38.42465753],0
a7,1,0.600943,0.273576,[24 12] ; [68 42],[22.68493151 13.31506849] ; [69.31506849 40.68493151],0
n1,1,0.634775,0.225641,[3 2] ; [19 20],[2.5 2.5] ; [19.5 19.5],0
u4,1,0.642824,0.215067,[ 1 35] ; [  5 105],[ 1.47945205 34.52054795] ; [  4.52054795 105.47945205],0
r1,1,0.682723,0.167077,[28  8] ; [89 21],[28.84931507  7.15068493] ; [88.15068493 21.84931507],0
p1,1,0.684655,0.164933,[ 3 33] ; [  7 103],[ 2.46575342 33.53424658] ; [  7.53424658 102.46575342],0
s1,1,0.705038,0.143284,[ 2 34] ; [  8 100],[ 2.5 33.5] ; [  7.5 100.5],0
b4,1,0.70891,0.139369,[20 16] ; [65 45],[20.95890411 15.04109589] ; [64.04109589 45.95890411],0
s2,1,0.764345,0.089868,[16 19] ; [53 56],[16.77083333 18.22916667] ; [52.22916667 56.77083333],0
a8,1,0.777982,0.079495,[ 4 29] ; [11 95],[ 3.56115108 29.43884892] ; [11.43884892 94.56115108],0
a6,1,0.818186,0.052844,[21 14] ; [63 46],[20.41666667 14.58333333] ; [63.58333333 45.41666667],0
v3,1,0.81922,0.052234,[14 22] ; [36 62],[13.43283582 22.56716418] ; [36.56716418 61.43283582],0
s6,1,0.844668,0.038387,[23 12] ; [69 39],[22.51748252 12.48251748] ; [69.48251748 38.51748252],0
b2,1,0.846826,0.037315,[ 7 14] ; [26 47],[ 7.37234043 13.62765957] ; [25.62765957 47.37234043],0
