Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5e-06,20.942746,[15 19] ; [91 18],[25.2027972  8.7972028] ; [80.7972028 28.2027972],1
n6,1,0.000163,14.218079,[18 16] ; [91 17],[26.09859155  7.90140845] ; [82.90140845 25.09859155],1
v3,1,0.010189,6.601585,[ 9 24] ; [55 49],[15.41605839 17.58394161] ; [48.58394161 55.41605839],0
r4,1,0.015397,5.870452,[24 10] ; [96 13],[28.53146853  5.46853147] ; [91.46853147 17.53146853],0
p4,1,0.021576,5.279693,[13 20] ; [67 41],[18.72340426 14.27659574] ; [61.27659574 46.72340426],0
n1,1,0.027012,4.890046,[1 8] ; [9 7],[3.6 5.4] ; [6.4 9.6],0
r3,1,0.027062,4.886828,[28  6] ; [102   6],[31.12676056  2.87323944] ; [98.87323944  9.12676056],0
p3,1,0.027977,4.829472,[11 21] ; [61 47],[16.45714286 15.54285714] ; [55.54285714 52.45714286],0
a6,1,0.033249,4.532921,[18 16] ; [79 30],[23.06293706 10.93706294] ; [73.93706294 35.06293706],0
d1,1,0.058813,3.570555,[14 20] ; [65 44],[18.78321678 15.21678322] ; [60.21678322 48.78321678],0
r1,1,0.076461,3.138568,[24 10] ; [91 17],[27.53521127  6.46478873] ; [87.46478873 20.53521127],0
p2,1,0.084785,2.970704,[25  8] ; [95 13],[28.08510638  4.91489362] ; [91.91489362 16.08510638],0
s8,1,0.088534,2.900833,[ 5 29] ; [32 77],[ 8.7972028 25.2027972] ; [28.2027972 80.7972028],0
p6,1,0.089137,2.889899,[ 6 25] ; [38 69],[ 9.88405797 21.11594203] ; [34.11594203 72.88405797],0
d5,1,0.092848,2.824297,[22 12] ; [86 23],[25.67832168  8.32167832] ; [82.32167832 26.67832168],0
p7,1,0.114373,2.492732,[17 16] ; [72 36],[20.82978723 12.17021277] ; [68.17021277 39.82978723],0
d2,1,0.121849,2.393398,[12 22] ; [55 54],[15.93006993 18.06993007] ; [51.06993007 57.93006993],0
r2,1,0.13268,2.260867,[29  5] ; [101   7],[31.12676056  2.87323944] ; [98.87323944  9.12676056],0
s7,1,0.138404,2.195611,[ 5 28] ; [28 72],[ 8.18796992 24.81203008] ; [24.81203008 75.18796992],0
u3,1,0.140501,2.17246,[7 2] ; [15 15],[5.07692308 3.92307692] ; [16.92307692 13.07692308],0
a4,1,0.145698,2.116722,[12 22] ; [54 55],[15.69230769 18.30769231] ; [50.30769231 58.69230769],0
p11,1,0.151203,2.060068,[25  9] ; [92 17],[27.81818182  6.18181818] ; [89.18181818 19.81818182],0
p8,1,0.153975,2.032419,[14 19] ; [60 46],[17.56834532 15.43165468] ; [56.43165468 49.56834532],0
n2,1,0.158379,1.989638,[8 1] ; [10  6],[6.48 2.52] ; [11.52  4.48],0
u2,1,0.15929,1.980952,[6 3] ; [12 18],[4.15384615 4.84615385] ; [13.84615385 16.15384615],0
a7,1,0.162664,1.949288,[20 14] ; [78 31],[23.3006993 10.6993007] ; [74.6993007 34.3006993],0
p5,1,0.184165,1.763688,[ 5 28] ; [ 8 99],[ 3.06428571 29.93571429] ; [ 9.93571429 97.06428571],0
a5,1,0.187322,1.738559,[22 12] ; [83 26],[24.96503497  9.03496503] ; [80.03496503 28.96503497],0
b2,1,0.194568,1.682689,[ 7 13] ; [36 34],[ 9.55555556 10.44444444] ; [33.44444444 36.55555556],0
b3,1,0.194568,1.682689,[ 7 13] ; [36 34],[ 9.55555556 10.44444444] ; [33.44444444 36.55555556],0
s1,1,0.229117,1.446337,[ 3 31] ; [  4 104],[ 1.67605634 32.32394366] ; [  5.32394366 102.67605634],0
d3,1,0.238545,1.389173,[19 15] ; [73 36],[21.87412587 12.12587413] ; [70.12587413 38.87412587],0
p10,1,0.243953,1.357605,[23 10] ; [85 22],[25.45714286  7.54285714] ; [82.54285714 24.45714286],0
