Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2e-06,22.722764,[ 58 245] ; [18 14],[ 68.74029851 234.25970149] ; [ 7.25970149 24.74029851],1
p12,1,0.00014,14.498621,[  7 300] ; [ 5 28],[ 10.83529412 296.16470588] ; [ 1.16470588 31.83529412],1
p3,1,0.001071,10.700249,[127 181] ; [24 10],[135.98830409 172.01169591] ; [15.01169591 18.98830409],0
p10,1,0.002105,9.45579,[222  84] ; [32  1],[229.27433628  76.72566372] ; [24.72566372  8.27433628],0
p4,1,0.002468,9.164359,[157 150] ; [26  7],[165.23823529 141.76176471] ; [17.76176471 15.23823529],0
p7,1,0.003998,8.284589,[164 142] ; [27  7],[171.9 134.1] ; [19.1 14.9],0
p8,1,0.005291,7.777114,[138 166] ; [24 10],[145.70414201 158.29585799] ; [16.29585799 17.70414201],0
p9,1,0.014788,5.941518,[231  74] ; [32  2],[236.62241888  68.37758112] ; [26.37758112  7.62241888],0
v3,1,0.01607,5.795184,[104 196] ; [18 14],[110.24096386 189.75903614] ; [11.75903614 20.24096386],0
r2,1,0.032059,4.595344,[276  27] ; [27  7],[272.43026706  30.56973294] ; [30.56973294  3.43026706],0
p1,1,0.038267,4.293129,[ 17 291] ; [ 5 29],[ 19.8128655 288.1871345] ; [ 2.1871345 31.8128655],0
a1,1,0.038607,4.278087,[ 12 297] ; [ 4 30],[ 14.41399417 294.58600583] ; [ 1.58600583 32.41399417],0
s6,1,0.040811,4.183854,[129 177] ; [19 12],[134.38575668 171.61424332] ; [13.61424332 17.38575668],0
p11,1,0.046844,3.950973,[224  85] ; [30  4],[228.82215743  80.17784257] ; [25.17784257  8.82215743],0
b3,1,0.052278,3.766861,[ 61 119] ; [13 11],[ 65.29411765 114.70588235] ; [ 8.70588235 15.29411765],0
b2,1,0.052278,3.766861,[ 61 119] ; [13 11],[ 65.29411765 114.70588235] ; [ 8.70588235 15.29411765],0
u2,1,0.060341,3.527985,[46 48] ; [6 1],[48.3960396 45.6039604] ; [3.6039604 3.3960396],0
a5,1,0.064001,3.430533,[228  81] ; [30  4],[232.42565598  76.57434402] ; [25.57434402  8.42565598],0
s7,1,0.073215,3.209424,[ 78 214] ; [13 18],[ 82.26625387 209.73374613] ; [ 8.73374613 22.26625387],0
n4,1,0.074518,3.180583,[219  90] ; [29  5],[223.41690962  85.58309038] ; [24.58309038  9.41690962],0
s8,1,0.074844,3.173464,[ 74 232] ; [13 21],[ 78.3 227.7] ; [ 8.7 25.3],0
v1,1,0.082698,3.011057,[152 155] ; [21 11],[156.66961652 150.33038348] ; [16.33038348 15.66961652],0
n5,1,0.10877,2.572005,[202 105] ; [27  7],[206.16715543 100.83284457] ; [22.83284457 11.16715543],0
p2,1,0.113529,2.504399,[233  75] ; [29  4],[236.64516129  71.35483871] ; [25.35483871  7.64516129],0
d5,1,0.117905,2.444931,[274  35] ; [27  7],[271.16326531  37.83673469] ; [29.83673469  4.16326531],0
n3,1,0.12024,2.414198,[54 29] ; [2 4],[52.2247191 30.7752809] ; [3.7752809 2.2247191],0
a3,1,0.21479,1.538841,[213  95] ; [27  7],[216.14035088  91.85964912] ; [23.85964912 10.14035088],0
r1,1,0.246615,1.342376,[236  72] ; [23 11],[233.25146199  74.74853801] ; [25.74853801  8.25146199],0
p6,1,0.263841,1.248491,[ 91 213] ; [13 20],[ 93.81602374 210.18397626] ; [10.18397626 22.81602374],0
b4,1,0.27434,1.194917,[179 130] ; [23 11],[181.97667638 127.02332362] ; [20.02332362 13.97667638],0
u3,1,0.285413,1.141133,[48 47] ; [5 2],[49.3627451 45.6372549] ; [3.6372549 3.3627451],0
b1,1,0.387737,0.746027,[113 196] ; [15 19],[115.31195335 193.68804665] ; [12.68804665 21.31195335],0
s4,1,0.396352,0.719366,[ 34 272] ; [ 2 30],[ 32.59171598 273.40828402] ; [ 3.40828402 28.59171598],0
d1,1,0.40278,0.700012,[204 105] ; [20 14],[201.79591837 107.20408163] ; [22.20408163 11.79591837],0
v4,1,0.419056,0.65296,[285  24] ; [30  4],[283.7755102  25.2244898] ; [31.2244898  2.7755102],0
n6,1,0.431679,0.618302,[254  54] ; [29  4],[255.61290323  52.38709677] ; [27.38709677  5.61290323],0
n2,1,0.444219,0.58536,[55 29] ; [3 3],[54.13333333 29.86666667] ; [3.86666667 2.13333333],0
d3,1,0.454559,0.559258,[236  73] ; [24 10],[234.22740525  74.77259475] ; [25.77259475  8.22740525],0
a6,1,0.461123,0.543168,[208 101] ; [25  9],[209.90379009  99.09620991] ; [23.09620991 10.90379009],0
b5,1,0.476885,0.505977,[192 117] ; [19 15],[190.0845481 118.9154519] ; [20.9154519 13.0845481],0
u1,1,0.512324,0.429317,[ 50 259] ; [ 7 27],[ 51.34985423 257.65014577] ; [ 5.65014577 28.34985423],0
a2,1,0.530633,0.39318,[ 69 240] ; [ 6 28],[ 67.56559767 241.43440233] ; [ 7.43440233 26.56559767],0
d2,1,0.575465,0.313623,[147 160] ; [18 16],[148.5483871 158.4516129] ; [16.4516129 17.5483871],0
v2,1,0.681798,0.168109,[169 135] ; [19 13],[170.0952381 133.9047619] ; [17.9047619 14.0952381],0
a8,1,0.691218,0.15777,[ 31 243] ; [ 4 25],[ 31.65016502 242.34983498] ; [ 3.34983498 25.65016502],0
a4,1,0.784715,0.074627,[143 164] ; [15 19],[142.24633431 164.75366569] ; [15.75366569 18.24633431],0
s1,1,0.809067,0.058385,[  7 300] ; [ 1 33],[  7.20234604 299.79765396] ; [ 0.79765396 33.20234604],0
r3,1,0.828105,0.047147,[285  24] ; [31  3],[284.67638484  24.32361516] ; [31.32361516  2.67638484],0
s2,1,0.919987,0.01009,[ 47 259] ; [ 5 29],[ 46.8 259.2] ; [ 5.2 28.8],0
r4,1,0.977557,0.000791,[263  46] ; [29  5],[263.05539359  45.94460641] ; [28.94460641  5.05539359],0
a7,1,0.993336,7e-05,[227  82] ; [25  9],[227.02040816  81.97959184] ; [24.97959184  9.02040816],0
