Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.001786,9.757345,[ 6 44] ; [7 7],[10.15625 39.84375] ; [ 2.84375 11.15625],0
s7,1,0.005635,7.663333,[ 6 39] ; [6 6],[ 9.47368421 35.52631579] ; [2.52631579 9.47368421],0
p8,1,0.008965,6.829823,[13 36] ; [9 5],[17.11111111 31.88888889] ; [4.88888889 9.11111111],0
p11,1,0.011927,6.321633,[24 26] ; [12  2],[28.125 21.875] ; [7.875 6.125],0
s6,1,0.012383,6.255149,[14 36] ; [9 5],[17.96875 32.03125] ; [5.03125 8.96875],0
n1,1,0.01979,5.430303,[ 4 18] ; [4 2],[ 6.28571429 15.71428571] ; [1.71428571 4.28571429],0
p2,1,0.023192,5.154054,[26 24] ; [12  2],[29.6875 20.3125] ; [8.3125 5.6875],0
r3,1,0.024934,5.028488,[30 19] ; [13  1],[33.44444444 15.55555556] ; [9.55555556 4.44444444],0
p9,1,0.025172,5.012003,[24 24] ; [11  2],[27.54098361 20.45901639] ; [7.45901639 5.54098361],0
u3,1,0.026285,4.937143,[ 4 21] ; [4 3],[ 6.25 18.75] ; [1.75 5.25],0
r1,1,0.042433,4.117848,[14 36] ; [8 6],[17.1875 32.8125] ; [4.8125 9.1875],0
p4,1,0.0582,3.587954,[18 32] ; [9 5],[21.09375 28.90625] ; [5.90625 8.09375],0
p6,1,0.15027,2.069505,[ 6 42] ; [ 4 10],[ 7.74193548 40.25806452] ; [ 2.25806452 11.74193548],0
n4,1,0.154552,2.026742,[25 25] ; [10  4],[27.34375 22.65625] ; [7.65625 6.34375],0
s3,1,0.172458,1.861445,[13 36] ; [6 7],[15.01612903 33.98387097] ; [3.98387097 9.01612903],0
u2,1,0.199543,1.645714,[11 14] ; [5 2],[12.5 12.5] ; [3.5 3.5],0
n3,1,0.200602,1.637984,[12 10] ; [5 1],[13.35714286  8.64285714] ; [3.64285714 2.35714286],0
b1,1,0.214728,1.539258,[34 16] ; [7 7],[32.03125 17.96875] ; [8.96875 5.03125],0
s2,1,0.22446,1.475628,[11 39] ; [5 8],[12.6984127 37.3015873] ; [3.3015873 9.6984127],0
n6,1,0.273821,1.197505,[27 22] ; [10  4],[28.77777778 20.22222222] ; [8.22222222 5.77777778],0
p7,1,0.314398,1.01211,[21 29] ; [8 6],[22.65625 27.34375] ; [6.34375 7.65625],0
p3,1,0.314591,1.011303,[11 38] ; [5 9],[12.44444444 36.55555556] ; [ 3.55555556 10.44444444],0
r4,1,0.384851,0.755148,[ 9 41] ; [ 4 10],[10.15625 39.84375] ; [ 2.84375 11.15625],0
n5,1,0.434967,0.609524,[30 20] ; [10  4],[31.25 18.75] ; [8.75 5.25],0
d2,1,0.474885,0.510587,[13 37] ; [5 9],[14.0625 35.9375] ; [ 3.9375 10.0625],0
d1,1,0.474885,0.510587,[13 37] ; [5 9],[14.0625 35.9375] ; [ 3.9375 10.0625],0
s1,1,0.475729,0.508637,[ 4 46] ; [ 2 12],[ 4.6875 45.3125] ; [ 1.3125 12.6875],0
s4,1,0.498645,0.45782,[ 7 43] ; [ 3 11],[ 7.8125 42.1875] ; [ 2.1875 11.8125],0
b5,1,0.503073,0.448448,[30 20] ; [7 7],[28.90625 21.09375] ; [8.09375 5.90625],0
a7,1,0.54535,0.365714,[26 24] ; [6 8],[25. 25.] ; [7. 7.],0
a5,1,0.54535,0.365714,[24 26] ; [8 6],[25. 25.] ; [7. 7.],0
v2,1,0.612092,0.25714,[17 31] ; [6 8],[17.80645161 30.19354839] ; [5.19354839 8.80645161],0
p1,1,0.622901,0.241811,[ 2 48] ; [ 1 13],[ 2.34375 47.65625] ; [ 0.65625 13.34375],0
u1,1,0.622901,0.241811,[ 2 48] ; [ 1 13],[ 2.34375 47.65625] ; [ 0.65625 13.34375],0
b2,1,0.687098,0.162245,[ 9 22] ; [2 7],[ 8.525 22.475] ; [2.475 6.525],0
b3,1,0.687098,0.162245,[ 9 22] ; [2 7],[ 8.525 22.475] ; [2.475 6.525],0
b4,1,0.733228,0.116168,[26 24] ; [8 6],[26.5625 23.4375] ; [7.4375 6.5625],0
d4,1,0.771427,0.084396,[30 20] ; [9 5],[30.46875 19.53125] ; [8.53125 5.46875],0
d5,1,0.790938,0.070275,[27 23] ; [7 7],[26.5625 23.4375] ; [7.4375 6.5625],0
a6,1,0.834604,0.043597,[23 27] ; [6 8],[22.65625 27.34375] ; [6.34375 7.65625],0
p12,1,0.87592,0.024381,[ 3 47] ; [ 1 13],[ 3.125 46.875] ; [ 0.875 13.125],0
d3,1,0.894706,0.017517,[24 26] ; [7 7],[24.21875 25.78125] ; [6.78125 7.21875],0
a2,1,0.915877,0.011157,[ 4 46] ; [ 1 13],[ 3.90625 46.09375] ; [ 1.09375 12.90625],0
a4,1,0.917638,0.010693,[15 35] ; [ 4 10],[14.84375 35.15625] ; [4.15625 9.84375],0
v4,1,0.939268,0.005805,[28 22] ; [8 6],[28.125 21.875] ; [7.875 6.125],0
a3,1,0.946301,0.004536,[25 24] ; [7 7],[24.88888889 24.11111111] ; [7.11111111 6.88888889],0
v1,1,0.966473,0.001767,[14 36] ; [ 4 10],[14.0625 35.9375] ; [ 3.9375 10.0625],0
a8,1,0.988186,0.000219,[ 7 39] ; [ 2 11],[ 7.01694915 38.98305085] ; [ 1.98305085 11.01694915],0
