Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.004769,7.965091,[12 10] ; [57 11],[16.86666667  5.13333333] ; [52.13333333 15.86666667],0
s5,1,0.019359,5.46877,[ 1 22] ; [18 47],[ 4.96590909 18.03409091] ; [14.03409091 50.96590909],0
d1,1,0.034428,4.473339,[ 6 17] ; [35 33],[10.36263736 12.63736264] ; [30.63736264 37.36263736],0
p7,1,0.04503,4.017517,[14  7] ; [27 38],[10.01162791 10.98837209] ; [30.98837209 34.01162791],0
b1,1,0.046689,3.95655,[16  7] ; [31 37],[11.87912088 11.12087912] ; [35.12087912 32.87912088],0
b4,1,0.058683,3.574218,[ 9 14] ; [42 26],[12.89010989 10.10989011] ; [38.10989011 29.89010989],0
p6,1,0.06145,3.4978,[ 8 14] ; [11 53],[ 4.86046512 17.13953488] ; [14.13953488 49.86046512],0
n1,1,0.174652,1.842553,[4 3] ; [ 8 19],[2.47058824 4.52941176] ; [ 9.52941176 17.47058824],0
a6,1,0.195971,1.672149,[17  6] ; [40 28],[14.40659341  8.59340659] ; [42.59340659 25.40659341],0
r1,1,0.198033,1.656819,[12 11] ; [45 22],[14.56666667  8.43333333] ; [42.43333333 24.56666667],0
v3,1,0.22162,1.493853,[ 3 20] ; [16 47],[ 5.08139535 17.91860465] ; [13.91860465 49.08139535],0
u3,1,0.250829,1.318681,[5 5] ; [21  9],[6.5 3.5] ; [19.5 10.5],0
n3,1,0.251943,1.3125,[7 1] ; [18  9],[5.71428571 2.28571429] ; [19.28571429  7.71428571],0
p11,1,0.252138,1.31142,[14  9] ; [32 36],[11.62637363 11.37362637] ; [34.37362637 33.62637363],0
d3,1,0.270692,1.213235,[11 11] ; [43 25],[13.2  8.8] ; [40.8 27.2],0
v1,1,0.277803,1.177807,[ 7 16] ; [29 38],[ 9.2 13.8] ; [26.8 40.2],0
b5,1,0.29626,1.090953,[11 12] ; [41 27],[13.14285714  9.85714286] ; [38.85714286 29.14285714],0
s7,1,0.304754,1.053275,[ 4 17] ; [19 43],[ 5.81927711 15.18072289] ; [17.18072289 44.81927711],0
s3,1,0.305964,1.048018,[14  9] ; [33 35],[11.87912088 11.12087912] ; [35.12087912 32.87912088],0
d5,1,0.314869,1.010141,[14  9] ; [49 19],[15.92307692  7.07692308] ; [47.07692308 20.92307692],0
p4,1,0.37457,0.788449,[11 12] ; [25 42],[ 9.2 13.8] ; [26.8 40.2],0
r2,1,0.379742,0.771538,[17  6] ; [56 12],[18.45054945  4.54945055] ; [54.54945055 13.45054945],0
p2,1,0.399877,0.708696,[16  7] ; [40 27],[14.31111111  8.68888889] ; [41.68888889 25.31111111],0
d2,1,0.41681,0.659293,[ 6 17] ; [24 44],[ 7.58241758 15.41758242] ; [22.41758242 45.58241758],0
r3,1,0.484825,0.48799,[17  5] ; [57 11],[18.08888889  3.91111111] ; [55.91111111 12.08888889],0
u1,1,0.486226,0.484868,[ 1 22] ; [ 6 62],[ 1.76923077 21.23076923] ; [ 5.23076923 62.76923077],0
s1,1,0.514885,0.424126,[ 1 21] ; [ 6 62],[ 1.71111111 20.28888889] ; [ 5.28888889 62.71111111],0
p9,1,0.52501,0.40404,[15  7] ; [40 26],[13.75  8.25] ; [41.25 24.75],0
u2,1,0.558746,0.34188,[6 4] ; [21  9],[6.75 3.25] ; [20.25  9.75],0
v4,1,0.558876,0.341654,[19  3] ; [55 13],[18.08888889  3.91111111] ; [55.91111111 12.08888889],0
a2,1,0.563721,0.333303,[ 2 21] ; [ 9 59],[ 2.78021978 20.21978022] ; [ 8.21978022 59.78021978],0
p3,1,0.606641,0.265095,[ 6 17] ; [21 45],[ 6.97752809 16.02247191] ; [20.02247191 45.97752809],0
s6,1,0.632338,0.228904,[10 13] ; [33 34],[10.98888889 12.01111111] ; [32.01111111 34.98888889],0
v2,1,0.649671,0.206315,[10 11] ; [26 36],[ 9.10843373 11.89156627] ; [26.89156627 35.10843373],0
a4,1,0.728587,0.120413,[ 8 15] ; [21 47],[ 7.32967033 15.67032967] ; [21.67032967 46.32967033],0
a5,1,0.762501,0.091324,[11 12] ; [35 33],[11.62637363 11.37362637] ; [34.37362637 33.62637363],0
b2,1,0.772553,0.083542,[4 8] ; [11 27],[3.6 8.4] ; [11.4 26.6],0
b3,1,0.772553,0.083542,[4 8] ; [11 27],[3.6 8.4] ; [11.4 26.6],0
p10,1,0.803744,0.061754,[13  9] ; [37 29],[12.5  9.5] ; [37.5 28.5],0
r4,1,0.830337,0.045911,[15  8] ; [46 22],[15.41758242  7.58241758] ; [45.58241758 22.41758242],0
s2,1,0.846569,0.037441,[10 13] ; [28 40],[ 9.6043956 13.3956044] ; [28.3956044 39.6043956],0
s4,1,0.85431,0.033717,[ 4 19] ; [13 55],[ 4.2967033 18.7032967] ; [12.7032967 55.2967033],0
a3,1,0.860445,0.030909,[13 10] ; [37 31],[12.63736264 10.36263736] ; [37.36263736 30.63736264],0
n2,1,0.869467,0.027006,[5 3] ; [16 11],[4.8 3.2] ; [16.2 10.8],0
a7,1,0.93314,0.007038,[15  8] ; [45 23],[15.16483516  7.83516484] ; [44.83516484 23.16483516],0
s8,1,0.967932,0.001616,[ 7 16] ; [21 47],[ 7.07692308 15.92307692] ; [20.92307692 47.07692308],0
p8,1,0.97212,0.001221,[ 9 12] ; [28 38],[ 8.93103448 12.06896552] ; [28.06896552 37.93103448],0
a1,1,0.989683,0.000167,[ 1 22] ; [ 3 65],[ 1.01098901 21.98901099] ; [ 2.98901099 65.01098901],0
p5,1,1.0,0.0,[ 1 21] ; [ 3 63],[ 1. 21.] ; [ 3. 63.],0
