Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,37.393368,[97 29] ; [ 5 24],[82.91612903 43.08387097] ; [19.08387097  9.91612903],1
r3,1,0.0,26.87844,[105  20] ; [11 18],[94.15584416 30.84415584] ; [21.84415584  7.15584416],1
r2,1,0.0,25.607522,[115   9] ; [15 12],[106.75496689  17.24503311] ; [23.24503311  3.75496689],1
n6,1,7e-06,20.320981,[89 37] ; [ 7 21],[78.54545455 47.45454545] ; [17.45454545 10.54545455],1
s6,1,2.1e-05,18.118677,[71 52] ; [ 4 25],[60.69078947 62.30921053] ; [14.30921053 14.69078947],1
p2,1,8.3e-05,15.485084,[77 49] ; [ 6 23],[67.47096774 58.52903226] ; [15.52903226 13.47096774],1
p9,1,0.000218,13.666517,[75 43] ; [ 7 21],[66.2739726 51.7260274] ; [15.7260274 12.2739726],1
a1,1,0.000248,13.427057,[  5 121] ; [ 7 22],[  9.75483871 116.24516129] ; [ 2.24516129 26.75483871],1
d5,1,0.000482,12.185625,[96 28] ; [13 16],[88.33986928 35.66013072] ; [20.66013072  8.33986928],1
p10,1,0.000785,11.27619,[68 52] ; [ 6 22],[60. 60.] ; [14. 14.],1
s2,1,0.001093,10.662261,[59 67] ; [ 4 25],[51.21290323 74.78709677] ; [11.78709677 17.21290323],0
d3,1,0.001127,10.606723,[79 44] ; [ 9 20],[71.21052632 51.78947368] ; [16.78947368 12.21052632],0
r1,1,0.001333,10.29644,[90 34] ; [12 17],[82.66666667 41.33333333] ; [19.33333333  9.66666667],0
s8,1,0.001386,10.224184,[41 84] ; [ 1 28],[34.09090909 90.90909091] ; [ 7.90909091 21.09090909],0
n3,1,0.001455,10.134958,[37 18] ; [ 4 13],[31.31944444 23.68055556] ; [9.68055556 7.31944444],0
s7,1,0.002812,8.925632,[50 70] ; [ 3 24],[43.26530612 76.73469388] ; [ 9.73469388 17.26530612],0
v2,1,0.003003,8.805615,[54 67] ; [ 4 24],[47.10067114 73.89932886] ; [10.89932886 17.10067114],0
s3,1,0.003801,8.376731,[64 60] ; [ 6 22],[57.10526316 66.89473684] ; [12.89473684 15.10526316],0
u3,1,0.022592,5.199608,[20 23] ; [ 2 13],[16.31034483 26.68965517] ; [5.68965517 9.31034483],0
b5,1,0.023194,5.153941,[81 45] ; [12 17],[75.6 50.4] ; [17.4 11.6],0
p8,1,0.025878,4.964176,[33 90] ; [ 2 26],[28.50993377 94.49006623] ; [ 6.49006623 21.50993377],0
d1,1,0.025896,4.962931,[59 67] ; [ 7 22],[53.6516129 72.3483871] ; [12.3483871 16.6516129],0
a5,1,0.028823,4.778125,[80 46] ; [12 17],[74.78709677 51.21290323] ; [17.21290323 11.78709677],0
p7,1,0.030149,4.700787,[47 75] ; [ 5 24],[42.01324503 79.98675497] ; [ 9.98675497 19.01324503],0
a6,1,0.0313,4.63643,[79 46] ; [12 17],[73.86363636 51.13636364] ; [17.13636364 11.86363636],0
