Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.9e-05,18.281855,[24 23] ; [57  8],[33.99107143 13.00892857] ; [47.00892857 17.99107143],1
p6,1,0.000173,14.106122,[ 2 43] ; [22 41],[10. 35.] ; [14. 49.],1
p11,1,0.000425,12.417622,[16 31] ; [44 21],[25.17857143 21.82142857] ; [34.82142857 30.17857143],1
p4,1,0.001056,10.727323,[ 8 39] ; [30 34],[16.09009009 30.90990991] ; [21.90990991 42.09009009],0
p9,1,0.001858,9.685038,[20 22] ; [50 15],[27.47663551 14.52336449] ; [42.52336449 22.47663551],0
p7,1,0.002049,9.505484,[10 37] ; [32 32],[17.78378378 29.21621622] ; [24.21621622 39.78378378],0
r4,1,0.003513,8.519949,[13 34] ; [36 29],[20.5625 26.4375] ; [28.4375 36.5625],0
r3,1,0.005924,7.57327,[26 21] ; [51 13],[32.6036036 14.3963964] ; [44.3963964 19.6036036],0
p8,1,0.006606,7.377081,[ 7 39] ; [25 39],[13.38181818 32.61818182] ; [18.61818182 45.38181818],0
n6,1,0.012317,6.264632,[25 21] ; [50 15],[31.08108108 14.91891892] ; [43.91891892 21.08108108],0
d2,1,0.012507,6.237564,[23 22] ; [18 47],[16.77272727 28.22727273] ; [24.22727273 40.77272727],0
p3,1,0.016731,5.724326,[ 8 38] ; [25 40],[13.67567568 32.32432432] ; [19.32432432 45.67567568],0
a5,1,0.020458,5.372358,[27 20] ; [23 42],[20.98214286 26.01785714] ; [29.01785714 35.98214286],0
n3,1,0.028369,4.805492,[12 11] ; [16  3],[15.33333333  7.66666667] ; [12.66666667  6.33333333],0
p10,1,0.030792,4.664501,[19 26] ; [41 24],[24.54545455 20.45454545] ; [35.45454545 29.54545455],0
s1,1,0.036675,4.365459,[ 5 42] ; [ 1 63],[ 2.54054054 44.45945946] ; [ 3.45945946 60.54054054],0
s2,1,0.042667,4.108566,[ 4 43] ; [15 50],[ 7.97321429 39.02678571] ; [11.02678571 53.97321429],0
s5,1,0.046055,3.9796,[ 1 45] ; [ 8 54],[ 3.83333333 42.16666667] ; [ 5.16666667 56.83333333],0
u2,1,0.052317,3.765597,[ 3 14] ; [15 18],[ 6.12 10.88] ; [11.88 21.12],0
s4,1,0.063991,3.430809,[ 3 44] ; [12 53],[ 6.29464286 40.70535714] ; [ 8.70535714 56.29464286],0
s8,1,0.063991,3.430809,[ 3 44] ; [12 53],[ 6.29464286 40.70535714] ; [ 8.70535714 56.29464286],0
