Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.001828,9.714286,[7 2] ; [10 32],[3. 6.] ; [14. 28.],0
p3,1,0.019913,5.419466,[5 4] ; [ 8 35],[2.25 6.75] ; [10.75 32.25],0
s6,1,0.03735,4.334391,[5 4] ; [ 9 33],[2.47058824 6.52941176] ; [11.52941176 30.47058824],0
n4,1,0.076443,3.138961,[4 5] ; [32 11],[6.23076923 2.76923077] ; [29.76923077 13.23076923],0
b1,1,0.087788,2.914468,[2 7] ; [23 20],[4.32692308 4.67307692] ; [20.67307692 22.32692308],0
p4,1,0.107847,2.585491,[5 4] ; [12 31],[2.94230769 6.05769231] ; [14.05769231 28.94230769],0
u2,1,0.110612,2.545455,[3 3] ; [ 4 18],[1.5 4.5] ; [ 5.5 16.5],0
r3,1,0.128562,2.309783,[7 2] ; [21 21],[4.94117647 4.05882353] ; [23.05882353 18.94117647],0
a4,1,0.148869,2.083801,[1 8] ; [15 27],[2.82352941 6.17647059] ; [13.17647059 28.82352941],0
p8,1,0.150494,2.067235,[4 5] ; [ 9 33],[2.29411765 6.70588235] ; [10.70588235 31.29411765],0
n6,1,0.151872,2.05335,[6 3] ; [17 25],[4.05882353 4.94117647] ; [18.94117647 23.05882353],0
p7,1,0.328324,0.955498,[4 5] ; [12 31],[2.76923077 6.23076923] ; [13.23076923 29.76923077],0
a7,1,0.330297,0.947735,[3 6] ; [22 21],[4.32692308 4.67307692] ; [20.67307692 22.32692308],0
b5,1,0.330297,0.947735,[6 3] ; [21 22],[4.67307692 4.32692308] ; [22.32692308 20.67307692],0
p2,1,0.334116,0.93288,[5 4] ; [16 26],[3.70588235 5.29411765] ; [17.29411765 24.70588235],0
v2,1,0.351691,0.867347,[4 5] ; [12 30],[2.82352941 6.17647059] ; [13.17647059 28.82352941],0
a3,1,0.363319,0.826389,[3 6] ; [21 21],[4.23529412 4.76470588] ; [19.76470588 22.23529412],0
p11,1,0.376352,0.782586,[5 4] ; [17 26],[3.80769231 5.19230769] ; [18.19230769 24.80769231],0
d3,1,0.376352,0.782586,[5 4] ; [17 26],[3.80769231 5.19230769] ; [18.19230769 24.80769231],0
v3,1,0.397113,0.71705,[2 7] ; [ 5 38],[1.21153846 7.78846154] ; [ 5.78846154 37.21153846],0
n5,1,0.408512,0.683126,[5 4] ; [30 13],[6.05769231 2.94230769] ; [28.94230769 14.05769231],0
d2,1,0.434444,0.610914,[3 6] ; [20 22],[4.05882353 4.94117647] ; [18.94117647 23.05882353],0
u1,1,0.449748,0.571288,[1 8] ; [ 2 41],[0.51923077 8.48076923] ; [ 2.48076923 40.51923077],0
d5,1,0.451904,0.565872,[4 5] ; [25 18],[5.01923077 3.98076923] ; [23.98076923 19.01923077],0
r2,1,0.525313,0.403449,[4 5] ; [23 18],[4.86 4.14] ; [22.14 18.86],0
b4,1,0.548992,0.359126,[6 3] ; [24 19],[5.19230769 3.80769231] ; [24.80769231 18.19230769],0
p6,1,0.573919,0.31617,[2 7] ; [ 6 35],[1.44 7.56] ; [ 6.56 34.44],0
a6,1,0.621438,0.243851,[5 4] ; [20 23],[4.32692308 4.67307692] ; [20.67307692 22.32692308],0
a5,1,0.713947,0.134367,[5 4] ; [21 22],[4.5 4.5] ; [21.5 21.5],0
p10,1,0.723308,0.125346,[4 5] ; [16 26],[3.52941176 5.47058824] ; [16.47058824 25.52941176],0
r4,1,0.726614,0.122244,[2 7] ; [12 31],[2.42307692 6.57692308] ; [11.57692308 31.42307692],0
a8,1,0.801693,0.06308,[1 8] ; [ 6 36],[1.23529412 7.76470588] ; [ 5.76470588 36.23529412],0
r1,1,0.826194,0.048218,[3 6] ; [16 27],[3.28846154 5.71153846] ; [15.71153846 27.28846154],0
d4,1,0.826194,0.048218,[6 3] ; [27 16],[5.71153846 3.28846154] ; [27.28846154 15.71153846],0
n3,1,0.83008,0.046053,[1 1] ; [ 8 11],[0.85714286 1.14285714] ; [ 8.14285714 10.85714286],0
n1,1,0.83008,0.046053,[1 1] ; [ 8 11],[0.85714286 1.14285714] ; [ 8.14285714 10.85714286],0
p9,1,0.86253,0.029982,[4 5] ; [20 22],[4.23529412 4.76470588] ; [19.76470588 22.23529412],0
s1,1,0.867069,0.028017,[1 8] ; [ 4 39],[0.86538462 8.13461538] ; [ 4.13461538 38.86538462],0
d1,1,0.929158,0.007904,[3 6] ; [15 28],[3.11538462 5.88461538] ; [14.88461538 28.11538462],0
v1,1,0.946642,0.004479,[2 7] ; [10 33],[2.07692308 6.92307692] ; [ 9.92307692 33.07692308],0
s8,1,0.964802,0.001947,[1 8] ; [ 5 38],[1.03846154 7.96153846] ; [ 4.96153846 38.03846154],0
