Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.067889,3.333333,[2 6] ; [8 4],[4. 4.] ; [6. 6.],0
v4,1,0.084978,2.967033,[7 1] ; [6 6],[5.2 2.8] ; [7.8 4.2],0
r1,1,0.111017,2.539683,[4 4] ; [ 2 10],[2.4 5.6] ; [3.6 8.4],0
s4,1,0.111017,2.539683,[4 4] ; [ 2 10],[2.4 5.6] ; [3.6 8.4],0
d5,1,0.163187,1.944444,[7 1] ; [7 5],[5.6 2.4] ; [8.4 3.6],0
p11,1,0.163187,1.944444,[7 1] ; [7 5],[5.6 2.4] ; [8.4 3.6],0
a4,1,0.163187,1.944444,[1 7] ; [5 7],[2.4 5.6] ; [3.6 8.4],0
r3,1,0.163187,1.944444,[7 1] ; [7 5],[5.6 2.4] ; [8.4 3.6],0
d4,1,0.163187,1.944444,[7 1] ; [7 5],[5.6 2.4] ; [8.4 3.6],0
s3,1,0.198982,1.649832,[5 3] ; [4 8],[3.6 4.4] ; [5.4 6.6],0
u2,1,0.259796,1.269841,[2 1] ; [2 5],[1.2 1.8] ; [2.8 4.2],0
p10,1,0.263552,1.25,[6 2] ; [6 6],[4.8 3.2] ; [7.2 4.8],0
p8,1,0.263552,1.25,[6 2] ; [6 6],[4.8 3.2] ; [7.2 4.8],0
b2,1,0.263552,1.25,[3 3] ; [2 7],[2. 4.] ; [3. 6.],0
b1,1,0.263552,1.25,[6 2] ; [6 6],[4.8 3.2] ; [7.2 4.8],0
d3,1,0.263552,1.25,[2 6] ; [6 6],[3.2 4.8] ; [4.8 7.2],0
b3,1,0.263552,1.25,[3 3] ; [2 7],[2. 4.] ; [3. 6.],0
d1,1,0.291841,1.111111,[1 7] ; [4 8],[2. 6.] ; [3. 9.],0
s8,1,0.291841,1.111111,[3 5] ; [ 2 10],[2. 6.] ; [3. 9.],0
r4,1,0.291841,1.111111,[1 7] ; [4 8],[2. 6.] ; [3. 9.],0
p12,1,0.306488,1.045752,[2 6] ; [ 1 11],[1.2 6.8] ; [ 1.8 10.2],0
a3,1,0.36131,0.833333,[5 3] ; [5 7],[4. 4.] ; [6. 6.],0
s6,1,0.36131,0.833333,[5 3] ; [5 7],[4. 4.] ; [6. 6.],0
a7,1,0.443939,0.586081,[2 6] ; [5 7],[2.8 5.2] ; [4.2 7.8],0
p6,1,0.456057,0.555556,[4 4] ; [4 8],[3.2 4.8] ; [4.8 7.2],0
v1,1,0.456057,0.555556,[4 4] ; [4 8],[3.2 4.8] ; [4.8 7.2],0
u3,1,0.490153,0.47619,[2 1] ; [3 4],[1.5 1.5] ; [3.5 3.5],0
p7,1,0.493563,0.46875,[7 1] ; [9 3],[6.4 1.6] ; [9.6 2.4],0
s5,1,0.550097,0.357143,[3 5] ; [3 9],[2.4 5.6] ; [3.6 8.4],0
v3,1,0.550097,0.357143,[3 5] ; [3 9],[2.4 5.6] ; [3.6 8.4],0
v2,1,0.550097,0.357143,[3 5] ; [3 9],[2.4 5.6] ; [3.6 8.4],0
n6,1,0.648077,0.208333,[6 2] ; [10  2],[6.4 1.6] ; [9.6 2.4],0
b4,1,0.690328,0.15873,[2 6] ; [4 8],[2.4 5.6] ; [3.6 8.4],0
p9,1,0.690328,0.15873,[6 2] ; [8 4],[5.6 2.4] ; [8.4 3.6],0
d2,1,0.690328,0.15873,[2 6] ; [4 8],[2.4 5.6] ; [3.6 8.4],0
p5,1,0.690328,0.15873,[2 6] ; [4 8],[2.4 5.6] ; [3.6 8.4],0
n5,1,0.690328,0.15873,[6 2] ; [8 4],[5.6 2.4] ; [8.4 3.6],0
n4,1,0.690328,0.15873,[6 2] ; [8 4],[5.6 2.4] ; [8.4 3.6],0
n1,1,0.709388,0.138889,[2 1] ; [1 1],[1.8 1.2] ; [1.2 0.8],0
s2,1,0.713628,0.13468,[4 4] ; [5 7],[3.6 4.4] ; [5.4 6.6],0
a6,1,0.84822,0.03663,[5 3] ; [8 4],[5.2 2.8] ; [7.8 4.2],0
a5,1,0.852179,0.034722,[5 3] ; [7 5],[4.8 3.2] ; [7.2 4.8],0
