Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,36.625869,[41  1] ; [ 6 16],[30.84375 11.15625] ; [16.15625  5.84375],1
d4,1,1.4e-05,18.819392,[41  1] ; [12 10],[34.78125  7.21875] ; [18.21875  3.78125],1
n4,1,7.5e-05,15.692752,[40  2] ; [12 10],[34.125  7.875] ; [17.875  4.125],1
d2,1,9.1e-05,15.308459,[31 11] ; [ 5 17],[23.625 18.375] ; [12.375  9.625],1
d3,1,0.000506,12.094766,[35  7] ; [ 9 13],[28.875 13.125] ; [15.125  6.875],1
p8,1,0.006671,7.359377,[30 12] ; [ 8 14],[24.9375 17.0625] ; [13.0625  8.9375],0
n5,1,0.008965,6.829823,[36  5] ; [13  9],[31.88888889  9.11111111] ; [17.11111111  4.88888889],0
a5,1,0.016938,5.702836,[36  6] ; [13  9],[32.15625  9.84375] ; [16.84375  5.15625],0
r1,1,0.016938,5.702836,[36  6] ; [13  9],[32.15625  9.84375] ; [16.84375  5.15625],0
r2,1,0.027544,4.85638,[40  1] ; [18  4],[37.74603175  3.25396825] ; [20.25396825  1.74603175],0
p9,1,0.030939,4.656319,[38  3] ; [16  6],[35.14285714  5.85714286] ; [18.85714286  3.14285714],0
s7,1,0.044805,4.025961,[18 21] ; [16  6],[21.73770492 17.26229508] ; [12.26229508  9.73770492],0
p1,1,0.077266,3.121501,[ 1 41] ; [ 3 19],[ 2.625 39.375] ; [ 1.375 20.625],0
r3,1,0.080224,3.060357,[40  2] ; [18  4],[38.0625  3.9375] ; [19.9375  2.0625],0
b1,1,0.08971,2.879564,[12 30] ; [11 11],[15.09375 26.90625] ; [ 7.90625 14.09375],0
a2,1,0.106325,2.608006,[11 31] ; [ 2 20],[ 8.53125 33.46875] ; [ 4.46875 17.53125],0
a4,1,0.11652,2.463481,[22 20] ; [ 7 15],[19.03125 22.96875] ; [ 9.96875 12.03125],0
v1,1,0.147382,2.099138,[27 15] ; [10 12],[24.28125 17.71875] ; [12.71875  9.28125],0
n6,1,0.148978,2.08268,[38  4] ; [17  5],[36.09375  5.90625] ; [18.90625  3.09375],0
r4,1,0.148978,2.08268,[38  4] ; [17  5],[36.09375  5.90625] ; [18.90625  3.09375],0
a7,1,0.154999,2.022349,[32 10] ; [13  9],[29.53125 12.46875] ; [15.46875  6.53125],0
n1,1,0.169583,1.886621,[2 4] ; [5 2],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
v3,1,0.189701,1.719942,[26 14] ; [10 11],[23.60655738 16.39344262] ; [12.39344262  8.60655738],0
b5,1,0.217105,1.523403,[18 24] ; [13  9],[20.34375 21.65625] ; [10.65625 11.34375],0
v4,1,0.22774,1.454924,[41  1] ; [20  2],[40.03125  1.96875] ; [20.96875  1.03125],0
p2,1,0.257404,1.282668,[37  5] ; [17  5],[35.4375  6.5625] ; [18.5625  3.4375],0
p11,1,0.257404,1.282668,[37  5] ; [17  5],[35.4375  6.5625] ; [18.5625  3.4375],0
a6,1,0.269063,1.221515,[27 15] ; [11 11],[24.9375 17.0625] ; [13.0625  8.9375],0
b4,1,0.269063,1.221515,[27 15] ; [11 11],[24.9375 17.0625] ; [13.0625  8.9375],0
s4,1,0.397286,0.716525,[ 3 39] ; [ 3 19],[ 3.9375 38.0625] ; [ 2.0625 19.9375],0
n2,1,0.437558,0.602679,[5 2] ; [7 1],[5.6 1.4] ; [6.4 1.6],0
v2,1,0.443952,0.586047,[30 12] ; [13  8],[28.66666667 13.33333333] ; [14.33333333  6.66666667],0
a3,1,0.448111,0.575425,[33  9] ; [19  3],[34.125  7.875] ; [17.875  4.125],0
p3,1,0.465715,0.532124,[25 17] ; [11 11],[23.625 18.375] ; [12.375  9.625],0
n3,1,0.514828,0.424242,[5 2] ; [6 1],[5.5 1.5] ; [5.5 1.5],0
u1,1,0.585759,0.297016,[ 8 34] ; [ 3 19],[ 7.21875 34.78125] ; [ 3.78125 18.21875],0
p10,1,0.58587,0.29684,[34  7] ; [17  5],[33.19047619  7.80952381] ; [17.80952381  4.19047619],0
p5,1,0.593778,0.284483,[ 4 37] ; [ 3 18],[ 4.62903226 36.37096774] ; [ 2.37096774 18.62903226],0
a8,1,0.606394,0.26546,[ 5 31] ; [ 4 17],[ 5.68421053 30.31578947] ; [ 3.31578947 17.68421053],0
s3,1,0.637442,0.222103,[17 23] ; [ 8 14],[16.12903226 23.87096774] ; [ 8.87096774 13.12903226],0
s2,1,0.644905,0.212385,[14 26] ; [ 9 13],[14.83870968 25.16129032] ; [ 8.16129032 13.83870968],0
s5,1,0.680771,0.169259,[ 9 29] ; [ 4 17],[ 8.37288136 29.62711864] ; [ 4.62711864 16.37288136],0
p12,1,0.683481,0.166234,[ 3 39] ; [ 1 21],[ 2.625 39.375] ; [ 1.375 20.625],0
u2,1,0.735317,0.114286,[5 4] ; [2 1],[5.25 3.75] ; [1.75 1.25],0
p4,1,0.82654,0.048023,[26 16] ; [13  9],[25.59375 16.40625] ; [13.40625  8.59375],0
b3,1,0.910432,0.012655,[18 15] ; [9 7],[18.18367347 14.81632653] ; [8.81632653 7.18367347],0
b2,1,0.910432,0.012655,[18 15] ; [9 7],[18.18367347 14.81632653] ; [8.81632653 7.18367347],0
p6,1,0.966017,0.001815,[17 24] ; [ 9 13],[16.92063492 24.07936508] ; [ 9.07936508 12.92063492],0
a1,1,0.968962,0.001514,[ 2 40] ; [ 1 21],[ 1.96875 40.03125] ; [ 1.03125 20.96875],0
p7,1,1.0,0.0,[28 14] ; [14  7],[28. 14.] ; [14.  7.],0
