Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.001002,10.823933,[ 3 10] ; [43 17],[8.19178082 4.80821918] ; [37.80821918 22.19178082],0
a6,1,0.002086,9.47238,[4 9] ; [45 15],[8.7260274 4.2739726] ; [40.2739726 19.7260274],0
v4,1,0.00466,8.006785,[9 4] ; [56  3],[11.73611111  1.26388889] ; [53.26388889  5.73611111],0
d3,1,0.005243,7.793605,[4 9] ; [43 17],[8.36986301 4.63013699] ; [38.63013699 21.36986301],0
n4,1,0.006953,7.285104,[ 2 11] ; [34 26],[6.4109589 6.5890411] ; [29.5890411 30.4109589],0
p11,1,0.010139,6.610284,[5 8] ; [45 15],[8.90410959 4.09589041] ; [41.09589041 18.90410959],0
p10,1,0.015245,5.887877,[5 8] ; [44 16],[8.7260274 4.2739726] ; [40.2739726 19.7260274],0
p9,1,0.018349,5.562498,[6 7] ; [47 13],[9.43835616 3.56164384] ; [43.56164384 16.43835616],0
s1,1,0.069014,3.306329,[ 2 10] ; [ 2 57],[ 0.67605634 11.32394366] ; [ 3.32394366 55.67605634],0
r1,1,0.07407,3.190444,[7 6] ; [46 13],[9.56944444 3.43055556] ; [43.43055556 15.56944444],0
p3,1,0.090172,2.871305,[4 9] ; [34 26],[6.76712329 6.23287671] ; [31.23287671 28.76712329],0
v1,1,0.108037,2.582705,[ 3 10] ; [28 31],[5.59722222 7.40277778] ; [25.40277778 33.59722222],0
s7,1,0.111577,2.531739,[ 2 10] ; [23 33],[4.41176471 7.58823529] ; [20.58823529 35.41176471],0
d1,1,0.113137,2.509849,[4 9] ; [33 27],[6.5890411 6.4109589] ; [30.4109589 29.5890411],0
b5,1,0.124889,2.354911,[5 8] ; [37 23],[7.47945205 5.52054795] ; [34.52054795 25.47945205],0
u3,1,0.12706,2.328061,[4 3] ; [17  3],[5.44444444 1.55555556] ; [15.55555556  4.44444444],0
s8,1,0.176008,1.831014,[ 3 10] ; [26 34],[5.16438356 7.83561644] ; [23.83561644 36.16438356],0
r4,1,0.177876,1.815281,[9 4] ; [51  9],[10.68493151  2.31506849] ; [49.31506849 10.68493151],0
d4,1,0.202769,1.622317,[8 5] ; [47 13],[9.79452055 3.20547945] ; [45.20547945 14.79452055],0
a3,1,0.205187,1.605064,[6 7] ; [39 21],[8.01369863 4.98630137] ; [36.98630137 23.01369863],0
n2,1,0.205903,1.6,[2 2] ; [16  4],[3. 1.] ; [15.  5.],0
r2,1,0.28996,1.119805,[10  3] ; [52  7],[11.19444444  1.80555556] ; [50.80555556  8.19444444],0
p7,1,0.296676,1.089076,[7 5] ; [44 16],[8.5 3.5] ; [42.5 17.5],0
d5,1,0.314384,1.012168,[9 4] ; [49 11],[10.32876712  2.67123288] ; [47.67123288 12.32876712],0
s6,1,0.318311,0.995873,[7 6] ; [41 19],[8.54794521 4.45205479] ; [39.45205479 20.54794521],0
n5,1,0.323,0.976759,[4 9] ; [27 32],[5.59722222 7.40277778] ; [25.40277778 33.59722222],0
p8,1,0.3411,0.906294,[5 7] ; [34 26],[6.5 5.5] ; [32.5 27.5],0
s4,1,0.347985,0.880792,[ 1 12] ; [11 49],[ 2.1369863 10.8630137] ; [ 9.8630137 50.1369863],0
a5,1,0.394376,0.725406,[8 5] ; [44 16],[9.26027397 3.73972603] ; [42.73972603 17.26027397],0
p6,1,0.438383,0.600511,[3 9] ; [22 38],[4.16666667 7.83333333] ; [20.83333333 39.16666667],0
d2,1,0.466638,0.529926,[4 9] ; [25 35],[5.16438356 7.83561644] ; [23.83561644 36.16438356],0
a4,1,0.466638,0.529926,[4 9] ; [25 35],[5.16438356 7.83561644] ; [23.83561644 36.16438356],0
a1,1,0.472901,0.515189,[ 1 12] ; [ 2 58],[ 0.53424658 12.46575342] ; [ 2.46575342 57.53424658],0
n1,1,0.483578,0.490783,[2 1] ; [ 9 11],[1.43478261 1.56521739] ; [ 9.56521739 10.43478261],0
b4,1,0.489902,0.47674,[6 7] ; [34 26],[7.12328767 5.87671233] ; [32.87671233 27.12328767],0
s2,1,0.555667,0.347262,[5 8] ; [28 31],[5.95833333 7.04166667] ; [27.04166667 31.95833333],0
s3,1,0.55569,0.347222,[6 7] ; [32 26],[6.95774648 6.04225352] ; [31.04225352 26.95774648],0
u2,1,0.594853,0.282828,[5 2] ; [17  4],[5.5 1.5] ; [16.5  4.5],0
s5,1,0.607087,0.264438,[2 9] ; [15 44],[2.67142857 8.32857143] ; [14.32857143 44.67142857],0
b3,1,0.613505,0.255102,[3 5] ; [12 30],[2.4 5.6] ; [12.6 29.4],0
b2,1,0.613505,0.255102,[3 5] ; [12 30],[2.4 5.6] ; [12.6 29.4],0
r3,1,0.698975,0.14954,[12  1] ; [57  3],[12.28767123  0.71232877] ; [56.71232877  3.28767123],0
v2,1,0.763746,0.090339,[7 5] ; [30 26],[6.52941176 5.47058824] ; [30.47058824 25.52941176],0
b1,1,0.918145,0.010562,[8 5] ; [36 24],[7.83561644 5.16438356] ; [36.16438356 23.83561644],0
v3,1,0.930381,0.007633,[3 8] ; [16 40],[3.11940299 7.88059701] ; [15.88059701 40.11940299],0
p1,1,0.939188,0.00582,[ 1 12] ; [ 5 55],[ 1.06849315 11.93150685] ; [ 4.93150685 55.06849315],0
a8,1,1.0,0.0,[ 1 12] ; [ 4 48],[ 1. 12.] ; [ 4. 48.],0
n3,1,1.0,0.0,[3 1] ; [15  5],[3. 1.] ; [15.  5.],0
