Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6.2e-05,16.028286,[19 75] ; [18 13],[27.824 66.176] ; [ 9.176 21.824],1
p6,1,7.5e-05,15.669952,[11 84] ; [14 18],[18.7007874 76.2992126] ; [ 6.2992126 25.7007874],1
p4,1,0.000143,14.461121,[23 72] ; [19 12],[31.66666667 63.33333333] ; [10.33333333 20.66666667],1
p5,1,0.000555,11.922732,[ 4 90] ; [ 8 24],[ 8.95238095 85.04761905] ; [ 3.04761905 28.95238095],1
p3,1,0.001852,9.69071,[26 69] ; [18 13],[33.17460317 61.82539683] ; [10.82539683 20.17460317],0
d2,1,0.005995,7.551712,[62 31] ; [12 19],[55.5 37.5] ; [18.5 12.5],0
a3,1,0.032601,4.566625,[77 18] ; [20 12],[72.55905512 22.44094488] ; [24.44094488  7.55905512],0
a4,1,0.054156,3.707888,[60 35] ; [14 18],[55.35433071 39.64566929] ; [18.64566929 13.35433071],0
d4,1,0.065523,3.391748,[79 16] ; [21 10],[75.3968254 19.6031746] ; [24.6031746  6.3968254],0
p11,1,0.082393,3.017046,[46 50] ; [21 11],[50.25 45.75] ; [16.75 15.25],0
v2,1,0.086393,2.940331,[42 48] ; [20 11],[46.11570248 43.88429752] ; [15.88429752 15.11570248],0
d5,1,0.090584,2.86396,[78 17] ; [21 10],[74.64285714 20.35714286] ; [24.35714286  6.64285714],0
a1,1,0.102041,2.67335,[13 83] ; [ 1 31],[10.5 85.5] ; [ 3.5 28.5],0
s2,1,0.136127,2.221198,[38 58] ; [17 14],[41.57480315 54.42519685] ; [13.42519685 17.57480315],0
n3,1,0.156376,2.008929,[27 15] ; [3 5],[25.2 16.8] ; [4.8 3.2],0
p10,1,0.164426,1.933044,[52 43] ; [22 10],[55.35433071 39.64566929] ; [18.64566929 13.35433071],0
s5,1,0.168204,1.898877,[26 65] ; [13 18],[29.09016393 61.90983607] ; [ 9.90983607 21.09016393],0
u1,1,0.168845,1.893167,[23 73] ; [ 4 28],[20.25 75.75] ; [ 6.75 25.25],0
a2,1,0.173195,1.855072,[30 66] ; [ 6 26],[27. 69.] ; [ 9. 23.],0
n4,1,0.198641,1.652337,[68 27] ; [19 13],[65.07874016 29.92125984] ; [21.92125984 10.07874016],0
p9,1,0.199539,1.645747,[55 38] ; [23  9],[58.032 34.968] ; [19.968 12.032],0
v4,1,0.207434,1.589245,[77 18] ; [29  3],[79.29133858 15.70866142] ; [26.70866142  5.29133858],0
b1,1,0.220671,1.5,[51 45] ; [13 19],[48. 48.] ; [16. 16.],0
s6,1,0.247562,1.337012,[50 45] ; [20 11],[52.77777778 42.22222222] ; [17.22222222 13.77777778],0
d1,1,0.248152,1.333678,[62 34] ; [17 15],[59.25 36.75] ; [19.75 12.25],0
p12,1,0.253904,1.301695,[ 6 90] ; [ 4 28],[ 7.5 88.5] ; [ 2.5 29.5],0
s4,1,0.274809,1.192584,[20 74] ; [ 4 28],[17.9047619 76.0952381] ; [ 6.0952381 25.9047619],0
u3,1,0.292953,1.106,[ 9 10] ; [8 4],[10.41935484  8.58064516] ; [6.58064516 5.41935484],0
u2,1,0.366799,0.81448,[9 9] ; [4 8],[ 7.8 10.2] ; [5.2 6.8],0
s3,1,0.370925,0.800562,[46 50] ; [12 19],[43.84251969 52.15748031] ; [14.15748031 16.84251969],0
v3,1,0.375914,0.784023,[30 56] ; [14 18],[32.06779661 53.93220339] ; [11.93220339 20.06779661],0
v1,1,0.380361,0.769536,[35 57] ; [15 17],[37.09677419 54.90322581] ; [12.90322581 19.09677419],0
s8,1,0.440859,0.594045,[38 57] ; [10 21],[36.19047619 58.80952381] ; [11.80952381 19.19047619],0
r4,1,0.48815,0.480601,[69 27] ; [25  7],[70.5 25.5] ; [23.5  8.5],0
n6,1,0.610102,0.260027,[65 30] ; [22  8],[66.12 28.88] ; [20.88  9.12],0
b2,1,0.680137,0.169972,[31 39] ; [ 7 11],[30.22727273 39.77272727] ; [ 7.77272727 10.22727273],0
b3,1,0.680137,0.169972,[31 39] ; [ 7 11],[30.22727273 39.77272727] ; [ 7.77272727 10.22727273],0
d3,1,0.688623,0.16058,[59 36] ; [18 13],[58.05555556 36.94444444] ; [18.94444444 12.05555556],0
a7,1,0.69481,0.153927,[63 32] ; [20 12],[62.08661417 32.91338583] ; [20.91338583 11.08661417],0
n1,1,0.720962,0.127573,[19 25] ; [4 4],[19.46153846 24.53846154] ; [3.53846154 4.46153846],0
p1,1,0.743662,0.106934,[11 85] ; [ 3 29],[10.5 85.5] ; [ 3.5 28.5],0
n2,1,0.756023,0.096539,[32 14] ; [6 2],[32.37037037 13.62962963] ; [5.62962963 2.37037037],0
a8,1,0.756524,0.09613,[11 80] ; [ 3 27],[10.52892562 80.47107438] ; [ 3.47107438 26.52892562],0
b5,1,0.758056,0.094885,[54 42] ; [17 15],[53.25 42.75] ; [17.75 14.25],0
r3,1,0.769192,0.086103,[78 17] ; [27  5],[78.54330709 16.45669291] ; [26.45669291  5.54330709],0
s7,1,0.771448,0.084379,[40 49] ; [13 18],[39.30833333 49.69166667] ; [13.69166667 17.30833333],0
u4,1,0.792246,0.069377,[ 4 92] ; [ 1 31],[ 3.75 92.25] ; [ 1.25 30.75],0
r2,1,0.8121,0.05651,[82 10] ; [29  3],[82.35483871  9.64516129] ; [28.64516129  3.35483871],0
a6,1,0.962626,0.002196,[67 28] ; [22  9],[67.1031746 27.8968254] ; [21.8968254  9.1031746],0
n5,1,0.972361,0.0012,[65 30] ; [22 10],[65.07874016 29.92125984] ; [21.92125984 10.07874016],0
r1,1,0.972361,0.0012,[65 30] ; [22 10],[65.07874016 29.92125984] ; [21.92125984 10.07874016],0
s1,1,0.989429,0.000176,[ 6 89] ; [ 2 30],[ 5.98425197 89.01574803] ; [ 2.01574803 29.98425197],0
b4,1,1.0,0.0,[54 42] ; [18 14],[54. 42.] ; [18. 14.],0
