Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,78.343844,[356 156] ; [ 57 122],[306.01447178 205.98552822] ; [106.98552822  72.01447178],1
d2,1,0.0,78.221189,[293 216] ; [ 34 144],[242.27510917 266.72489083] ; [84.72489083 93.27510917],1
a3,1,0.0,64.816905,[409 102] ; [87 92],[367.32753623 143.67246377] ; [128.67246377  50.32753623],1
a4,1,0.0,46.481035,[267 243] ; [ 41 138],[227.98258345 282.01741655] ; [80.01741655 98.98258345],1
d5,1,0.0,35.643631,[440  70] ; [118  61],[413.03338171  96.96661829] ; [144.96661829  34.03338171],1
u1,1,0.0,33.996704,[116 396] ; [  6 173],[ 90.39652677 421.60347323] ; [ 31.60347323 147.39652677],1
d4,1,0.0,31.887215,[445  65] ; [122  56],[420.30523256  89.69476744] ; [146.69476744  31.30523256],1
n4,1,0.0,26.572,[431  80] ; [118  60],[407.16835994 103.83164006] ; [141.83164006  36.16835994],1
a6,1,1e-06,24.353351,[380 130] ; [98 81],[353.81712627 156.18287373] ; [124.18287373  54.81712627],1
r1,1,2e-06,22.350818,[443  67] ; [127  51],[422.52906977  87.47093023] ; [147.47093023  30.52906977],1
p3,1,2.6e-05,17.666889,[287 221] ; [ 68 110],[262.88629738 245.11370262] ; [92.11370262 85.88629738],1
s8,1,3e-05,17.398905,[252 253] ; [ 57 122],[228.13596491 276.86403509] ; [80.86403509 98.13596491],1
p4,1,4.5e-05,16.629129,[333 174] ; [85 91],[310.28696925 196.71303075] ; [107.71303075  68.28696925],1
s7,1,6.2e-05,16.041354,[264 226] ; [ 63 111],[241.31024096 248.68975904] ; [85.68975904 88.31024096],1
p10,1,0.000175,14.083074,[452  55] ; [137  39],[437.22254758  69.77745242] ; [151.77745242  24.22254758],1
d3,1,0.000185,13.982645,[371 140] ; [103  76],[351.03478261 159.96521739] ; [122.96521739  56.03478261],1
n5,1,0.000331,12.883576,[411  98] ; [119  57],[393.82481752 115.17518248] ; [136.17518248  39.82481752],1
v1,1,0.000383,12.611519,[296 199] ; [77 97],[275.98654709 219.01345291] ; [97.01345291 76.98654709],1
r4,1,0.000566,11.883432,[491  21] ; [159  20],[481.62083936  30.37916064] ; [168.37916064  10.62083936],1
p2,1,0.001692,9.856427,[446  60] ; [139  38],[433.39677892  72.60322108] ; [151.60322108  25.39677892],0
s5,1,0.002794,8.93766,[183 310] ; [ 42 129],[167.05572289 325.94427711] ; [ 57.94427711 113.05572289],0
v2,1,0.003299,8.634293,[301 191] ; [81 87],[284.76363636 207.23636364] ; [97.23636364 70.76363636],0
b2,1,0.004155,8.214596,[148 191] ; [27 71],[135.75514874 203.24485126] ; [39.24485126 58.75514874],0
b3,1,0.004155,8.214596,[148 191] ; [27 71],[135.75514874 203.24485126] ; [39.24485126 58.75514874],0
s6,1,0.013803,6.063133,[344 154] ; [103  72],[330.7667162 167.2332838] ; [116.2332838  58.7667162],0
p9,1,0.013868,6.054876,[455  51] ; [146  30],[445.90322581  60.09677419] ; [155.09677419  20.90322581],0
p8,1,0.020773,5.345722,[294 205] ; [86 90],[280.91851852 218.08148148] ; [99.08148148 76.91851852],0
s2,1,0.022523,5.204911,[270 235] ; [ 77 100],[256.94281525 248.05718475] ; [90.05718475 86.94281525],0
n6,1,0.058211,3.587634,[450  58] ; [147  30],[442.73868613  65.26131387] ; [154.26131387  22.73868613],0
v3,1,0.063275,3.449403,[211 280] ; [ 60 112],[200.69532428 290.30467572] ; [ 70.30467572 101.69532428],0
v4,1,0.068948,3.307879,[499  10] ; [170   8],[495.66375546  13.33624454] ; [173.33624454   4.66375546],0
a1,1,0.076344,3.141059,[ 28 484] ; [  4 175],[ 23.7105644 488.2894356] ; [  8.2894356 170.7105644],0
p12,1,0.084609,2.974065,[ 50 454] ; [ 10 167],[ 44.40528634 459.59471366] ; [ 15.59471366 161.40528634],0
p5,1,0.103422,2.651964,[ 67 440] ; [ 15 160],[ 60.95894428 446.04105572] ; [ 21.04105572 153.95894428],0
b1,1,0.113848,2.499983,[185 327] ; [ 53 126],[176.34732272 335.65267728] ; [ 61.65267728 117.34732272],0
a7,1,0.16496,1.928161,[375 137] ; [120  57],[367.83744557 144.16255443] ; [127.16255443  49.83744557],0
u4,1,0.215618,1.533302,[ 14 498] ; [  2 177],[ 11.8552822 500.1447178] ; [  4.1447178 174.8552822],0
n1,1,0.217,1.524103,[33 63] ; [17 20],[36.09022556 59.90977444] ; [13.90977444 23.09022556],0
u3,1,0.222916,1.485497,[67 36] ; [52 40],[62.85641026 40.14358974] ; [56.14358974 35.85641026],0
p6,1,0.362573,0.82896,[194 309] ; [ 60 113],[188.99704142 314.00295858] ; [ 65.00295858 107.99704142],0
s4,1,0.432559,0.615943,[ 76 427] ; [ 31 145],[ 79.26509573 423.73490427] ; [ 27.73490427 148.26509573],0
s1,1,0.469473,0.523217,[ 12 490] ; [  6 170],[ 13.32743363 488.67256637] ; [  4.67256637 171.32743363],0
s3,1,0.664329,0.188307,[290 211] ; [98 77],[287.55621302 213.44378698] ; [100.44378698  74.55621302],0
n3,1,0.681883,0.168013,[70 27] ; [28  9],[70.94029851 26.05970149] ; [27.05970149  9.94029851],0
p7,1,0.707744,0.14054,[332 166] ; [110  59],[330.0089955 167.9910045] ; [111.9910045  57.0089955],0
r3,1,0.774209,0.082297,[495  15] ; [172   6],[494.43313953  15.56686047] ; [172.56686047   5.43313953],0
b5,1,0.817112,0.053482,[301 211] ; [107  72],[302.30969609 209.69030391] ; [105.69030391  73.30969609],0
p1,1,0.870966,0.026384,[ 45 462] ; [ 15 162],[ 44.47368421 462.52631579] ; [ 15.52631579 161.47368421],0
n2,1,0.951548,0.003692,[74 24] ; [27  9],[73.86567164 24.13432836] ; [27.13432836  8.86567164],0
b4,1,0.961394,0.002343,[305 207] ; [107  72],[305.27351664 206.72648336] ; [106.72648336  72.27351664],0
u2,1,0.973669,0.001089,[59 43] ; [53 39],[58.88659794 43.11340206] ; [53.11340206 38.88659794],0
a8,1,0.986042,0.000306,[ 63 399] ; [ 23 145],[ 63.06666667 398.93333333] ; [ 22.93333333 145.06666667],0
