Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,87.181289,[ 3 65] ; [187  91],[37.34104046 30.65895954] ; [152.65895954 125.34104046],1
d4,1,0.0,43.519632,[34 34] ; [239  38],[53.80869565 14.19130435] ; [219.19130435  57.80869565],1
a5,1,0.0,37.977799,[29 39] ; [222  56],[49.32947977 18.67052023] ; [201.67052023  76.32947977],1
a4,1,0.0,32.444472,[12 55] ; [157 120],[32.91569767 34.08430233] ; [136.08430233 140.91569767],1
d2,1,0.0,27.079869,[16 52] ; [161 113],[35.19298246 32.80701754] ; [141.80701754 132.19298246],1
a3,1,9e-06,19.758704,[33 34] ; [213  65],[47.77391304 19.22608696] ; [198.22608696  79.77391304],1
a2,1,3e-05,17.436566,[ 4 64] ; [ 85 193],[17.49132948 50.50867052] ; [ 71.50867052 206.49132948],1
u1,1,9.1e-05,15.321931,[ 2 66] ; [ 67 211],[13.56069364 54.43930636] ; [ 55.43930636 222.56069364],1
d3,1,0.000137,14.542631,[31 37] ; [195  83],[44.41618497 23.58381503] ; [181.58381503  96.41618497],1
p4,1,0.000338,12.849643,[17 50] ; [138 140],[30.10144928 36.89855072] ; [124.89855072 153.10144928],1
p2,1,0.00045,12.312336,[36 32] ; [206  70],[47.8372093 20.1627907] ; [194.1627907  81.8372093],1
p3,1,0.000612,11.737612,[13 55] ; [115 162],[25.22898551 42.77101449] ; [102.77101449 174.22898551],1
v2,1,0.000712,11.457166,[21 43] ; [151 117],[33.15662651 30.84337349] ; [138.84337349 129.15662651],1
p9,1,0.001017,10.795594,[39 27] ; [217  59],[49.40350877 16.59649123] ; [206.59649123  69.40350877],0
r3,1,0.001269,10.387279,[53 14] ; [255  21],[60.16326531  6.83673469] ; [247.83673469  28.16326531],0
s8,1,0.001643,9.910531,[15 53] ; [119 159],[26.33526012 41.66473988] ; [107.66473988 170.33526012],0
r2,1,0.002617,9.056991,[56 12] ; [255  17],[62.2  5.8] ; [248.8  23.2],0
b5,1,0.002708,8.994379,[33 35] ; [189  89],[43.6300578 24.3699422] ; [178.3699422  99.6300578],0
p10,1,0.003257,8.657525,[37 28] ; [209  69],[46.6180758 18.3819242] ; [199.3819242  78.6180758],0
a7,1,0.004124,8.228563,[36 32] ; [197  80],[45.92463768 22.07536232] ; [187.07536232  89.92463768],0
r4,1,0.007567,7.13323,[48 20] ; [235  43],[55.61849711 12.38150289] ; [227.38150289  50.61849711],0
a6,1,0.007766,7.086623,[37 31] ; [198  80],[46.1849711 21.8150289] ; [188.8150289  89.1849711],0
n6,1,0.010688,6.51642,[47 20] ; [232  45],[54.34011628 12.65988372] ; [224.65988372  52.34011628],0
v4,1,0.018467,5.551321,[54 14] ; [248  28],[59.69767442  8.30232558] ; [242.30232558  33.69767442],0
s7,1,0.032178,4.588968,[22 42] ; [131 135],[29.67272727 34.32727273] ; [123.32727273 142.67272727],0
s2,1,0.035911,4.401338,[24 42] ; [140 136],[31.64912281 34.35087719] ; [132.35087719 143.64912281],0
s6,1,0.041453,4.157407,[35 33] ; [179  97],[42.30232558 25.69767442] ; [171.69767442 104.30232558],0
v3,1,0.041766,4.144665,[17 49] ; [104 161],[24.12688822 41.87311178] ; [ 96.87311178 168.12688822],0
p7,1,0.045783,3.98955,[20 47] ; [118 155],[27.19411765 39.80588235] ; [110.80588235 162.19411765],0
r1,1,0.058423,3.5816,[45 23] ; [214  63],[51.04927536 16.95072464] ; [207.95072464  69.04927536],0
p11,1,0.067226,3.349486,[42 26] ; [203  75],[48.15028902 19.84971098] ; [196.84971098  81.15028902],0
s5,1,0.098874,2.723609,[12 52] ; [ 77 189],[17.26060606 46.73939394] ; [ 71.73939394 194.26060606],0
p1,1,0.140097,2.176889,[ 7 61] ; [ 15 262],[ 4.33623188 63.66376812] ; [ 17.66376812 259.33623188],0
s1,1,0.154188,2.03032,[ 5 60] ; [ 10 264],[ 2.87610619 62.12389381] ; [ 12.12389381 261.87610619],0
b4,1,0.177686,1.816874,[36 32] ; [172 106],[40.87861272 27.12138728] ; [167.12138728 110.87861272],0
n3,1,0.250929,1.318125,[14  8] ; [54 17],[16.08602151  5.91397849] ; [51.91397849 19.08602151],0
a1,1,0.288613,1.126081,[ 6 62] ; [ 15 263],[ 4.12716763 63.87283237] ; [ 16.87283237 261.12716763],0
s4,1,0.296142,1.091487,[12 56] ; [ 35 239],[ 9.34502924 58.65497076] ; [ 37.65497076 236.34502924],0
n5,1,0.309879,1.031191,[52 16] ; [226  50],[54.95348837 13.04651163] ; [223.04651163  52.95348837],0
v1,1,0.34603,0.887962,[27 39] ; [126 140],[30.41566265 35.58433735] ; [122.58433735 143.41566265],0
p6,1,0.403118,0.699006,[14 53] ; [ 71 204],[16.65204678 50.34795322] ; [ 68.34795322 206.65204678],0
n1,1,0.436009,0.606764,[12 11] ; [30 40],[10.38709677 12.61290323] ; [31.61290323 38.38709677],0
u3,1,0.437816,0.601999,[16 19] ; [35 30],[17.85 17.15] ; [33.15 31.85],0
p5,1,0.451608,0.566614,[ 5 62] ; [ 14 260],[ 3.73313783 63.26686217] ; [ 15.26686217 258.73313783],0
b1,1,0.459212,0.547814,[30 38] ; [109 169],[27.31791908 40.68208092] ; [111.68208092 166.31791908],0
p12,1,0.459226,0.547781,[ 3 65] ; [ 19 258],[ 4.33623188 63.66376812] ; [ 17.66376812 259.33623188],0
b2,1,0.49507,0.465488,[21 25] ; [ 73 109],[18.96491228 27.03508772] ; [ 75.03508772 106.96491228],0
b3,1,0.49507,0.465488,[21 25] ; [ 73 109],[18.96491228 27.03508772] ; [ 75.03508772 106.96491228],0
n2,1,0.496487,0.462438,[18  6] ; [48 23],[16.67368421  7.32631579] ; [49.32631579 21.67368421],0
u2,1,0.50017,0.454576,[17 17] ; [36 27],[18.57731959 15.42268041] ; [34.42268041 28.57731959],0
s3,1,0.650742,0.204965,[35 32] ; [151 122],[36.65294118 30.34705882] ; [149.34705882 123.65294118],0
a8,1,0.951033,0.003771,[ 9 55] ; [ 34 213],[ 8.8488746 55.1511254] ; [ 34.1511254 212.8488746],0
