Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9.1e-05,15.315553,[67  7] ; [2 4],[63.825 10.175] ; [5.175 0.825],1
v4,1,0.000201,13.823452,[70  4] ; [3 3],[67.525  6.475] ; [5.475 0.525],1
d5,1,0.000756,11.346983,[57 15] ; [1 5],[53.53846154 18.46153846] ; [4.46153846 1.53846154],1
a5,1,0.004212,8.190008,[54 20] ; [1 5],[50.875 23.125] ; [4.125 1.875],0
r3,1,0.004378,8.12012,[71  3] ; [4 2],[69.375  4.625] ; [5.625 0.375],0
r1,1,0.014257,6.006006,[58 16] ; [2 4],[55.5 18.5] ; [4.5 1.5],0
p9,1,0.022348,5.218463,[55 17] ; [2 4],[52.61538462 19.38461538] ; [4.38461538 1.61538462],0
s7,1,0.022694,5.191739,[43 24] ; [1 5],[40.38356164 26.61643836] ; [3.61643836 2.38356164],0
d1,1,0.049713,3.851124,[43 31] ; [1 5],[40.7 33.3] ; [3.3 2.7],0
s8,1,0.062351,3.473715,[41 32] ; [1 5],[38.81012658 34.18987342] ; [3.18987342 2.81012658],0
d2,1,0.077459,3.117434,[39 33] ; [1 5],[36.92307692 35.07692308] ; [3.07692308 2.92307692],0
a4,1,0.115828,2.472849,[37 37] ; [1 5],[35.15 38.85] ; [2.85 3.15],0
a7,1,0.165645,1.921922,[46 28] ; [2 4],[44.4 29.6] ; [3.6 2.4],0
v2,1,0.215268,1.535642,[41 28] ; [2 4],[39.56 29.44] ; [3.44 2.56],0
v3,1,0.228249,1.45174,[28 39] ; [1 5],[26.61643836 40.38356164] ; [2.38356164 3.61643836],0
s5,1,0.233692,1.418247,[29 41] ; [1 5],[27.63157895 42.36842105] ; [2.36842105 3.63157895],0
a6,1,0.263902,1.248173,[41 31] ; [2 4],[39.69230769 32.30769231] ; [3.30769231 2.69230769],0
p3,1,0.289355,1.122618,[28 45] ; [1 5],[26.79746835 46.20253165] ; [2.20253165 3.79746835],0
p10,1,0.314604,1.011248,[51 22] ; [3 3],[49.89873418 23.10126582] ; [4.10126582 1.89873418],0
a1,1,0.375419,0.785651,[ 5 69] ; [1 5],[ 5.55 68.45] ; [0.45 5.55],0
a3,1,0.422953,0.642097,[50 24] ; [5 1],[50.875 23.125] ; [4.125 1.875],0
n4,1,0.423161,0.641521,[49 25] ; [3 3],[48.1 25.9] ; [3.9 2.1],0
p6,1,0.44737,0.577306,[23 50] ; [1 5],[22.17721519 50.82278481] ; [1.82278481 4.17721519],0
p11,1,0.466324,0.530673,[48 26] ; [3 3],[47.175 26.825] ; [3.825 2.175],0
n5,1,0.466324,0.530673,[48 26] ; [3 3],[47.175 26.825] ; [3.825 2.175],0
s4,1,0.536629,0.381824,[21 53] ; [1 5],[20.35 53.65] ; [1.65 4.35],0
p1,1,0.571415,0.32032,[ 7 67] ; [1 5],[ 7.4 66.6] ; [0.6 5.4],0
a8,1,0.590106,0.290179,[ 7 65] ; [1 5],[ 7.38461538 64.61538462] ; [0.61538462 5.38461538],0
p4,1,0.622158,0.242846,[29 44] ; [3 3],[29.56962025 43.43037975] ; [2.43037975 3.56962025],0
v1,1,0.641818,0.216372,[43 29] ; [3 3],[42.46153846 29.53846154] ; [3.53846154 2.46153846],0
b4,1,0.650775,0.204924,[44 30] ; [3 3],[43.475 30.525] ; [3.525 2.475],0
p8,1,0.681797,0.16811,[19 55] ; [2 4],[19.425 54.575] ; [1.575 4.425],0
d3,1,0.690109,0.158967,[42 30] ; [4 2],[42.46153846 29.53846154] ; [3.53846154 2.46153846],0
d4,1,0.751483,0.100289,[56 16] ; [5 1],[56.30769231 15.69230769] ; [4.69230769 1.30769231],0
n6,1,0.755179,0.09723,[53 20] ; [4 2],[52.67088608 20.32911392] ; [4.32911392 1.67088608],0
s1,1,0.7587,0.094365,[ 9 64] ; [1 5],[ 9.24050633 63.75949367] ; [0.75949367 5.24050633],0
p7,1,0.764014,0.090128,[31 40] ; [3 3],[31.35064935 39.64935065] ; [2.64935065 3.35064935],0
b1,1,0.898543,0.016257,[35 39] ; [3 3],[35.15 38.85] ; [2.85 3.15],0
s3,1,0.943881,0.004955,[60 13] ; [5 1],[60.06329114 12.93670886] ; [4.93670886 1.06329114],0
s6,1,0.988432,0.00021,[61 12] ; [5 1],[60.98734177 12.01265823] ; [5.01265823 0.98734177],0
