Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.02211,5.237069,[10  6] ; [ 8 21],[6.4 9.6] ; [11.6 17.4],0
v3,1,0.025199,5.010171,[7 9] ; [ 4 25],[ 3.91111111 12.08888889] ; [ 7.08888889 21.91111111],0
s8,1,0.025199,5.010171,[7 9] ; [ 4 25],[ 3.91111111 12.08888889] ; [ 7.08888889 21.91111111],0
s7,1,0.042818,4.102564,[7 7] ; [ 5 21],[4.2 9.8] ; [ 7.8 18.2],0
p10,1,0.050521,3.824095,[13  3] ; [15 14],[9.95555556 6.04444444] ; [18.04444444 10.95555556],0
u3,1,0.086828,2.932224,[6 3] ; [ 5 11],[3.96 5.04] ; [7.04 8.96],0
b5,1,0.123617,2.370882,[11  5] ; [13 16],[8.53333333 7.46666667] ; [15.46666667 13.53333333],0
p7,1,0.185809,1.750539,[11  5] ; [14 15],[8.88888889 7.11111111] ; [16.11111111 12.88888889],0
p8,1,0.236489,1.401401,[9 7] ; [11 18],[7.11111111 8.88888889] ; [12.88888889 16.11111111],0
s4,1,0.243926,1.357759,[ 2 14] ; [ 8 21],[ 3.55555556 12.44444444] ; [ 6.44444444 22.55555556],0
d5,1,0.271874,1.207268,[12  4] ; [17 12],[10.31111111  5.68888889] ; [18.68888889 10.31111111],0
b1,1,0.271874,1.207268,[12  4] ; [17 12],[10.31111111  5.68888889] ; [18.68888889 10.31111111],0
p6,1,0.307841,1.039916,[ 5 11] ; [ 5 23],[ 3.63636364 12.36363636] ; [ 6.36363636 21.63636364],0
a6,1,0.33849,0.916141,[7 9] ; [17 12],[8.53333333 7.46666667] ; [15.46666667 13.53333333],0
b4,1,0.33849,0.916141,[9 7] ; [12 17],[7.46666667 8.53333333] ; [13.53333333 15.46666667],0
s5,1,0.350169,0.872845,[ 2 14] ; [ 7 22],[ 3.2 12.8] ; [ 5.8 23.2],0
b3,1,0.355703,0.853006,[1 5] ; [ 7 12],[1.92 4.08] ; [ 6.08 12.92],0
b2,1,0.355703,0.853006,[1 5] ; [ 7 12],[1.92 4.08] ; [ 6.08 12.92],0
a7,1,0.35991,0.838208,[10  6] ; [14 15],[8.53333333 7.46666667] ; [15.46666667 13.53333333],0
s2,1,0.372382,0.795699,[ 3 13] ; [ 9 20],[ 4.26666667 11.73333333] ; [ 7.73333333 21.26666667],0
d3,1,0.373488,0.792026,[11  5] ; [16 13],[9.6 6.4] ; [17.4 11.6],0
v1,1,0.37841,0.775862,[ 4 12] ; [11 18],[ 5.33333333 10.66666667] ; [ 9.66666667 19.33333333],0
n6,1,0.393669,0.72758,[9 7] ; [20  9],[10.31111111  5.68888889] ; [18.68888889 10.31111111],0
n3,1,0.436275,0.606061,[2 3] ; [9 6],[2.75 2.25] ; [8.25 6.75],0
n4,1,0.463101,0.538388,[7 9] ; [16 13],[8.17777778 7.82222222] ; [14.82222222 14.17777778],0
d1,1,0.49168,0.472847,[ 6 10] ; [ 8 21],[ 4.97777778 11.02222222] ; [ 9.02222222 19.97777778],0
d4,1,0.510704,0.432624,[12  4] ; [19 10],[11.02222222  4.97777778] ; [19.97777778  9.02222222],0
p9,1,0.540751,0.37415,[10  6] ; [20  8],[10.90909091  5.09090909] ; [19.09090909  8.90909091],0
a8,1,0.606239,0.265688,[ 2 14] ; [ 2 24],[ 1.52380952 14.47619048] ; [ 2.47619048 23.52380952],0
s6,1,0.608483,0.26239,[7 9] ; [15 14],[7.82222222 8.17777778] ; [14.17777778 14.82222222],0
u2,1,0.656005,0.198413,[6 3] ; [12  4],[6.48 2.52] ; [11.52  4.48],0
s1,1,0.662432,0.190582,[ 1 15] ; [ 1 28],[ 0.71111111 15.28888889] ; [ 1.28888889 27.71111111],0
s3,1,0.668999,0.182775,[ 4 12] ; [ 9 20],[ 4.62222222 11.37777778] ; [ 8.37777778 20.62222222],0
p5,1,0.674429,0.176465,[ 2 14] ; [ 5 24],[ 2.48888889 13.51111111] ; [ 4.51111111 24.48888889],0
n5,1,0.702899,0.145474,[9 7] ; [18 11],[9.6 6.4] ; [17.4 11.6],0
v2,1,0.737149,0.112649,[7 8] ; [12 17],[6.47727273 8.52272727] ; [12.52272727 16.47727273],0
a4,1,0.739193,0.110837,[ 4 12] ; [ 6 23],[ 3.55555556 12.44444444] ; [ 6.44444444 22.55555556],0
d2,1,0.851038,0.035266,[ 4 12] ; [ 8 21],[ 4.26666667 11.73333333] ; [ 7.73333333 21.26666667],0
r3,1,0.876261,0.024246,[13  3] ; [23  6],[12.8  3.2] ; [23.2  5.8],0
a5,1,0.87751,0.023755,[7 9] ; [12 17],[6.75555556 9.24444444] ; [12.24444444 16.75555556],0
p3,1,0.90571,0.014031,[ 6 10] ; [10 18],[ 5.81818182 10.18181818] ; [10.18181818 17.81818182],0
p12,1,0.933668,0.006927,[ 1 15] ; [ 2 27],[ 1.06666667 14.93333333] ; [ 1.93333333 27.06666667],0
p4,1,0.944484,0.004849,[9 7] ; [16 13],[8.88888889 7.11111111] ; [16.11111111 12.88888889],0
a3,1,0.944484,0.004849,[7 9] ; [13 16],[7.11111111 8.88888889] ; [12.88888889 16.11111111],0
p2,1,0.948642,0.004149,[12  4] ; [22  7],[12.08888889  3.91111111] ; [21.91111111  7.08888889],0
p11,1,0.988073,0.000223,[11  5] ; [20  9],[11.02222222  4.97777778] ; [19.97777778  9.02222222],0
n1,1,1.0,0.0,[1 4] ; [ 3 12],[1. 4.] ; [ 3. 12.],0
n2,1,1.0,0.0,[3 2] ; [9 6],[3. 2.] ; [9. 6.],0
