Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,56.732782,[78 10] ; [ 7 29],[60.32258065 27.67741935] ; [24.67741935 11.32258065],1
r1,1,0.003622,8.464045,[75 14] ; [21 14],[68.90322581 20.09677419] ; [27.09677419  7.90322581],0
a5,1,0.005483,7.71279,[73 16] ; [21 15],[66.928 22.072] ; [27.072  8.928],0
s7,1,0.007636,7.116878,[57 29] ; [13 20],[50.58823529 35.41176471] ; [19.41176471 13.58823529],0
p2,1,0.030374,4.687993,[71 18] ; [22 14],[66.216 22.784] ; [26.784  9.216],0
s4,1,0.040315,4.204567,[20 66] ; [15 21],[24.67213115 61.32786885] ; [10.32786885 25.67213115],0
n3,1,0.046313,3.970159,[17  4] ; [8 8],[14.18918919  6.81081081] ; [10.81081081  5.18918919],0
a3,1,0.050591,3.821746,[73 16] ; [23 12],[68.90322581 20.09677419] ; [27.09677419  7.90322581],0
v3,1,0.053603,3.725027,[31 56] ; [ 6 28],[26.60330579 60.39669421] ; [10.39669421 23.60330579],0
n6,1,0.055683,3.661517,[78 10] ; [27  9],[74.51612903 13.48387097] ; [30.48387097  5.51612903],0
u2,1,0.084978,2.967033,[10  4] ; [5 8],[7.77777778 6.22222222] ; [7.22222222 5.77777778],0
p5,1,0.099618,2.711656,[11 78] ; [ 1 35],[ 8.544 80.456] ; [ 3.456 32.544],0
r4,1,0.113137,2.509843,[79 10] ; [28  8],[76.184 12.816] ; [30.816  5.184],0
s8,1,0.114228,2.494725,[46 43] ; [13 23],[42.008 46.992] ; [16.992 19.008],0
p7,1,0.114329,2.493345,[44 44] ; [12 23],[40.06504065 47.93495935] ; [15.93495935 19.06504065],0
b5,1,0.124367,2.361447,[60 29] ; [19 17],[56.248 32.752] ; [22.752 13.248],0
p12,1,0.130642,2.284855,[10 79] ; [ 1 35],[ 7.832 81.168] ; [ 3.168 32.832],0
a6,1,0.132708,2.260539,[62 27] ; [20 16],[58.384 30.616] ; [23.616 12.384],0
a8,1,0.137884,2.20142,[ 9 68] ; [ 1 33],[ 6.93693694 70.06306306] ; [ 3.06306306 30.93693694],0
p3,1,0.138285,2.196936,[40 49] ; [11 25],[36.312 52.688] ; [14.688 21.312],0
n2,1,0.151609,2.055987,[17  3] ; [11  6],[15.13513514  4.86486486] ; [12.86486486  4.13513514],0
p4,1,0.156325,2.009422,[49 39] ; [15 21],[45.41935484 42.58064516] ; [18.58064516 17.41935484],0
v4,1,0.162488,1.950915,[84  4] ; [31  4],[82.27642276  5.72357724] ; [32.72357724  2.27642276],0
p6,1,0.164664,1.930859,[28 60] ; [ 7 29],[24.83870968 63.16129032] ; [10.16129032 25.83870968],0
p11,1,0.168709,1.894377,[61 28] ; [20 16],[57.672 31.328] ; [23.328 12.672],0
a2,1,0.206169,1.598123,[30 59] ; [ 8 28],[27.056 61.944] ; [10.944 25.056],0
a1,1,0.239866,1.381381,[ 3 86] ; [ 3 33],[ 4.272 84.728] ; [ 1.728 34.272],0
d1,1,0.294511,1.098887,[56 33] ; [19 17],[53.4 35.6] ; [21.6 14.4],0
p10,1,0.300174,1.073422,[71 17] ; [26 10],[68.83870968 19.16129032] ; [28.16129032  7.83870968],0
s6,1,0.302414,1.063517,[76 13] ; [28  8],[74.048 14.952] ; [29.952  6.048],0
d3,1,0.310476,1.028652,[65 24] ; [23 13],[62.656 26.344] ; [25.344 10.656],0
u1,1,0.328158,0.956152,[22 67] ; [ 6 30],[19.936 69.064] ; [ 8.064 27.936],0
s1,1,0.369652,0.804835,[ 6 81] ; [ 1 35],[ 4.95121951 82.04878049] ; [ 2.04878049 33.95121951],0
s2,1,0.377895,0.777537,[61 27] ; [22 14],[58.90322581 29.09677419] ; [24.09677419 11.90322581],0
d5,1,0.400547,0.706683,[77 12] ; [29  7],[75.472 13.528] ; [30.528  5.472],0
d2,1,0.404319,0.695442,[53 34] ; [19 17],[50.92682927 36.07317073] ; [21.07317073 14.92682927],0
s3,1,0.485701,0.486037,[58 29] ; [21 14],[56.33606557 30.66393443] ; [22.66393443 12.33606557],0
p1,1,0.544333,0.367568,[ 9 80] ; [ 5 31],[ 9.968 79.032] ; [ 4.032 31.968],0
p9,1,0.55495,0.348524,[72 16] ; [27  8],[70.82926829 17.17073171] ; [28.17073171  6.82926829],0
b4,1,0.564982,0.331152,[57 32] ; [25 11],[58.384 30.616] ; [23.616 12.384],0
d4,1,0.617086,0.249984,[78 10] ; [33  3],[78.77419355  9.22580645] ; [32.22580645  3.77419355],0
v1,1,0.627173,0.235914,[44 43] ; [16 19],[42.78688525 44.21311475] ; [17.21311475 17.78688525],0
r3,1,0.629399,0.232876,[80  7] ; [34  2],[80.63414634  6.36585366] ; [33.36585366  2.63414634],0
u3,1,0.684498,0.165106,[11  5] ; [8 5],[10.48275862  5.51724138] ; [8.51724138 4.48275862],0
n1,1,0.708959,0.139319,[ 9 10] ; [ 7 10],[ 8.44444444 10.55555556] ; [7.55555556 9.44444444],0
b2,1,0.799161,0.064736,[21 38] ; [ 7 11],[21.45454545 37.54545455] ; [ 6.54545455 11.45454545],0
b3,1,0.799161,0.064736,[21 38] ; [ 7 11],[21.45454545 37.54545455] ; [ 6.54545455 11.45454545],0
b1,1,0.871878,0.026009,[36 53] ; [14 22],[35.6 53.4] ; [14.4 21.6],0
v2,1,0.885062,0.020896,[46 41] ; [18 17],[45.63934426 41.36065574] ; [18.36065574 16.63934426],0
a4,1,0.911855,0.012254,[46 43] ; [19 17],[46.28 42.72] ; [18.72 17.28],0
a7,1,0.935514,0.006546,[58 30] ; [24 12],[58.19354839 29.80645161] ; [23.80645161 12.19354839],0
r2,1,0.994371,5e-05,[82  5] ; [33  2],[82.00819672  4.99180328] ; [32.99180328  2.00819672],0
