Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,165.229855,[278  32] ; [26 77],[228.18401937  81.81598063] ; [75.81598063 27.18401937],1
s6,1,0.0,45.203165,[278  27] ; [65 38],[256.40931373  48.59068627] ; [86.59068627 16.40931373],1
s8,1,0.001236,10.435966,[230  78] ; [59 43],[217.10243902  90.89756098] ; [71.89756098 30.10243902],0
s5,1,0.005701,7.642527,[144 149] ; [34 68],[132.03544304 160.96455696] ; [45.96455696 56.03544304],0
r2,1,0.006651,7.364969,[302   5] ; [95  7],[297.99266504   9.00733496] ; [99.00733496  2.99266504],0
s4,1,0.029084,4.762654,[ 74 235] ; [14 88],[ 66.16058394 242.83941606] ; [21.83941606 80.16058394],0
n2,1,0.031548,4.622917,[58 10] ; [17  9],[54.25531915 13.74468085] ; [20.74468085  5.25531915],0
d1,1,0.042195,4.12735,[206 104] ; [57 46],[197.40920097 112.59079903] ; [65.59079903 37.40920097],0
s1,1,0.042359,4.1208,[ 18 289] ; [  1 101],[ 14.26161369 292.73838631] ; [ 4.73838631 97.26161369],0
n5,1,0.084722,2.971909,[257  52] ; [77 25],[251.10948905  57.89051095] ; [82.89051095 19.10948905],0
p1,1,0.089018,2.892039,[ 36 272] ; [ 6 97],[ 31.47445255 276.52554745] ; [10.52554745 92.47445255],0
n4,1,0.108452,2.576641,[263  45] ; [81 22],[257.79075426  50.20924574] ; [86.20924574 16.79075426],0
r1,1,0.138184,2.198064,[265  44] ; [82 21],[260.25  48.75] ; [86.75 16.25],0
b1,1,0.170206,1.881131,[129 181] ; [35 68],[123.09927361 186.90072639] ; [40.90072639 62.09927361],0
n1,1,0.186229,1.747199,[36 31] ; [10 16],[33.13978495 33.86021505] ; [12.86021505 13.13978495],0
p6,1,0.187081,1.740457,[137 168] ; [53 48],[142.73399015 162.26600985] ; [47.26600985 53.73399015],0
a3,1,0.202864,1.621636,[254  55] ; [78 24],[249.60583942  59.39416058] ; [82.39416058 19.60583942],0
d4,1,0.20584,1.600445,[266  41] ; [84 19],[262.07317073  44.92682927] ; [87.92682927 15.07317073],0
a8,1,0.222697,1.486909,[ 52 233] ; [11 76],[ 48.26612903 236.73387097] ; [14.73387097 72.26612903],0
p11,1,0.230125,1.440088,[249  61] ; [77 26],[244.69733656  65.30266344] ; [81.30266344 21.69733656],0
d2,1,0.315778,1.006352,[173 135] ; [52 51],[168.61313869 139.38686131] ; [56.38686131 46.61313869],0
b4,1,0.318091,0.996781,[177 133] ; [53 50],[172.63922518 137.36077482] ; [57.36077482 45.63922518],0
a4,1,0.33104,0.944827,[157 153] ; [46 56],[152.74271845 157.25728155] ; [50.25728155 51.74271845],0
b3,1,0.333424,0.935554,[ 87 126] ; [35 39],[ 90.54355401 122.45644599] ; [31.45644599 42.54355401],0
b2,1,0.333424,0.935554,[ 87 126] ; [35 39],[ 90.54355401 122.45644599] ; [31.45644599 42.54355401],0
a1,1,0.334454,0.931575,[ 20 290] ; [ 4 99],[ 18.01452785 291.98547215] ; [ 5.98547215 97.01452785],0
p7,1,0.359062,0.841172,[213  85] ; [68 34],[209.345  88.655] ; [71.655 30.345],0
