Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.00058,11.840319,[17 10] ; [16 48],[ 9.79120879 17.20879121] ; [23.20879121 40.79120879],1
v2,1,0.00999,6.636682,[17  9] ; [22 40],[11.52272727 14.47727273] ; [27.47727273 34.52272727],0
n4,1,0.011824,6.336998,[24  3] ; [40 24],[18.98901099  8.01098901] ; [45.01098901 18.98901099],0
b5,1,0.024398,5.066114,[20  7] ; [31 33],[15.13186813 11.86813187] ; [35.86813187 28.13186813],0
s7,1,0.027262,4.874158,[14 12] ; [18 44],[ 9.45454545 16.54545455] ; [22.54545455 39.45454545],0
r4,1,0.0731,3.212008,[25  2] ; [49 15],[21.95604396  5.04395604] ; [52.04395604 11.95604396],0
b4,1,0.100048,2.704781,[22  5] ; [41 23],[18.69230769  8.30769231] ; [44.30769231 19.69230769],0
p3,1,0.104377,2.637363,[11 16] ; [15 48],[ 7.8 19.2] ; [18.2 44.8],0
d5,1,0.130378,2.287995,[22  5] ; [42 22],[18.98901099  8.01098901] ; [45.01098901 18.98901099],0
s8,1,0.133779,2.248093,[10 17] ; [14 50],[ 7.12087912 19.87912088] ; [16.87912088 47.12087912],0
r2,1,0.148933,2.083141,[26  1] ; [55  9],[24.03296703  2.96703297] ; [56.96703297  7.03296703],0
p5,1,0.153727,2.034869,[ 2 25] ; [ 1 63],[ 0.89010989 26.10989011] ; [ 2.10989011 61.89010989],0
s5,1,0.163506,1.9415,[ 8 18] ; [11 52],[ 5.5505618 20.4494382] ; [13.4494382 49.5505618],0
r1,1,0.175515,1.835192,[23  4] ; [46 18],[20.47252747  6.52747253] ; [48.52747253 15.47252747],0
a7,1,0.17581,1.832693,[19  7] ; [37 27],[16.17777778  9.82222222] ; [39.82222222 24.17777778],0
a6,1,0.182752,1.775101,[20  7] ; [38 26],[17.20879121  9.79120879] ; [40.79120879 23.20879121],0
u2,1,0.224898,1.472838,[4 6] ; [18 11],[5.64102564 4.35897436] ; [16.35897436 12.64102564],0
p6,1,0.241197,1.373584,[ 4 22] ; [17 46],[ 6.13483146 19.86516854] ; [14.86516854 48.13483146],0
a2,1,0.328879,0.953305,[ 5 22] ; [ 7 57],[ 3.56043956 23.43956044] ; [ 8.43956044 55.56043956],0
a4,1,0.329114,0.952381,[11 16] ; [19 44],[ 9. 18.] ; [21. 42.],0
s4,1,0.348891,0.877488,[ 2 25] ; [ 9 53],[ 3.33707865 23.66292135] ; [ 7.66292135 54.33707865],0
n5,1,0.355429,0.853979,[18  9] ; [36 28],[16.02197802 10.97802198] ; [37.97802198 26.02197802],0
a3,1,0.387731,0.746046,[17 10] ; [34 30],[15.13186813 11.86813187] ; [35.86813187 28.13186813],0
s2,1,0.396907,0.717676,[12 14] ; [23 40],[10.2247191 15.7752809] ; [24.7752809 38.2247191],0
s6,1,0.397316,0.716435,[14 13] ; [27 37],[12.16483516 14.83516484] ; [28.83516484 35.16483516],0
p10,1,0.410558,0.677185,[11 16] ; [20 43],[ 9.3 17.7] ; [21.7 41.3],0
n3,1,0.430412,0.621711,[5 1] ; [14  7],[4.22222222 1.77777778] ; [14.77777778  6.22222222],0
u3,1,0.456057,0.555556,[7 3] ; [17 13],[6. 4.] ; [18. 12.],0
p8,1,0.472592,0.515909,[ 8 19] ; [24 40],[ 9.49450549 17.50549451] ; [22.50549451 41.49450549],0
b3,1,0.493248,0.469433,[ 4 16] ; [11 28],[ 5.08474576 14.91525424] ; [ 9.91525424 29.08474576],0
b2,1,0.493248,0.469433,[ 4 16] ; [11 28],[ 5.08474576 14.91525424] ; [ 9.91525424 29.08474576],0
n1,1,0.524471,0.405093,[2 2] ; [ 7 14],[1.44 2.56] ; [ 7.56 13.44],0
a1,1,0.524506,0.405024,[ 1 26] ; [ 1 63],[ 0.59340659 26.40659341] ; [ 1.40659341 62.59340659],0
a8,1,0.531056,0.39237,[ 3 20] ; [ 5 54],[ 2.24390244 20.75609756] ; [ 5.75609756 53.24390244],0
n6,1,0.532504,0.38961,[21  6] ; [45 18],[19.8  7.2] ; [46.2 16.8],0
s3,1,0.54874,0.359579,[14 12] ; [30 34],[12.71111111 13.28888889] ; [31.28888889 32.71111111],0
d3,1,0.553069,0.351847,[17 10] ; [36 28],[15.72527473 11.27472527] ; [37.27472527 26.72527473],0
v4,1,0.591463,0.288066,[25  2] ; [56  7],[24.3  2.7] ; [56.7  6.3],0
b1,1,0.766018,0.088559,[14 13] ; [31 33],[13.35164835 13.64835165] ; [31.64835165 32.35164835],0
d2,1,0.787924,0.072365,[13 13] ; [30 34],[12.42222222 13.57777778] ; [30.57777778 33.42222222],0
d4,1,0.793124,0.068778,[19  7] ; [45 19],[18.48888889  7.51111111] ; [45.51111111 18.48888889],0
d1,1,0.804236,0.061439,[13 14] ; [29 35],[12.46153846 14.53846154] ; [29.53846154 34.46153846],0
s1,1,0.818249,0.052807,[ 2 24] ; [ 4 59],[ 1.75280899 24.24719101] ; [ 4.24719101 58.75280899],0
p7,1,0.819174,0.052261,[13 12] ; [35 29],[13.48314607 11.51685393] ; [34.51685393 29.48314607],0
p2,1,0.845526,0.037959,[18  9] ; [44 20],[18.3956044  8.6043956] ; [43.6043956 20.3956044],0
u1,1,0.852711,0.03447,[ 3 24] ; [ 8 56],[ 3.26373626 23.73626374] ; [ 7.73626374 56.26373626],0
a5,1,0.898277,0.016342,[16 11] ; [37 27],[15.72527473 11.27472527] ; [37.27472527 26.72527473],0
p1,1,0.931557,0.007376,[ 2 25] ; [ 5 58],[ 2.1 24.9] ; [ 4.9 58.1],0
p4,1,0.939398,0.00578,[12 15] ; [29 35],[12.16483516 14.83516484] ; [28.83516484 35.16483516],0
r3,1,0.984604,0.000372,[24  2] ; [59  5],[23.97777778  2.02222222] ; [59.02222222  4.97777778],0
