Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,6.7e-05,15.891373,[ 5 57] ; [14 19],[12.4 49.6] ; [ 6.6 26.4],1
p4,1,0.000193,13.893662,[16 46] ; [22 12],[24.54166667 37.45833333] ; [13.45833333 20.54166667],1
p7,1,0.005604,7.673571,[17 43] ; [19 14],[23.22580645 36.77419355] ; [12.77419355 20.22580645],0
p8,1,0.007751,7.090114,[13 49] ; [16 18],[18.72916667 43.27083333] ; [10.27083333 23.72916667],0
p2,1,0.01155,6.378662,[31 31] ; [26  8],[36.8125 25.1875] ; [20.1875 13.8125],0
p5,1,0.014206,6.012398,[ 4 59] ; [ 8 26],[ 7.79381443 55.20618557] ; [ 4.20618557 29.79381443],0
n6,1,0.022661,5.194319,[33 27] ; [26  7],[38.06451613 21.93548387] ; [20.93548387 12.06451613],0
v1,1,0.035287,4.431222,[17 41] ; [17 16],[21.67032967 36.32967033] ; [12.32967033 20.67032967],0
p1,1,0.036249,4.385364,[ 2 61] ; [ 5 29],[ 4.54639175 58.45360825] ; [ 2.45360825 31.54639175],0
s2,1,0.065864,3.383207,[19 43] ; [16 16],[23.08510638 38.91489362] ; [11.91489362 20.08510638],0
u2,1,0.068201,3.325792,[11  9] ; [2 8],[ 8.66666667 11.33333333] ; [4.33333333 5.66666667],0
b4,1,0.085384,2.959321,[41 22] ; [16 18],[37.02061856 25.97938144] ; [19.97938144 14.02061856],0
b1,1,0.103543,2.650103,[28 35] ; [21 13],[31.82474227 31.17525773] ; [17.17525773 16.82474227],0
a5,1,0.147854,2.094249,[35 28] ; [24 10],[38.31958763 24.68041237] ; [20.68041237 13.31958763],0
r1,1,0.155449,2.017952,[24 38] ; [ 8 25],[20.88421053 41.11578947] ; [11.11578947 21.88421053],0
p9,1,0.182157,1.779934,[34 26] ; [24 10],[37.0212766 22.9787234] ; [20.9787234 13.0212766],0
p11,1,0.188169,1.731899,[32 31] ; [22 12],[35.07216495 27.92783505] ; [18.92783505 15.07216495],0
p12,1,0.250206,1.322152,[ 1 61] ; [ 2 32],[ 1.9375 60.0625] ; [ 1.0625 32.9375],0
s6,1,0.294135,1.100597,[24 38] ; [16 16],[26.38297872 35.61702128] ; [13.61702128 18.38297872],0
a6,1,0.300403,1.072407,[32 31] ; [21 13],[34.42268041 28.57731959] ; [18.57731959 15.42268041],0
n1,1,0.342142,0.902387,[ 8 22] ; [5 7],[ 9.28571429 20.71428571] ; [3.71428571 8.28571429],0
n2,1,0.359397,0.84,[18 12] ; [9 3],[19.28571429 10.71428571] ; [7.71428571 4.28571429],0
n4,1,0.382389,0.763009,[35 28] ; [22 12],[37.02061856 25.97938144] ; [19.97938144 14.02061856],0
s8,1,0.385147,0.754209,[14 49] ; [10 23],[15.75 47.25] ; [ 8.25 24.75],0
a1,1,0.397051,0.717238,[ 7 56] ; [ 2 32],[ 5.84536082 57.15463918] ; [ 3.15463918 30.84536082],0
r2,1,0.406142,0.690067,[31 25] ; [20 11],[32.82758621 23.17241379] ; [18.17241379 12.82758621],0
d2,1,0.407356,0.686505,[31 31] ; [14 20],[29.0625 32.9375] ; [15.9375 18.0625],0
s1,1,0.428176,0.627766,[ 3 60] ; [ 3 31],[ 3.89690722 59.10309278] ; [ 2.10309278 31.89690722],0
n3,1,0.431175,0.619657,[13 16] ; [7 5],[14.14634146 14.85365854] ; [5.85365854 6.14634146],0
d5,1,0.481977,0.494387,[48 15] ; [28  6],[49.36082474 13.63917526] ; [26.63917526  7.36082474],0
v3,1,0.491099,0.474117,[15 48] ; [10 23],[16.40625 46.59375] ; [ 8.59375 24.40625],0
v4,1,0.499878,0.455196,[37 23] ; [22 10],[38.47826087 21.52173913] ; [20.52173913 11.47826087],0
a8,1,0.50449,0.445479,[ 4 55] ; [ 1 29],[ 3.31460674 55.68539326] ; [ 1.68539326 28.31460674],0
s4,1,0.515131,0.42363,[10 53] ; [ 7 26],[11.15625 51.84375] ; [ 5.84375 27.15625],0
n5,1,0.54367,0.36878,[33 28] ; [20 13],[34.39361702 26.60638298] ; [18.60638298 14.39361702],0
s7,1,0.57136,0.320412,[23 36] ; [14 17],[24.25555556 34.74444444] ; [12.74444444 18.25555556],0
d3,1,0.574191,0.31572,[39 24] ; [23 11],[40.26804124 22.73195876] ; [21.73195876 12.26804124],0
s5,1,0.600908,0.273629,[12 50] ; [ 7 22],[12.94505495 49.05494505] ; [ 6.05494505 22.94505495],0
a4,1,0.724058,0.124638,[26 36] ; [13 21],[25.1875 36.8125] ; [13.8125 20.1875],0
u1,1,0.729114,0.119927,[ 6 57] ; [ 4 30],[ 6.49484536 56.50515464] ; [ 3.50515464 30.49484536],0
p10,1,0.785899,0.073788,[35 27] ; [19 13],[35.61702128 26.38297872] ; [18.38297872 13.61702128],0
b5,1,0.786463,0.073391,[37 26] ; [19 15],[36.37113402 26.62886598] ; [19.62886598 14.37113402],0
v2,1,0.810812,0.057302,[27 33] ; [14 19],[26.4516129 33.5483871] ; [14.5483871 18.4516129],0
a2,1,0.822271,0.050456,[10 53] ; [ 6 28],[10.39175258 52.60824742] ; [ 5.60824742 28.39175258],0
b3,1,0.844421,0.038511,[13 27] ; [ 6 14],[12.66666667 27.33333333] ; [ 6.33333333 13.66666667],0
b2,1,0.844421,0.038511,[13 27] ; [ 6 14],[12.66666667 27.33333333] ; [ 6.33333333 13.66666667],0
r3,1,0.84714,0.03716,[40 22] ; [20 12],[39.57446809 22.42553191] ; [20.42553191 11.57446809],0
s3,1,0.853811,0.033951,[27 32] ; [14 18],[26.58241758 32.41758242] ; [14.41758242 17.58241758],0
a7,1,0.886149,0.0205,[38 25] ; [20 14],[37.67010309 25.32989691] ; [20.32989691 13.67010309],0
u3,1,0.918931,0.010359,[ 8 13] ; [4 6],[ 8.12903226 12.87096774] ; [3.87096774 6.12903226],0
d1,1,0.975339,0.000956,[35 28] ; [19 15],[35.07216495 27.92783505] ; [18.92783505 15.07216495],0
a3,1,0.992414,9e-05,[42 20] ; [23 11],[41.97916667 20.02083333] ; [23.02083333 10.97916667],0
