Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000465,12.25,[13 37] ; [17  8],[20. 30.] ; [10. 15.],1
s6,1,0.000705,11.476613,[15 34] ; [18  7],[21.85135135 27.14864865] ; [11.14864865 13.85135135],1
p3,1,0.001919,9.625764,[ 9 42] ; [13 12],[14.76315789 36.23684211] ; [ 7.23684211 17.76315789],0
p7,1,0.008684,6.886657,[22 28] ; [19  6],[27.33333333 22.66666667] ; [13.66666667 11.33333333],0
p6,1,0.014009,6.036959,[ 7 44] ; [ 9 14],[11.02702703 39.97297297] ; [ 4.97297297 18.02702703],0
a4,1,0.019134,5.48924,[22 29] ; [ 4 21],[17.44736842 33.55263158] ; [ 8.55263158 16.44736842],0
p2,1,0.02706,4.886971,[23 28] ; [18  7],[27.51315789 23.48684211] ; [13.48684211 11.51315789],0
a5,1,0.041609,4.151027,[22 29] ; [17  8],[26.17105263 24.82894737] ; [12.82894737 12.17105263],0
p10,1,0.04986,3.846154,[22 28] ; [17  8],[26. 24.] ; [13. 12.],0
d3,1,0.117773,2.446686,[17 34] ; [13 12],[20.13157895 30.86842105] ; [ 9.86842105 15.13157895],0
a3,1,0.189479,1.721664,[30 20] ; [11 14],[27.33333333 22.66666667] ; [13.66666667 11.33333333],0
n1,1,0.19765,1.659652,[ 7 20] ; [4 4],[ 8.48571429 18.51428571] ; [2.51428571 5.48571429],0
u2,1,0.214006,1.544118,[ 9 12] ; [9 5],[10.8 10.2] ; [7.2 6.8],0
s8,1,0.251349,1.315789,[10 40] ; [ 8 17],[12. 38.] ; [ 6. 19.],0
d2,1,0.263216,1.251765,[21 30] ; [ 7 18],[18.78947368 32.21052632] ; [ 9.21052632 15.78947368],0
s5,1,0.271315,1.210084,[12 36] ; [ 9 15],[14. 34.] ; [ 7. 17.],0
a1,1,0.27142,1.209558,[ 6 45] ; [ 1 24],[ 4.69736842 46.30263158] ; [ 2.30263158 22.69736842],0
d5,1,0.283497,1.150248,[26 25] ; [16  9],[28.18421053 22.81578947] ; [13.81578947 11.18421053],0
b1,1,0.288926,1.124618,[27 24] ; [10 15],[24.82894737 26.17105263] ; [12.17105263 12.82894737],0
v1,1,0.317311,1.0,[22 28] ; [ 8 17],[20. 30.] ; [10. 15.],0
d1,1,0.342529,0.900941,[13 38] ; [ 9 16],[14.76315789 36.23684211] ; [ 7.23684211 17.76315789],0
p1,1,0.352772,0.863462,[ 3 48] ; [ 3 22],[ 4.02631579 46.97368421] ; [ 1.97368421 23.02631579],0
b4,1,0.372611,0.794938,[30 21] ; [12 13],[28.18421053 22.81578947] ; [13.81578947 11.18421053],0
s2,1,0.398653,0.712386,[17 33] ; [11 14],[18.66666667 31.33333333] ; [ 9.33333333 15.66666667],0
s4,1,0.409446,0.680409,[10 41] ; [ 7 18],[11.40789474 39.59210526] ; [ 5.59210526 19.40789474],0
s7,1,0.416518,0.660118,[ 9 37] ; [ 7 18],[10.36619718 35.63380282] ; [ 5.63380282 19.36619718],0
b2,1,0.439391,0.597871,[ 7 22] ; [4 7],[ 7.975 21.025] ; [3.025 7.975],0
b3,1,0.439391,0.597871,[ 7 22] ; [4 7],[ 7.975 21.025] ; [3.025 7.975],0
d4,1,0.488422,0.48,[32 18] ; [18  7],[33.33333333 16.66666667] ; [16.66666667  8.33333333],0
v4,1,0.504036,0.446429,[41  9] ; [22  3],[42.  8.] ; [21.  4.],0
n5,1,0.507179,0.439883,[22 28] ; [ 9 16],[20.66666667 29.33333333] ; [10.33333333 14.66666667],0
a8,1,0.525388,0.403304,[ 4 45] ; [ 1 23],[ 3.35616438 45.64383562] ; [ 1.64383562 22.35616438],0
p11,1,0.540082,0.375387,[31 20] ; [17  8],[32.21052632 18.78947368] ; [15.78947368  9.21052632],0
r4,1,0.638389,0.220855,[34 17] ; [18  7],[34.89473684 16.10526316] ; [17.10526316  7.89473684],0
s3,1,0.673548,0.177479,[23 28] ; [10 15],[22.14473684 28.85526316] ; [10.85526316 14.14473684],0
u3,1,0.677726,0.172697,[12  9] ; [7 7],[11.4  9.6] ; [7.6 6.4],0
r3,1,0.703057,0.145311,[41 10] ; [21  4],[41.60526316  9.39473684] ; [20.39473684  4.60526316],0
v2,1,0.770348,0.085217,[17 31] ; [ 8 17],[16.43835616 31.56164384] ; [ 8.56164384 16.43835616],0
r2,1,0.803665,0.061805,[42  9] ; [20  5],[41.60526316  9.39473684] ; [20.39473684  4.60526316],0
r1,1,0.811519,0.056866,[28 23] ; [13 12],[27.51315789 23.48684211] ; [13.48684211 11.51315789],0
n6,1,0.814802,0.054866,[30 21] ; [14 11],[29.52631579 21.47368421] ; [14.47368421 10.52631579],0
a6,1,0.816959,0.053573,[19 32] ; [10 15],[19.46052632 31.53947368] ; [ 9.53947368 15.46052632],0
n2,1,0.830324,0.045918,[22  6] ; [6 2],[21.77777778  6.22222222] ; [6.22222222 1.77777778],0
v3,1,0.872443,0.025778,[ 7 41] ; [ 4 21],[ 7.23287671 40.76712329] ; [ 3.76712329 21.23287671],0
b5,1,0.93846,0.005961,[27 24] ; [13 12],[26.84210526 24.15789474] ; [13.15789474 11.84210526],0
p9,1,0.946065,0.004576,[29 20] ; [15 10],[29.13513514 19.86486486] ; [14.86486486 10.13513514],0
n3,1,0.98101,0.000567,[17 10] ; [5 3],[16.97142857 10.02857143] ; [5.02857143 2.97142857],0
