Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,32.528733,[ 28 106] ; [123 118],[53.95733333 80.04266667] ; [ 97.04266667 143.95733333],1
a6,1,0.000128,14.669055,[62 72] ; [161  81],[79.47340426 54.52659574] ; [143.52659574  98.47340426],1
p2,1,0.000744,11.377017,[90 42] ; [200  40],[102.90322581  29.09677419] ; [187.09677419  52.90322581],1
r3,1,0.003522,8.514987,[115  19] ; [228  13],[122.56533333  11.43466667] ; [220.43466667  20.56533333],0
r4,1,0.003757,8.397739,[111  23] ; [224  18],[119.38829787  14.61170213] ; [215.61170213  26.38829787],0
b3,1,0.014076,6.028596,[37 48] ; [34 91],[28.73809524 56.26190476] ; [42.26190476 82.73809524],0
b2,1,0.014076,6.028596,[37 48] ; [34 91],[28.73809524 56.26190476] ; [42.26190476 82.73809524],0
b5,1,0.024276,5.074771,[67 67] ; [150  92],[77.33510638 56.66489362] ; [139.66489362 102.33510638],0
d2,1,0.026569,4.918574,[ 28 105] ; [ 30 212],[ 20.57066667 112.42933333] ; [ 37.42933333 204.57066667],0
p8,1,0.030638,4.673111,[50 82] ; [117 119],[59.90217391 72.09782609] ; [107.09782609 128.90217391],0
a1,1,0.04437,4.042432,[  9 125] ; [  6 236],[  5.34574468 128.65425532] ; [  9.65425532 232.34574468],0
p9,1,0.066252,3.373524,[95 37] ; [188  46],[102.06557377  29.93442623] ; [180.93442623  53.06557377],0
d4,1,0.072268,3.230732,[68 66] ; [146  96],[76.26595745 57.73404255] ; [137.73404255 104.26595745],0
p10,1,0.083536,2.994728,[90 42] ; [179  55],[97.01639344 34.98360656] ; [171.98360656  62.01639344],0
r1,1,0.0912,2.853068,[92 42] ; [184  56],[98.88770053 35.11229947] ; [177.11229947  62.88770053],0
p4,1,0.097959,2.73846,[55 77] ; [121 118],[62.61994609 69.38005391] ; [113.38005391 125.61994609],0
u3,1,0.110648,2.544941,[27 33] ; [58 42],[31.875 28.125] ; [53.125 46.875],0
