Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,47.414147,[ 29 140] ; [93 84],[ 59.58959538 109.41040462] ; [ 62.41040462 114.58959538],1
v1,1,1e-06,23.735482,[ 52 117] ; [100  76],[74.45797101 94.54202899] ; [77.54202899 98.45797101],1
r3,1,0.000147,14.413786,[148  24] ; [174   5],[157.78917379  14.21082621] ; [164.21082621  14.78917379],1
s8,1,0.000663,11.59003,[ 43 127] ; [ 77 104],[ 58.11965812 111.88034188] ; [ 61.88034188 119.11965812],1
r1,1,0.001737,9.80833,[115  56] ; [148  33],[127.76420455  43.23579545] ; [135.23579545  45.76420455],0
d4,1,0.003034,8.786952,[122  49] ; [152  28],[133.48717949  37.51282051] ; [140.51282051  39.48717949],0
p10,1,0.005324,7.765821,[108  63] ; [136  41],[119.89655172  51.10344828] ; [124.10344828  52.89655172],0
p7,1,0.006404,7.432849,[68 97] ; [98 77],[80.55882353 84.44117647] ; [85.44117647 89.55882353],0
s7,1,0.011306,6.416503,[ 51 114] ; [77 97],[ 62.30088496 102.69911504] ; [ 65.69911504 108.30088496],0
d1,1,0.015866,5.817698,[ 72 100] ; [99 82],[83.32011331 88.67988669] ; [87.67988669 93.32011331],0
s2,1,0.015909,5.812946,[ 60 111] ; [86 94],[71.12820513 99.87179487] ; [ 74.87179487 105.12820513],0
p3,1,0.01899,5.502437,[ 32 139] ; [ 53 127],[ 41.41025641 129.58974359] ; [ 43.58974359 136.41025641],0
n1,1,0.027056,4.887238,[26 37] ; [10 37],[20.61818182 42.38181818] ; [15.38181818 31.61818182],0
a7,1,0.041166,4.169172,[106  65] ; [130  50],[114.97435897  56.02564103] ; [121.02564103  58.97435897],0
p9,1,0.04378,4.065008,[118  47] ; [143  34],[125.92105263  39.07894737] ; [135.07894737  41.92105263],0
d5,1,0.070723,3.266167,[118  52] ; [141  40],[125.44159544  44.55840456] ; [133.55840456  47.44159544],0
n4,1,0.076354,3.140844,[107  65] ; [128  52],[114.82954545  57.17045455] ; [120.17045455  59.82954545],0
p5,1,0.080877,3.047193,[ 10 161] ; [  4 177],[  6.80113636 164.19886364] ; [  7.19886364 173.80113636],0
d3,1,0.08541,2.958829,[95 74] ; [118  63],[102.84857143  66.15142857] ; [110.15142857  70.84857143],0
b2,1,0.094202,2.801062,[26 67] ; [39 60],[31.484375 61.515625] ; [33.515625 65.484375],0
b3,1,0.094202,2.801062,[26 67] ; [39 60],[31.484375 61.515625] ; [33.515625 65.484375],0
n6,1,0.100114,2.703734,[128  44] ; [147  33],[134.375  37.625] ; [140.625  39.375],0
a5,1,0.114206,2.49503,[105  67] ; [125  56],[112.06798867  59.93201133] ; [117.93201133  63.06798867],0
a8,1,0.116853,2.459003,[ 16 145] ; [ 26 139],[ 20.74233129 140.25766871] ; [ 21.25766871 143.74233129],0
a3,1,0.130356,2.288262,[108  62] ; [128  52],[114.62857143  55.37142857] ; [121.37142857  58.62857143],0
a6,1,0.173542,1.852077,[104  67] ; [122  58],[110.1025641  60.8974359] ; [115.8974359  64.1025641],0
p11,1,0.173828,1.849621,[115  57] ; [133  48],[120.83852691  51.16147309] ; [127.16147309  53.83852691],0
s3,1,0.194996,1.679458,[77 93] ; [94 86],[83.05714286 86.94285714] ; [87.94285714 92.05714286],0
a1,1,0.222915,1.485508,[  5 167] ; [ 10 171],[  7.30878187 164.69121813] ; [  7.69121813 173.30878187],0
s6,1,0.235494,1.407366,[89 80] ; [105  73],[94.48414986 74.51585014] ; [99.51585014 78.48414986],0
s5,1,0.240337,1.378615,[ 39 130] ; [ 49 122],[ 43.74117647 125.25882353] ; [ 44.25882353 126.74117647],0
p6,1,0.259719,1.270255,[ 27 143] ; [ 36 139],[ 31.04347826 138.95652174] ; [ 31.95652174 143.04347826],0
p1,1,0.266465,1.234856,[  6 164] ; [ 11 170],[  8.23361823 161.76638177] ; [  8.76638177 172.23361823],0
r2,1,0.311014,1.026366,[160  12] ; [171   8],[162.1994302   9.8005698] ; [168.8005698  10.1994302],0
b5,1,0.333271,0.936147,[114  58] ; [111  70],[109.63172805  62.36827195] ; [115.36827195  65.63172805],0
r4,1,0.335883,0.926081,[145  27] ; [159  22],[148.12464589  23.87535411] ; [155.87535411  25.12464589],0
s1,1,0.516695,0.420486,[  7 164] ; [  5 172],[  5.89655172 165.10344828] ; [  6.10344828 170.89655172],0
a4,1,0.571142,0.320776,[ 63 108] ; [ 72 109],[ 65.58238636 105.41761364] ; [ 69.41761364 111.58238636],0
u4,1,0.592204,0.286915,[  1 171] ; [  2 179],[  1.46175637 170.53824363] ; [  1.53824363 179.46175637],0
a2,1,0.615032,0.252911,[ 34 138] ; [ 32 149],[ 32.15864023 139.84135977] ; [ 33.84135977 147.15864023],0
n3,1,0.634425,0.226108,[41 20] ; [35 14],[42.14545455 18.85454545] ; [33.85454545 15.14545455],0
u1,1,0.642706,0.215221,[ 20 152] ; [ 24 157],[ 21.43909348 150.56090652] ; [ 22.56090652 158.43909348],0
p2,1,0.654003,0.20089,[122  49] ; [133  48],[123.87784091  47.12215909] ; [131.12215909  49.87784091],0
n2,1,0.659243,0.194444,[49 15] ; [35 13],[48. 16.] ; [36. 12.],0
d2,1,0.672844,0.178293,[ 68 102] ; [ 76 104],[ 69.94285714 100.05714286] ; [ 74.05714286 105.94285714],0
b4,1,0.6769,0.173636,[96 76] ; [105  76],[97.93767705 74.06232295] ; [103.06232295  77.93767705],0
b1,1,0.714469,0.133854,[ 65 107] ; [ 65 116],[ 63.3427762 108.6572238] ; [ 66.6572238 114.3427762],0
u2,1,0.737651,0.112202,[34 30] ; [26 26],[33.10344828 30.89655172] ; [26.89655172 25.10344828],0
n5,1,0.779741,0.078208,[109  63] ; [116  63],[110.25641026  61.74358974] ; [114.74358974  64.25641026],0
p8,1,0.794378,0.067928,[ 57 114] ; [ 61 115],[ 58.14985591 112.85014409] ; [ 59.85014409 116.14985591],0
u3,1,0.814095,0.055294,[34 30] ; [27 26],[33.36752137 30.63247863] ; [27.63247863 25.36752137],0
s4,1,0.903498,0.0147,[ 29 141] ; [ 30 151],[ 28.57549858 141.42450142] ; [ 30.42450142 150.57549858],0
p12,1,0.921521,0.009706,[  7 163] ; [  7 172],[  6.81948424 163.18051576] ; [  7.18051576 171.81948424],0
