Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,6e-06,20.500021,[ 3 14] ; [45 13],[10.88  6.12] ; [37.12 20.88],1
d3,1,0.000324,12.923712,[ 6 11] ; [46 11],[11.94594595  5.05405405] ; [40.05405405 16.94594595],1
a5,1,0.002117,9.445334,[ 5 12] ; [41 17],[10.42666667  6.57333333] ; [35.57333333 22.42666667],0
d4,1,0.003237,8.668821,[9 8] ; [50  8],[13.37333333  3.62666667] ; [45.62666667 12.37333333],0
v2,1,0.009143,6.794605,[ 3 14] ; [30 26],[7.68493151 9.31506849] ; [25.31506849 30.68493151],0
d2,1,0.009596,6.708366,[ 2 15] ; [27 31],[ 6.57333333 10.42666667] ; [22.42666667 35.57333333],0
a4,1,0.013195,6.142762,[ 2 15] ; [26 32],[ 6.34666667 10.65333333] ; [21.65333333 36.34666667],0
n1,1,0.053239,3.736413,[5 4] ; [ 5 19],[2.72727273 6.27272727] ; [ 7.27272727 16.72727273],0
p7,1,0.062492,3.469974,[10  6] ; [20 35],[6.76056338 9.23943662] ; [23.23943662 31.76056338],0
p8,1,0.070874,3.262657,[9 7] ; [18 39],[ 5.91780822 10.08219178] ; [21.08219178 35.91780822],0
n4,1,0.090012,2.874167,[ 6 11] ; [34 24],[9.06666667 7.93333333] ; [30.93333333 27.06666667],0
s1,1,0.095467,2.779676,[ 3 14] ; [ 3 55],[ 1.36 15.64] ; [ 4.64 53.36],0
a2,1,0.097967,2.738337,[ 1 16] ; [14 44],[ 3.4 13.6] ; [11.6 46.4],0
s3,1,0.111141,2.537921,[ 4 13] ; [24 29],[ 6.8 10.2] ; [21.2 31.8],0
u2,1,0.118277,2.439994,[2 6] ; [11  8],[3.85185185 4.14814815] ; [9.14814815 9.85185185],0
p9,1,0.119761,2.420442,[8 9] ; [38 18],[10.71232877  6.28767123] ; [35.28767123 20.71232877],0
b4,1,0.125617,2.345851,[ 7 10] ; [36 22],[9.74666667 7.25333333] ; [33.25333333 24.74666667],0
u3,1,0.203226,1.619039,[2 7] ; [ 9 10],[3.53571429 5.46428571] ; [ 7.46428571 11.53571429],0
p3,1,0.214276,1.542301,[ 3 14] ; [19 38],[ 5.05405405 11.94594595] ; [16.94594595 40.05405405],0
a3,1,0.257196,1.283787,[8 8] ; [38 20],[9.94594595 6.05405405] ; [36.05405405 21.94594595],0
p4,1,0.272543,1.203903,[ 4 13] ; [22 36],[ 5.89333333 11.10666667] ; [20.10666667 37.89333333],0
s6,1,0.295953,1.09234,[ 5 12] ; [24 31],[ 6.84722222 10.15277778] ; [22.15277778 32.84722222],0
n2,1,0.301071,1.069444,[7 2] ; [14 10],[5.72727273 3.27272727] ; [15.27272727  8.72727273],0
p2,1,0.346745,0.885335,[12  5] ; [33 24],[10.33783784  6.66216216] ; [34.66216216 22.33783784],0
n3,1,0.391805,0.733333,[6 3] ; [12 12],[4.90909091 4.09090909] ; [13.09090909 10.90909091],0
v1,1,0.397702,0.715264,[ 4 12] ; [20 35],[ 5.4084507 10.5915493] ; [18.5915493 36.4084507],0
p5,1,0.402608,0.700523,[ 1 15] ; [ 8 49],[ 1.97260274 14.02739726] ; [ 7.02739726 49.97260274],0
r1,1,0.418857,0.653519,[ 4 13] ; [19 37],[ 5.35616438 11.64383562] ; [17.64383562 38.35616438],0
n6,1,0.419864,0.650695,[8 9] ; [32 23],[9.44444444 7.55555556] ; [30.55555556 24.44444444],0
s7,1,0.420085,0.650077,[ 4 13] ; [18 35],[ 5.34285714 11.65714286] ; [16.65714286 36.34285714],0
v4,1,0.429404,0.624434,[10  7] ; [36 16],[11.33333333  5.66666667] ; [34.66666667 17.33333333],0
v3,1,0.44387,0.586259,[ 3 14] ; [15 41],[ 4.19178082 12.80821918] ; [13.80821918 42.19178082],0
a1,1,0.467426,0.528055,[ 1 16] ; [ 7 51],[ 1.81333333 15.18666667] ; [ 6.18666667 51.81333333],0
s2,1,0.471801,0.517756,[ 4 13] ; [18 37],[ 5.19444444 11.80555556] ; [16.80555556 38.19444444],0
p11,1,0.473666,0.513411,[8 9] ; [33 25],[9.29333333 7.70666667] ; [31.70666667 26.29333333],0
p6,1,0.495186,0.465239,[ 5 12] ; [12 44],[ 3.95890411 13.04109589] ; [13.04109589 42.95890411],0
p1,1,0.565817,0.329731,[ 1 16] ; [ 6 51],[ 1.60810811 15.39189189] ; [ 5.39189189 51.60810811],0
s4,1,0.580248,0.305833,[ 4 13] ; [10 47],[ 3.21621622 13.78378378] ; [10.78378378 46.21621622],0
a8,1,0.621527,0.243728,[ 1 16] ; [ 5 46],[ 1.5 15.5] ; [ 4.5 46.5],0
b5,1,0.677145,0.173357,[9 8] ; [34 24],[9.74666667 7.25333333] ; [33.25333333 24.74666667],0
s8,1,0.759189,0.093971,[ 3 14] ; [12 45],[ 3.44594595 13.55405405] ; [11.55405405 45.44594595],0
b1,1,0.772644,0.083474,[8 9] ; [25 33],[7.48 9.52] ; [25.52 32.48],0
r2,1,0.816403,0.053905,[10  7] ; [31 19],[10.40298507  6.59701493] ; [30.59701493 19.40298507],0
r3,1,0.827603,0.047427,[10  6] ; [36 19],[10.36619718  5.63380282] ; [35.63380282 19.36619718],0
p10,1,0.866338,0.028329,[10  7] ; [33 21],[10.29577465  6.70422535] ; [32.70422535 21.29577465],0
b2,1,0.927647,0.008246,[2 5] ; [10 23],[2.1 4.9] ; [ 9.9 23.1],0
b3,1,0.927647,0.008246,[2 5] ; [10 23],[2.1 4.9] ; [ 9.9 23.1],0
n5,1,0.987681,0.000238,[9 8] ; [29 26],[8.97222222 8.02777778] ; [29.02777778 25.97222222],0
