Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9.6e-05,15.204829,[20  7] ; [ 5 20],[12.98076923 14.01923077] ; [12.01923077 12.98076923],1
s7,1,0.000704,11.4784,[17  9] ; [ 4 19],[11.14285714 14.85714286] ; [ 9.85714286 13.14285714],1
s8,1,0.009875,6.657249,[12 15] ; [ 3 22],[ 7.78846154 19.21153846] ; [ 7.21153846 17.78846154],0
s6,1,0.012991,6.1703,[19  8] ; [ 9 16],[14.53846154 12.46153846] ; [13.46153846 11.53846154],0
r3,1,0.029351,4.746923,[21  5] ; [13 12],[17.33333333  8.66666667] ; [16.66666667  8.33333333],0
s5,1,0.055771,3.658894,[ 7 17] ; [ 2 23],[ 4.40816327 19.59183673] ; [ 4.59183673 20.40816327],0
d4,1,0.098618,2.72775,[20  7] ; [13 12],[17.13461538  9.86538462] ; [15.86538462  9.13461538],0
v1,1,0.151952,2.052545,[ 8 17] ; [13 12],[10.5 14.5] ; [10.5 14.5],0
p9,1,0.171068,1.873561,[20  7] ; [14 11],[17.65384615  9.34615385] ; [16.34615385  8.65384615],0
a6,1,0.173424,1.853091,[18  9] ; [12 13],[15.57692308 11.42307692] ; [14.42307692 10.57692308],0
r1,1,0.243812,1.35842,[ 8 19] ; [ 4 21],[ 6.23076923 20.76923077] ; [ 5.76923077 19.23076923],0
n4,1,0.277724,1.178193,[17 10] ; [12 13],[15.05769231 11.94230769] ; [13.94230769 11.05769231],0
n5,1,0.285136,1.142448,[15 11] ; [18  7],[16.82352941  9.17647059] ; [16.17647059  8.82352941],0
a3,1,0.331595,0.942659,[17  9] ; [13 12],[15.29411765 10.70588235] ; [14.70588235 10.29411765],0
p5,1,0.357293,0.847385,[ 2 24] ; [ 4 21],[ 3.05882353 22.94117647] ; [ 2.94117647 22.05882353],0
r2,1,0.397752,0.715111,[11 12] ; [15 10],[12.45833333 10.54166667] ; [13.54166667 11.45833333],0
n6,1,0.401718,0.703176,[11 15] ; [13 11],[12.48 13.52] ; [11.52 12.48],0
a5,1,0.405033,0.693333,[15 12] ; [11 14],[13.5 13.5] ; [12.5 12.5],0
n2,1,0.409454,0.680387,[10  2] ; [9 4],[9.12 2.88] ; [9.88 3.12],0
d5,1,0.42401,0.639174,[17 10] ; [13 12],[15.57692308 11.42307692] ; [14.42307692 10.57692308],0
p3,1,0.443458,0.587317,[13 14] ; [ 9 15],[11.64705882 15.35294118] ; [10.35294118 13.64705882],0
a2,1,0.506768,0.440736,[ 1 26] ; [ 2 23],[ 1.55769231 25.44230769] ; [ 1.44230769 23.55769231],0
p6,1,0.525131,0.403805,[ 9 17] ; [10 13],[10.08163265 15.91836735] ; [ 8.91836735 14.08163265],0
b1,1,0.535218,0.384475,[15 12] ; [16  9],[16.09615385 10.90384615] ; [14.90384615 10.09615385],0
n3,1,0.561471,0.337163,[6 6] ; [8 5],[6.72 5.28] ; [7.28 5.72],0
n1,1,0.570632,0.321626,[5 7] ; [4 9],[4.32 7.68] ; [4.68 8.32],0
p8,1,0.5713,0.320513,[12 14] ; [13 11],[13. 13.] ; [12. 12.],0
u2,1,0.581989,0.30303,[6 3] ; [6 5],[5.4 3.6] ; [6.6 4.4],0
b5,1,0.617919,0.248804,[18  9] ; [15 10],[17.13461538  9.86538462] ; [15.86538462  9.13461538],0
p12,1,0.623463,0.24103,[ 2 25] ; [ 1 23],[ 1.58823529 25.41176471] ; [ 1.41176471 22.58823529],0
s4,1,0.647473,0.209101,[ 8 19] ; [ 6 19],[ 7.26923077 19.73076923] ; [ 6.73076923 18.26923077],0
d2,1,0.677166,0.173333,[ 9 18] ; [ 7 18],[ 8.30769231 18.69230769] ; [ 7.69230769 17.30769231],0
v2,1,0.682979,0.166792,[11 15] ; [12 13],[11.7254902 14.2745098] ; [11.2745098 13.7254902],0
d3,1,0.691555,0.157407,[12 15] ; [12 12],[12.70588235 14.29411765] ; [11.29411765 12.70588235],0
s1,1,0.703782,0.144567,[ 3 24] ; [ 2 23],[ 2.59615385 24.40384615] ; [ 2.40384615 22.59615385],0
b4,1,0.745851,0.105051,[12 15] ; [10 15],[11.42307692 15.57692308] ; [10.57692308 14.42307692],0
u3,1,0.746188,0.104762,[4 6] ; [4 8],[3.63636364 6.36363636] ; [4.36363636 7.63636364],0
a7,1,0.781354,0.077037,[13 14] ; [13 12],[13.5 13.5] ; [12.5 12.5],0
p11,1,0.839955,0.040784,[18  9] ; [16  9],[17.65384615  9.34615385] ; [16.34615385  8.65384615],0
b3,1,0.864547,0.029101,[ 4 17] ; [ 2 10],[ 3.81818182 17.18181818] ; [2.18181818 9.81818182],0
b2,1,0.864547,0.029101,[ 4 17] ; [ 2 10],[ 3.81818182 17.18181818] ; [2.18181818 9.81818182],0
a4,1,0.872687,0.025679,[ 7 20] ; [ 6 19],[ 6.75 20.25] ; [ 6.25 18.75],0
d1,1,0.879168,0.023111,[ 6 21] ; [ 6 19],[ 6.23076923 20.76923077] ; [ 5.76923077 19.23076923],0
v3,1,0.892269,0.018342,[ 5 22] ; [ 5 20],[ 5.19230769 21.80769231] ; [ 4.80769231 20.19230769],0
p10,1,0.923831,0.009141,[17  9] ; [16  8],[17.16  8.84] ; [15.84  8.16],0
p4,1,0.946532,0.004497,[16 11] ; [14 10],[15.88235294 11.11764706] ; [14.11764706  9.88235294],0
p2,1,0.967217,0.001689,[21  6] ; [18  5],[21.06  5.94] ; [17.94  5.06],0
v4,1,1.0,0.0,[17  8] ; [17  8],[17.  8.] ; [17.  8.],0
