Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000223,13.625665,[5 1] ; [ 8 42],[1.39285714 4.60714286] ; [11.60714286 38.39285714],1
a8,1,0.003391,8.584127,[2 1] ; [ 4 41],[0.375 2.625] ; [ 5.625 39.375],0
s7,1,0.007754,7.089425,[5 1] ; [14 35],[2.07272727 3.92727273] ; [16.92727273 32.07272727],0
p5,1,0.011685,6.358,[2 3] ; [ 3 47],[0.45454545 4.54545455] ; [ 4.54545455 45.45454545],0
p7,1,0.028949,4.770662,[5 1] ; [18 31],[2.50909091 3.49090909] ; [20.49090909 28.50909091],0
p4,1,0.037777,4.315042,[5 1] ; [19 30],[2.61818182 3.38181818] ; [21.38181818 27.61818182],0
b2,1,0.049804,3.848049,[5 1] ; [11 17],[2.82352941 3.17647059] ; [13.17647059 14.82352941],0
b3,1,0.049804,3.848049,[5 1] ; [11 17],[2.82352941 3.17647059] ; [13.17647059 14.82352941],0
a1,1,0.05799,3.593956,[2 4] ; [ 4 46],[0.64285714 5.35714286] ; [ 5.35714286 44.64285714],0
p6,1,0.082579,3.013393,[3 3] ; [ 9 39],[1.33333333 4.66666667] ; [10.66666667 37.33333333],0
d1,1,0.083953,2.986667,[5 1] ; [23 27],[3. 3.] ; [25. 25.],0
d2,1,0.083953,2.986667,[5 1] ; [23 27],[3. 3.] ; [25. 25.],0
p3,1,0.102096,2.672498,[4 2] ; [16 33],[2.18181818 3.81818182] ; [17.81818182 31.18181818],0
s2,1,0.118343,2.439111,[4 2] ; [17 33],[2.25 3.75] ; [18.75 31.25],0
s3,1,0.122627,2.383448,[5 1] ; [24 24],[3.22222222 2.77777778] ; [25.77777778 22.22222222],0
n4,1,0.122627,2.383448,[5 1] ; [24 24],[3.22222222 2.77777778] ; [25.77777778 22.22222222],0
p8,1,0.157771,1.995465,[4 2] ; [18 31],[2.4 3.6] ; [19.6 29.4],0
a2,1,0.174175,1.846634,[3 3] ; [12 38],[1.60714286 4.39285714] ; [13.39285714 36.60714286],0
a4,1,0.191103,1.709091,[4 2] ; [19 30],[2.50909091 3.49090909] ; [20.49090909 28.50909091],0
s5,1,0.245278,1.35,[2 4] ; [ 7 41],[1. 5.] ; [ 8. 40.],0
u1,1,0.294865,1.097275,[2 4] ; [ 8 42],[1.07142857 4.92857143] ; [ 8.92857143 41.07142857],0
d5,1,0.344601,0.893239,[5 1] ; [32 18],[3.96428571 2.03571429] ; [33.03571429 16.96428571],0
r1,1,0.358326,0.84375,[5 1] ; [31 17],[4. 2.] ; [32. 16.],0
b4,1,0.440109,0.595998,[4 2] ; [25 25],[3.10714286 2.89285714] ; [25.89285714 24.10714286],0
b5,1,0.683463,0.166254,[4 2] ; [29 21],[3.53571429 2.46428571] ; [29.46428571 20.53571429],0
a7,1,0.97326,0.001124,[4 2] ; [33 16],[4.03636364 1.96363636] ; [32.96363636 16.03636364],0
a6,1,0.974001,0.001062,[4 2] ; [33 17],[3.96428571 2.03571429] ; [33.03571429 16.96428571],0
