Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,26.817799,[117 101] ; [26 84],[ 95.04268293 122.95731707] ; [47.95731707 62.04268293],1
a6,1,1.1e-05,19.335384,[147  72] ; [46 64],[128.47112462  90.52887538] ; [64.52887538 45.47112462],1
r4,1,6.4e-05,15.970799,[194  25] ; [78 32],[181.05775076  37.94224924] ; [90.94224924 19.05775076],1
r3,1,6.6e-05,15.915937,[208   8] ; [92 18],[198.77300613  17.22699387] ; [101.22699387   8.77300613],1
u3,1,0.000289,13.140097,[55 35] ; [13 33],[45. 45.] ; [23. 23.],1
r2,1,0.003718,8.416573,[200  15] ; [90 19],[192.4382716  22.5617284] ; [97.5617284 11.4382716],0
b5,1,0.024216,5.079122,[136  83] ; [54 56],[126.47416413  92.52583587] ; [63.52583587 46.47416413],0
r1,1,0.025243,5.007109,[162  55] ; [69 41],[153.29357798  63.70642202] ; [77.70642202 32.29357798],0
d2,1,0.030835,4.66211,[ 23 196] ; [21 89],[ 29.2887538 189.7112462] ; [14.7112462 95.2887538],0
d5,1,0.035229,4.43403,[138  81] ; [56 54],[129.13677812  89.86322188] ; [64.86322188 45.13677812],0
a5,1,0.053554,3.726536,[132  87] ; [54 56],[123.81155015  95.18844985] ; [62.18844985 47.81155015],0
d4,1,0.072876,3.217022,[138  81] ; [58 52],[130.46808511  88.53191489] ; [65.53191489 44.46808511],0
v4,1,0.083744,2.990701,[206  11] ; [97 11],[202.31076923  14.68923077] ; [100.68923077   7.31076923],0
b3,1,0.121199,2.401763,[31 80] ; [28 44],[35.78688525 75.21311475] ; [23.21311475 48.78688525],0
b2,1,0.121199,2.401763,[31 80] ; [28 44],[35.78688525 75.21311475] ; [23.21311475 48.78688525],0
p9,1,0.176293,1.828604,[182  32] ; [87 23],[177.67283951  36.32716049] ; [91.32716049 18.67283951],0
n3,1,0.188568,1.72877,[38 10] ; [26 13],[35.31034483 12.68965517] ; [28.68965517 10.31034483],0
p10,1,0.190907,1.710605,[170  43] ; [80 29],[165.37267081  47.62732919] ; [84.62732919 24.37267081],0
s3,1,0.210899,1.565243,[107 109] ; [62 47],[112.32 103.68] ; [56.68 52.32],0
n5,1,0.213131,1.550033,[148  67] ; [83 27],[152.81538462  62.18461538] ; [78.18461538 31.81538462],0
a1,1,0.215276,1.535586,[  6 213] ; [  6 104],[  7.98784195 211.01215805] ; [  4.01215805 105.98784195],0
p4,1,0.271651,1.208392,[121  97] ; [54 56],[116.31097561 101.68902439] ; [58.68902439 51.31097561],0
s6,1,0.284613,1.144929,[137  78] ; [61 45],[132.61682243  82.38317757] ; [65.38317757 40.61682243],0
a2,1,0.333889,0.933754,[ 16 203] ; [  5 105],[ 13.9787234 205.0212766] ; [  7.0212766 102.9787234],0
p8,1,0.34565,0.889364,[113 101] ; [52 58],[108.98148148 105.01851852] ; [56.01851852 53.98148148],0
v2,1,0.348259,0.879791,[101 107] ; [46 61],[ 97.06666667 110.93333333] ; [49.93333333 57.06666667],0
v3,1,0.406984,0.687595,[ 62 153] ; [36 72],[ 65.23219814 149.76780186] ; [32.76780186 75.23219814],0
u1,1,0.419244,0.652433,[ 10 209] ; [  3 107],[  8.65349544 210.34650456] ; [  4.34650456 105.65349544],0
n4,1,0.445837,0.581215,[151  66] ; [81 29],[153.95718654  63.04281346] ; [78.04281346 31.95718654],0
n6,1,0.450338,0.569802,[175  42] ; [84 25],[172.40184049  44.59815951] ; [86.59815951 22.40184049],0
p5,1,0.51035,0.43335,[ 25 193] ; [ 10 100],[ 23.26219512 194.73780488] ; [11.73780488 98.26219512],0
b1,1,0.542365,0.371173,[ 82 137] ; [45 65],[ 84.53799392 134.46200608] ; [42.46200608 67.53799392],0
u2,1,0.583045,0.301338,[47 42] ; [22 24],[45.48888889 43.51111111] ; [23.51111111 22.48888889],0
s7,1,0.589249,0.291518,[ 91 116] ; [50 56],[ 93.24920128 113.75079872] ; [47.75079872 58.24920128],0
s5,1,0.604605,0.268107,[ 57 155] ; [32 76],[ 58.9625 153.0375] ; [30.0375 77.9625],0
p11,1,0.654189,0.200659,[172  47] ; [84 26],[170.40729483  48.59270517] ; [85.59270517 24.40729483],0
p6,1,0.718762,0.129682,[ 71 143] ; [34 75],[ 69.56656347 144.43343653] ; [35.43343653 73.56656347],0
s8,1,0.722657,0.125961,[ 73 145] ; [39 71],[ 74.43902439 143.56097561] ; [37.56097561 72.43902439],0
p3,1,0.727517,0.121403,[ 98 121] ; [47 63],[ 96.51975684 122.48024316] ; [48.48024316 61.51975684],0
v1,1,0.749501,0.101951,[102 110] ; [54 54],[103.35 108.65] ; [52.65 55.35],0
p12,1,0.75142,0.100342,[ 10 205] ; [  6 104],[ 10.58461538 204.41538462] ; [  5.41538462 104.58461538],0
s2,1,0.797805,0.065632,[ 90 127] ; [44 66],[ 88.9235474 128.0764526] ; [45.0764526 64.9235474],0
