Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.000253,13.387202,[12  1] ; [101 147],[5.62835249 7.37164751] ; [107.37164751 140.62835249],1
b3,1,0.000253,13.387202,[12  1] ; [101 147],[5.62835249 7.37164751] ; [107.37164751 140.62835249],1
a1,1,0.000356,12.749523,[ 3 10] ; [ 14 399],[ 0.51877934 12.48122066] ; [ 16.48122066 396.51877934],1
a2,1,0.00063,11.685264,[8 5] ; [ 88 325],[ 2.92957746 10.07042254] ; [ 93.07042254 319.92957746],1
s8,1,0.000786,11.274946,[12  1] ; [185 225],[6.05437352 6.94562648] ; [190.94562648 219.05437352],1
p5,1,0.002799,8.934178,[5 7] ; [ 50 360],[ 1.56398104 10.43601896] ; [ 53.43601896 356.56398104],0
d2,1,0.003469,8.543014,[11  2] ; [179 231],[5.8392435 7.1607565] ; [184.1607565 225.8392435],0
v3,1,0.005148,7.826722,[8 1] ; [167 229],[3.88888889 5.11111111] ; [171.11111111 224.88888889],0
s3,1,0.008654,6.892901,[12  1] ; [226 180],[7.38424821 5.61575179] ; [230.61575179 175.38424821],0
a4,1,0.008782,6.866684,[10  3] ; [167 245],[5.41411765 7.58588235] ; [171.58588235 240.41411765],0
s7,1,0.015065,5.908824,[11  2] ; [201 198],[6.68932039 6.31067961] ; [205.31067961 193.68932039],0
d1,1,0.018856,5.51481,[12  1] ; [248 165],[7.9342723 5.0657277] ; [252.0657277 160.9342723],0
s2,1,0.019754,5.433537,[11  2] ; [212 197],[6.86966825 6.13033175] ; [216.13033175 192.86966825],0
p12,1,0.024248,5.076803,[4 9] ; [ 44 368],[ 1.46823529 11.53176471] ; [ 46.53176471 365.46823529],0
v1,1,0.040089,4.214135,[9 1] ; [231 170],[5.83941606 4.16058394] ; [234.16058394 166.83941606],0
u1,1,0.044943,4.020794,[5 8] ; [ 70 343],[ 2.28873239 10.71126761] ; [ 72.71126761 340.28873239],0
p3,1,0.062787,3.462202,[10  3] ; [209 203],[6.69882353 6.30117647] ; [212.30117647 199.69882353],0
s6,1,0.090491,2.865621,[12  1] ; [288 119],[9.28571429 3.71428571] ; [290.71428571 116.28571429],0
p4,1,0.109592,2.560093,[11  2] ; [258 152],[8.26713948 4.73286052] ; [260.73286052 149.26713948],0
a5,1,0.141213,2.164693,[12  1] ; [307 106],[9.73474178 3.26525822] ; [309.26525822 103.73474178],0
a8,1,0.146067,2.112855,[3 7] ; [ 52 326],[1.41752577 8.58247423] ; [ 53.58247423 324.41752577],0
p6,1,0.182571,1.776574,[7 6] ; [146 262],[4.72446556 8.27553444] ; [148.27553444 259.72446556],0
s1,1,0.201944,1.62826,[ 1 12] ; [  9 398],[ 0.30952381 12.69047619] ; [  9.69047619 397.30952381],0
v2,1,0.227395,1.457079,[8 2] ; [243 154],[6.16707617 3.83292383] ; [244.83292383 152.16707617],0
d3,1,0.319396,0.991418,[11  2] ; [297 115],[9.42117647 3.57882353] ; [298.57882353 113.42117647],0
s4,1,0.369623,0.804933,[ 1 12] ; [ 70 338],[ 2.19239905 10.80760095] ; [ 68.80760095 339.19239905],0
p8,1,0.404391,0.69523,[9 4] ; [234 172],[7.53937947 5.46062053] ; [235.46062053 170.53937947],0
a7,1,0.587942,0.29357,[9 4] ; [313 100],[9.82629108 3.17370892] ; [312.17370892 100.82629108],0
n4,1,0.59334,0.285158,[11  2] ; [324  89],[10.22300469  2.77699531] ; [324.77699531  88.22300469],0
a6,1,0.623164,0.241446,[10  3] ; [291 121],[9.20705882 3.79294118] ; [291.79294118 120.20705882],0
p2,1,0.636034,0.223966,[11  2] ; [366  46],[11.53176471  1.46823529] ; [365.46823529  46.53176471],0
b4,1,0.679354,0.170854,[7 6] ; [246 167],[7.72065728 5.27934272] ; [245.27934272 167.72065728],0
r1,1,0.728996,0.120035,[11  2] ; [332  79],[10.51650943  2.48349057] ; [332.48349057  78.51650943],0
p1,1,0.808424,0.058787,[ 1 12] ; [ 40 372],[ 1.25411765 11.74588235] ; [ 39.74588235 372.25411765],0
p7,1,0.827701,0.047372,[9 4] ; [266 135],[8.6352657 4.3647343] ; [266.3647343 134.6352657],0
d5,1,0.861888,0.030266,[11  2] ; [341  71],[10.76705882  2.23294118] ; [341.23294118  70.76705882],0
s5,1,0.980226,0.000614,[4 7] ; [144 256],[3.96107056 7.03892944] ; [144.03892944 255.96107056],0
b5,1,0.997832,7e-06,[8 5] ; [254 159],[7.99530516 5.00469484] ; [254.00469484 158.99530516],0
