Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,27.012726,[38  1] ; [31 34],[25.875 13.125] ; [43.125 21.875],1
p4,1,1e-06,24.570898,[29 10] ; [16 49],[16.875 22.125] ; [28.125 36.875],1
p9,1,0.000726,11.42082,[34  4] ; [35 26],[26.48484848 11.51515152] ; [42.51515152 18.48484848],1
p11,1,0.000819,11.198207,[34  5] ; [36 29],[26.25 12.75] ; [43.75 21.25],1
r3,1,0.000925,10.972524,[37  2] ; [42 21],[30.20588235  8.79411765] ; [48.79411765 14.20588235],1
r1,1,0.001657,9.895596,[30  9] ; [29 35],[22.33980583 16.66019417] ; [36.66019417 27.33980583],0
p7,1,0.002818,8.921495,[27 12] ; [24 38],[19.69306931 19.30693069] ; [31.30693069 30.69306931],0
v2,1,0.003041,8.782511,[21 16] ; [16 44],[14.11340206 22.88659794] ; [22.88659794 37.11340206],0
p8,1,0.007036,7.263874,[24 14] ; [22 40],[17.48 20.52] ; [28.52 33.48],0
n6,1,0.011168,6.438362,[32  7] ; [37 27],[26.12621359 12.87378641] ; [42.87378641 21.12621359],0
v4,1,0.015185,5.894917,[37  2] ; [49 15],[32.5631068  6.4368932] ; [53.4368932 10.5631068],0
v3,1,0.016459,5.75311,[14 24] ; [10 53],[ 9.02970297 28.97029703] ; [14.97029703 48.02970297],0
p10,1,0.016691,5.728622,[30  9] ; [33 29],[24.32673267 14.67326733] ; [38.67326733 23.32673267],0
p5,1,0.024145,5.084192,[ 6 33] ; [ 2 62],[ 3.02912621 35.97087379] ; [ 4.97087379 59.02912621],0
r2,1,0.028044,4.825333,[36  3] ; [48 16],[31.80582524  7.19417476] ; [52.19417476 11.80582524],0
a7,1,0.032661,4.563486,[27 12] ; [30 33],[21.79411765 17.20588235] ; [35.20588235 27.79411765],0
s8,1,0.035654,4.41358,[11 27] ; [ 8 57],[ 7.00970874 30.99029126] ; [11.99029126 53.00970874],0
a3,1,0.039409,4.243144,[24 15] ; [26 38],[18.93203883 20.06796117] ; [31.06796117 32.93203883],0
a4,1,0.046812,3.952137,[14 25] ; [12 53],[ 9.75 29.25] ; [16.25 48.75],0
p12,1,0.057909,3.596285,[ 5 34] ; [ 2 62],[ 2.65048544 36.34951456] ; [ 4.34951456 59.65048544],0
s5,1,0.093646,2.81055,[ 9 29] ; [ 7 56],[ 6.01980198 31.98019802] ; [ 9.98019802 53.01980198],0
a5,1,0.094657,2.793341,[24 15] ; [29 36],[19.875 19.125] ; [33.125 31.875],0
p2,1,0.105402,2.621849,[30  9] ; [40 25],[26.25 12.75] ; [43.75 21.25],0
a2,1,0.112977,2.512077,[ 7 32] ; [ 5 60],[ 4.5 34.5] ; [ 7.5 57.5],0
a6,1,0.121622,2.396313,[27 12] ; [35 30],[23.25 15.75] ; [38.75 26.25],0
s6,1,0.124118,2.364571,[17 21] ; [19 45],[13.41176471 24.58823529] ; [22.58823529 41.41176471],0
p6,1,0.126566,2.334123,[15 24] ; [15 47],[11.58415842 27.41584158] ; [18.41584158 43.58415842],0
v1,1,0.174249,1.846004,[18 20] ; [22 43],[14.75728155 23.24271845] ; [25.24271845 39.75728155],0
s7,1,0.198982,1.649832,[10 25] ; [11 52],[ 7.5 27.5] ; [13.5 49.5],0
n4,1,0.202543,1.623941,[28 11] ; [38 26],[24.99029126 14.00970874] ; [41.00970874 22.99029126],0
p1,1,0.216875,1.524927,[ 6 33] ; [ 5 60],[ 4.125 34.875] ; [ 6.875 58.125],0
a1,1,0.277531,1.179138,[ 1 38] ; [ 5 60],[ 2.25 36.75] ; [ 3.75 61.25],0
n3,1,0.297798,1.08403,[6 1] ; [19 10],[4.86111111 2.13888889] ; [20.13888889  8.86111111],0
n1,1,0.384206,0.7572,[2 5] ; [14 16],[3.02702703 3.97297297] ; [12.97297297 17.02702703],0
u3,1,0.414935,0.664615,[8 7] ; [16 23],[6.66666667 8.33333333] ; [17.33333333 21.66666667],0
d5,1,0.421855,0.645141,[19 20] ; [26 38],[17.03883495 21.96116505] ; [27.96116505 36.03883495],0
b2,1,0.425692,0.634548,[10 20] ; [13 17],[11.5 18.5] ; [11.5 18.5],0
b3,1,0.425692,0.634548,[10 20] ; [13 17],[11.5 18.5] ; [11.5 18.5],0
n5,1,0.511268,0.431472,[29  9] ; [45 19],[27.56862745 10.43137255] ; [46.43137255 17.56862745],0
d3,1,0.572005,0.319339,[ 8 31] ; [16 47],[ 9.17647059 29.82352941] ; [14.82352941 48.17647059],0
d1,1,0.598454,0.277333,[ 2 37] ; [ 2 63],[ 1.5 37.5] ; [ 2.5 62.5],0
u1,1,0.598454,0.277333,[ 2 37] ; [ 2 63],[ 1.5 37.5] ; [ 2.5 62.5],0
b1,1,0.610209,0.25987,[16 23] ; [30 35],[17.25 21.75] ; [28.75 36.25],0
s1,1,0.621331,0.244001,[ 2 37] ; [ 2 61],[ 1.52941176 37.47058824] ; [ 2.47058824 60.52941176],0
u2,1,0.636259,0.223669,[8 7] ; [18 21],[7.22222222 7.77777778] ; [18.77777778 20.22222222],0
a8,1,0.641075,0.217339,[ 3 33] ; [ 7 55],[ 3.67346939 32.32653061] ; [ 6.32653061 55.67346939],0
d2,1,0.686034,0.163412,[11 28] ; [16 49],[10.125 28.875] ; [16.875 48.125],0
n2,1,0.686225,0.163202,[5 2] ; [19 11],[4.54054054 2.45945946] ; [19.45945946 10.54054054],0
s2,1,0.769268,0.086044,[ 3 36] ; [ 6 58],[ 3.40776699 35.59223301] ; [ 5.59223301 58.40776699],0
b4,1,0.878699,0.023292,[18 21] ; [29 36],[17.625 21.375] ; [29.375 35.625],0
b5,1,0.917804,0.01065,[23 16] ; [39 26],[23.25 15.75] ; [38.75 26.25],0
