Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,23.770213,[ 4 72] ; [16 22],[13.33333333 62.66666667] ; [ 6.66666667 31.33333333],1
s6,1,0.000623,11.705428,[20 56] ; [22 15],[28.24778761 47.75221239] ; [13.75221239 23.24778761],1
r4,1,0.003199,8.690411,[46 31] ; [33  5],[52.89565217 24.10434783] ; [26.10434783 11.89565217],0
p7,1,0.015647,5.842105,[30 44] ; [24 13],[36. 38.] ; [18. 19.],0
b2,1,0.020438,5.374056,[15 28] ; [ 2 21],[11.07575758 31.92424242] ; [ 5.92424242 17.07575758],0
b3,1,0.020438,5.374056,[15 28] ; [ 2 21],[11.07575758 31.92424242] ; [ 5.92424242 17.07575758],0
r3,1,0.026982,4.891953,[56 19] ; [35  3],[60.39823009 14.60176991] ; [30.60176991  7.39823009],0
p2,1,0.122992,2.378804,[47 30] ; [28  9],[50.65789474 26.34210526] ; [24.34210526 12.65789474],0
b4,1,0.164546,1.93194,[36 41] ; [23 15],[39.50434783 37.49565217] ; [19.49565217 18.50434783],0
a3,1,0.177046,1.822251,[34 42] ; [12 26],[30.66666667 45.33333333] ; [15.33333333 22.66666667],0
s8,1,0.183243,1.771127,[ 9 68] ; [ 8 30],[11.3826087 65.6173913] ; [ 5.6173913 32.3826087],0
n6,1,0.199746,1.644231,[49 27] ; [29  9],[52. 24.] ; [26. 12.],0
a2,1,0.20031,1.640111,[ 7 70] ; [ 1 37],[ 5.35652174 71.64347826] ; [ 2.64347826 35.35652174],0
u2,1,0.21097,1.564759,[18 25] ; [ 7 19],[15.57971014 27.42028986] ; [ 9.42028986 16.57971014],0
a4,1,0.219203,1.509579,[18 59] ; [ 5 32],[15.53508772 61.46491228] ; [ 7.46491228 29.53508772],0
v4,1,0.233812,1.41752,[61 15] ; [33  4],[63.22123894 12.77876106] ; [30.77876106  6.22123894],0
n2,1,0.251542,1.314721,[17 10] ; [6 1],[18.26470588  8.73529412] ; [4.73529412 2.26470588],0
r1,1,0.276903,1.182227,[39 37] ; [23 14],[41.69911504 34.30088496] ; [20.30088496 16.69911504],0
p6,1,0.297303,1.086254,[18 56] ; [ 6 32],[15.85714286 58.14285714] ; [ 8.14285714 29.85714286],0
r2,1,0.305348,1.050691,[60 16] ; [33  5],[62. 14.] ; [31.  7.],0
a5,1,0.307504,1.041364,[34 43] ; [13 25],[31.46956522 45.53043478] ; [15.53043478 22.46956522],0
p3,1,0.31012,1.030164,[25 52] ; [16 22],[27.45217391 49.54782609] ; [13.54782609 24.45217391],0
d2,1,0.346318,0.886904,[18 59] ; [ 6 32],[16.06956522 60.93043478] ; [ 7.93043478 30.06956522],0
v3,1,0.347941,0.880952,[16 58] ; [11 26],[18. 56.] ; [ 9. 28.],0
p12,1,0.373597,0.791667,[ 5 71] ; [ 1 37],[ 4. 72.] ; [ 2. 36.],0
p4,1,0.386813,0.748937,[28 49] ; [17 21],[30.13043478 46.86956522] ; [14.86956522 23.13043478],0
b5,1,0.3898,0.739567,[47 30] ; [20 18],[44.86086957 32.13913043] ; [22.13913043 15.86086957],0
p8,1,0.406355,0.689441,[30 44] ; [12 25],[28. 46.] ; [14. 23.],0
p1,1,0.442879,0.588813,[10 67] ; [ 3 34],[ 8.78070175 68.21929825] ; [ 4.21929825 32.78070175],0
n4,1,0.490189,0.476111,[47 29] ; [26 12],[48.66666667 27.33333333] ; [24.33333333 13.66666667],0
u3,1,0.51333,0.427274,[20 23] ; [10 16],[18.69565217 24.30434783] ; [11.30434783 14.69565217],0
b1,1,0.537107,0.380927,[33 44] ; [14 24],[31.46956522 45.53043478] ; [15.53043478 22.46956522],0
a7,1,0.552537,0.352792,[39 36] ; [22 16],[40.48672566 34.51327434] ; [20.51327434 17.48672566],0
a6,1,0.554259,0.349742,[43 34] ; [19 19],[41.51304348 35.48695652] ; [20.48695652 17.51304348],0
s4,1,0.556698,0.345455,[ 9 67] ; [ 6 32],[10. 66.] ; [ 5. 33.],0
v2,1,0.627336,0.235691,[23 48] ; [13 22],[24.11320755 46.88679245] ; [11.88679245 23.11320755],0
p10,1,0.671776,0.179532,[40 34] ; [21 15],[41.03636364 32.96363636] ; [19.96363636 16.03636364],0
n1,1,0.676193,0.174443,[10 17] ; [2 5],[ 9.52941176 17.47058824] ; [2.47058824 4.52941176],0
p11,1,0.81455,0.055019,[51 26] ; [26 12],[51.55652174 25.44347826] ; [25.44347826 12.55652174],0
p9,1,0.882956,0.021674,[47 26] ; [25 13],[47.35135135 25.64864865] ; [24.64864865 13.35135135],0
d5,1,0.892976,0.018101,[31 45] ; [16 22],[31.33333333 44.66666667] ; [15.66666667 22.33333333],0
d3,1,0.903363,0.014741,[17 58] ; [ 9 29],[17.25663717 57.74336283] ; [ 8.74336283 29.25663717],0
a8,1,0.940281,0.005612,[ 8 63] ; [ 4 30],[ 8.11428571 62.88571429] ; [ 3.88571429 30.11428571],0
p5,1,0.948825,0.004119,[ 4 72] ; [ 2 34],[ 4.07142857 71.92857143] ; [ 1.92857143 34.07142857],0
v1,1,0.958022,0.002771,[29 48] ; [13 22],[28.875 48.125] ; [13.125 21.875],0
s1,1,0.987288,0.000254,[ 4 71] ; [ 2 35],[ 4.01785714 70.98214286] ; [ 1.98214286 35.01785714],0
s5,1,1.0,0.0,[ 6 68] ; [ 3 34],[ 6. 68.] ; [ 3. 34.],0
n5,1,1.0,0.0,[52 24] ; [26 12],[52. 24.] ; [26. 12.],0
