Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.00161,9.94875,[538  77] ; [2 3],[535.64516129  79.35483871] ; [4.35483871 0.64516129],0
p7,1,0.059459,3.552419,[414 187] ; [1 3],[412.25619835 188.74380165] ; [2.74380165 1.25619835],0
v4,1,0.061386,3.499537,[589  23] ; [4 1],[588.19448947  23.80551053] ; [4.80551053 0.19448947],0
p9,1,0.131104,2.279382,[586  31] ; [4 1],[585.25723473  31.74276527] ; [4.74276527 0.25723473],0
a6,1,0.151971,2.052351,[429 187] ; [2 3],[427.52979066 188.47020934] ; [3.47020934 1.52979066],0
u1,1,0.178894,1.806791,[106 512] ; [2 3],[107.13322632 510.86677368] ; [0.86677368 4.13322632],0
s7,1,0.188952,1.72577,[300 294] ; [4 1],[301.4624374 292.5375626] ; [2.5375626 2.4624374],0
s2,1,0.208692,1.580478,[317 295] ; [4 1],[318.3987034 293.6012966] ; [2.6012966 2.3987034],0
s3,1,0.300639,1.071357,[346 261] ; [4 1],[347.14052288 259.85947712] ; [2.85947712 2.14052288],0
p6,1,0.303609,1.058275,[229 380] ; [3 2],[230.11074919 378.88925081] ; [1.88925081 3.11074919],0
n1,1,0.315455,1.007699,[43 70] ; [2 1],[43.8362069 69.1637931] ; [1.1637931 1.8362069],0
v2,1,0.33686,0.922344,[348 244] ; [4 1],[349.0519263 242.9480737] ; [2.9480737 2.0519263],0
b4,1,0.396882,0.717752,[363 255] ; [2 3],[362.070626 255.929374] ; [2.929374 2.070626],0
p1,1,0.410798,0.676489,[ 57 559] ; [1 4],[ 57.53301127 558.46698873] ; [0.46698873 4.53301127],0
a4,1,0.461502,0.54225,[269 348] ; [3 2],[269.81350482 347.18649518] ; [2.18649518 2.81350482],0
a7,1,0.511277,0.431452,[451 166] ; [3 2],[450.35048232 166.64951768] ; [3.64951768 1.35048232],0
v3,1,0.523855,0.406298,[243 354] ; [1 3],[242.37603993 354.62396007] ; [1.62396007 2.37603993],0
p3,1,0.529916,0.394553,[333 283] ; [2 3],[332.30273752 283.69726248] ; [2.69726248 2.30273752],0
s8,1,0.539299,0.37684,[284 330] ; [3 2],[284.68174475 329.31825525] ; [2.31825525 2.68174475],0
a3,1,0.541461,0.372839,[446 171] ; [3 2],[445.39067524 171.60932476] ; [3.60932476 1.39067524],0
s6,1,0.583937,0.299913,[415 190] ; [4 1],[415.56557377 189.43442623] ; [3.43442623 1.56557377],0
n6,1,0.587529,0.29422,[540  74] ; [4 1],[539.60581583  74.39418417] ; [4.39418417 0.60581583],0
d3,1,0.66329,0.189552,[426 191] ; [3 2],[425.55144695 191.44855305] ; [3.44855305 1.55144695],0
n2,1,0.699014,0.149499,[87 27] ; [2 1],[86.71794872 27.28205128] ; [2.28205128 0.71794872],0
u2,1,0.715101,0.133235,[107  64] ; [1 1],[106.75144509  64.24855491] ; [1.24855491 0.75144509],0
n3,1,0.764613,0.089657,[84 29] ; [2 1],[83.77586207 29.22413793] ; [2.22413793 0.77586207],0
u3,1,0.790137,0.070826,[102  70] ; [1 1],[101.81609195  70.18390805] ; [1.18390805 0.81609195],0
a5,1,0.836689,0.04249,[470 148] ; [4 1],[470.19582665 147.80417335] ; [3.80417335 1.19582665],0
p4,1,0.844312,0.038565,[395 220] ; [3 2],[394.79032258 220.20967742] ; [3.20967742 1.79032258],0
v1,1,0.875069,0.024719,[339 261] ; [3 2],[339.17355372 260.82644628] ; [2.82644628 2.17355372],0
a2,1,0.894226,0.017678,[139 479] ; [1 4],[138.87640449 479.12359551] ; [1.12359551 3.87640449],0
b3,1,0.936566,0.006334,[145 234] ; [2 3],[145.0859375 233.9140625] ; [1.9140625 3.0859375],0
b2,1,0.936566,0.006334,[145 234] ; [2 3],[145.0859375 233.9140625] ; [1.9140625 3.0859375],0
b5,1,0.937092,0.006229,[360 258] ; [3 2],[360.08667737 257.91332263] ; [2.91332263 2.08667737],0
p8,1,0.96796,0.001613,[360 249] ; [3 2],[360.04397394 248.95602606] ; [2.95602606 2.04397394],0
n5,1,0.994198,5.3e-05,[492 122] ; [4 1],[491.99353796 122.00646204] ; [4.00646204 0.99353796],0
