Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,26.154716,[76 13] ; [132 109],[56.0969697 32.9030303] ; [151.9030303  89.0969697],1
s2,1,2e-06,22.82686,[61 27] ; [ 95 145],[41.85365854 46.14634146] ; [114.14634146 125.85365854],1
s7,1,1.4e-05,18.895732,[57 29] ; [ 89 140],[39.86031746 46.13968254] ; [106.13968254 122.86031746],1
s4,1,0.000775,11.300047,[20 66] ; [ 22 219],[11.04587156 74.95412844] ; [ 30.95412844 210.04587156],1
s8,1,0.001186,10.511353,[46 43] ; [ 78 164],[33.34138973 55.65861027] ; [ 90.65861027 151.34138973],0
p5,1,0.001963,9.583458,[11 78] ; [  8 230],[ 5.17125382 83.82874618] ; [ 13.82874618 224.17125382],0
s3,1,0.005585,7.679552,[58 29] ; [118 121],[46.96932515 40.03067485] ; [129.03067485 109.96932515],0
d4,1,0.009682,6.692494,[78 10] ; [182  59],[69.54407295 18.45592705] ; [190.45592705  50.54407295],0
a3,1,0.01017,6.604788,[73 16] ; [163  78],[63.64848485 25.35151515] ; [172.35151515  68.64848485],0
v4,1,0.010675,6.518708,[84  4] ; [205  36],[77.30091185 10.69908815] ; [211.69908815  29.30091185],0
p12,1,0.016646,5.73327,[10 79] ; [ 10 231],[ 5.39393939 83.60606061] ; [ 14.60606061 226.39393939],0
p4,1,0.017025,5.693774,[49 39] ; [ 99 143],[39.46666667 48.53333333] ; [108.53333333 133.46666667],0
a5,1,0.022342,5.218945,[73 16] ; [168  74],[64.80060423 24.19939577] ; [176.19939577  65.80060423],0
p2,1,0.024908,5.030301,[71 18] ; [161  79],[62.75987842 26.24012158] ; [169.24012158  70.75987842],0
p10,1,0.027915,4.833306,[71 17] ; [164  76],[63.04878049 24.95121951] ; [171.95121951  68.04878049],0
d2,1,0.031941,4.601687,[53 34] ; [114 126],[44.43119266 42.56880734] ; [122.56880734 117.43119266],0
p6,1,0.032442,4.574992,[28 60] ; [ 49 190],[20.72171254 67.27828746] ; [ 56.27828746 182.72171254],0
r1,1,0.033692,4.510249,[75 14] ; [176  65],[67.69393939 21.30606061] ; [183.30606061  57.69393939],0
r4,1,0.040668,4.189777,[79 10] ; [191  51],[72.59818731 16.40181269] ; [197.40181269  44.59818731],0
p3,1,0.041125,4.17086,[40 49] ; [ 79 162],[32.09393939 56.90606061] ; [ 86.90606061 154.09393939],0
n6,1,0.042946,4.097535,[78 10] ; [190  51],[71.68389058 16.31610942] ; [196.31610942  44.68389058],0
p9,1,0.050654,3.819667,[72 16] ; [170  69],[65.12538226 22.87461774] ; [176.87461774  62.12538226],0
n5,1,0.051061,3.806263,[78 10] ; [191  50],[71.95136778 16.04863222] ; [197.04863222  43.95136778],0
d1,1,0.058505,3.57927,[56 33] ; [124 118],[48.39879154 40.60120846] ; [131.60120846 110.39879154],0
a2,1,0.062769,3.46267,[30 59] ; [ 57 185],[23.39274924 65.60725076] ; [ 63.60725076 178.39274924],0
n2,1,0.066829,3.359233,[17  3] ; [45 26],[13.62637363  6.37362637] ; [48.37362637 22.62637363],0
d3,1,0.067828,3.334821,[65 24] ; [150  91],[57.98484848 31.01515152] ; [157.01515152  83.98484848],0
p7,1,0.07607,3.146934,[44 44] ; [ 93 145],[36.98159509 51.01840491] ; [100.01840491 137.98159509],0
p1,1,0.090015,2.874112,[ 9 80] ; [ 12 229],[ 5.66363636 83.33636364] ; [ 15.33636364 225.66363636],0
u3,1,0.090805,2.860044,[11  5] ; [36 43],[7.91578947 8.08421053] ; [39.08421053 39.91578947],0
