Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.006072,7.528889,[2 1] ; [ 2 23],[0.42857143 2.57142857] ; [ 3.57142857 21.42857143],0
p11,1,0.025508,4.989095,[1 2] ; [25  4],[2.4375 0.5625] ; [23.5625  5.4375],0
r3,1,0.144779,2.126417,[2 1] ; [26  2],[2.70967742 0.29032258] ; [25.29032258  2.70967742],0
p8,1,0.216086,1.530179,[1 2] ; [20  9],[1.96875 1.03125] ; [19.03125  9.96875],0
s5,1,0.259656,1.270588,[1 2] ; [16  8],[1.88888889 1.11111111] ; [15.11111111  8.88888889],0
v4,1,0.266713,1.233576,[2 1] ; [25  3],[2.61290323 0.38709677] ; [24.38709677  3.61290323],0
b4,1,0.273016,1.201533,[1 2] ; [19 10],[1.875 1.125] ; [18.125 10.875],0
d1,1,0.334679,0.930709,[1 2] ; [18 11],[1.78125 1.21875] ; [17.21875 11.78125],0
d4,1,0.496631,0.462128,[2 1] ; [24  5],[2.4375 0.5625] ; [23.5625  5.4375],0
r4,1,0.496631,0.462128,[2 1] ; [24  5],[2.4375 0.5625] ; [23.5625  5.4375],0
r2,1,0.519043,0.415794,[2 1] ; [23  5],[2.41935484 0.58064516] ; [22.58064516  5.41935484],0
v3,1,0.542802,0.37037,[2 1] ; [13 14],[1.5 1.5] ; [13.5 13.5],0
d5,1,0.614051,0.254319,[2 1] ; [23  6],[2.34375 0.65625] ; [22.65625  6.34375],0
b1,1,0.702428,0.145959,[2 1] ; [16 13],[1.6875 1.3125] ; [16.3125 12.6875],0
b3,1,0.70386,0.144487,[1 2] ; [ 9 11],[1.30434783 1.69565217] ; [ 8.69565217 11.30434783],0
b2,1,0.70386,0.144487,[1 2] ; [ 9 11],[1.30434783 1.69565217] ; [ 8.69565217 11.30434783],0
n2,1,0.709388,0.138889,[1 1] ; [2 1],[1.2 0.8] ; [1.8 1.2],0
n3,1,0.709388,0.138889,[1 1] ; [2 1],[1.2 0.8] ; [1.8 1.2],0
a5,1,0.726226,0.122605,[2 1] ; [22  7],[2.25 0.75] ; [21.75  7.25],0
s6,1,0.781814,0.076705,[2 1] ; [14 10],[1.77777778 1.22222222] ; [14.22222222  9.77777778],0
d3,1,0.787064,0.072968,[2 1] ; [17 12],[1.78125 1.21875] ; [17.21875 11.78125],0
p1,1,0.83307,0.044422,[1 2] ; [ 8 21],[0.84375 2.15625] ; [ 8.15625 20.84375],0
a6,1,0.83307,0.044422,[2 1] ; [21  8],[2.15625 0.84375] ; [20.84375  8.15625],0
s3,1,0.862895,0.029822,[1 2] ; [ 8 20],[0.87096774 2.12903226] ; [ 8.12903226 19.87096774],0
a7,1,0.875566,0.024521,[2 1] ; [18 11],[1.875 1.125] ; [18.125 10.875],0
d2,1,0.875566,0.024521,[2 1] ; [18 11],[1.875 1.125] ; [18.125 10.875],0
p7,1,0.934824,0.006688,[2 1] ; [20  9],[2.0625 0.9375] ; [19.9375  9.0625],0
r1,1,0.966562,0.001757,[2 1] ; [19  9],[2.03225806 0.96774194] ; [18.96774194  9.03225806],0
p3,1,0.96817,0.001592,[2 1] ; [19 10],[1.96875 1.03125] ; [19.03125  9.96875],0
a3,1,0.96817,0.001592,[2 1] ; [19 10],[1.96875 1.03125] ; [19.03125  9.96875],0
