Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.0,40.686722,[129 289] ; [40 13],[149.98301486 268.01698514] ; [19.01698514 33.98301486],1
p12,1,0.0,39.418935,[ 28 405] ; [18 37],[ 40.81557377 392.18442623] ; [ 5.18442623 49.81557377],1
p1,1,0.0,28.542104,[ 23 413] ; [14 41],[ 32.85539715 403.14460285] ; [ 4.14460285 50.85539715],1
p4,1,1e-06,24.38422,[251 182] ; [50  4],[267.62422998 165.37577002] ; [33.37577002 20.62422998],1
p3,1,3e-06,21.607882,[217 218] ; [45  9],[233.06748466 201.93251534] ; [28.93251534 25.06748466],1
p6,1,4.6e-05,16.607795,[151 277] ; [34 19],[164.61538462 263.38461538] ; [20.38461538 32.61538462],1
p8,1,5e-05,16.454884,[218 209] ; [44 11],[232.10373444 194.89626556] ; [29.89626556 25.10373444],1
p7,1,0.000318,12.958825,[276 152] ; [48  6],[287.70124481 140.29875519] ; [36.29875519 17.70124481],1
p10,1,0.001946,9.6,[352  80] ; [53  1],[360.  72.] ; [45.  9.],0
a1,1,0.002634,9.045209,[ 20 417] ; [ 8 47],[ 24.8699187 412.1300813] ; [ 3.1300813 51.8699187],0
b5,1,0.006157,7.503842,[267 170] ; [23 32],[257.58130081 179.41869919] ; [32.41869919 22.58130081],0
v3,1,0.006381,7.439472,[226 198] ; [40 15],[235.45720251 188.54279749] ; [30.54279749 24.45720251],0
s7,1,0.006619,7.373665,[211 207] ; [36 15],[220.14072495 197.85927505] ; [26.85927505 24.14072495],0
p11,1,0.006876,7.305152,[347  90] ; [52  3],[354.39634146  82.60365854] ; [44.60365854 10.39634146],0
n5,1,0.008529,6.918913,[314 118] ; [49  6],[322.00410678 109.99589322] ; [40.99589322 14.00410678],0
s8,1,0.008529,6.918865,[199 235] ; [35 19],[208.10655738 225.89344262] ; [25.89344262 28.10655738],0
a2,1,0.011384,6.404319,[116 321] ; [ 6 49],[108.36178862 328.63821138] ; [13.63821138 41.36178862],0
b3,1,0.012892,6.183868,[ 90 168] ; [24 20],[ 97.39072848 160.60927152] ; [16.60927152 27.39072848],0
b2,1,0.012892,6.183868,[ 90 168] ; [24 20],[ 97.39072848 160.60927152] ; [16.60927152 27.39072848],0
v1,1,0.016153,5.786159,[271 155] ; [44 11],[278.98128898 147.01871102] ; [36.01871102 18.98128898],0
p9,1,0.021984,5.247059,[366  64] ; [53  2],[371.48453608  58.51546392] ; [47.51546392  7.48453608],0
s6,1,0.02355,5.127498,[285 142] ; [45 10],[292.34439834 134.65560166] ; [37.65560166 17.34439834],0
