Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.3e-05,19.023346,[ 65 200] ; [21 14],[ 75.96666667 189.03333333] ; [10.03333333 24.96666667],1
s8,1,8.6e-05,15.424657,[ 68 208] ; [21 17],[ 78.22929936 197.77070064] ; [10.77070064 27.22929936],1
p6,1,0.000494,12.136696,[ 78 197] ; [21 16],[ 87.25961538 187.74038462] ; [11.74038462 25.25961538],1
s6,1,0.000535,11.989674,[113 161] ; [27 11],[122.94871795 151.05128205] ; [17.05128205 20.94871795],1
u1,1,0.011018,6.462345,[ 42 237] ; [12 26],[ 47.52681388 231.47318612] ; [ 6.47318612 31.52681388],0
p11,1,0.01706,5.690225,[218  61] ; [23 15],[212.11041009  66.88958991] ; [28.88958991  9.11041009],0
v3,1,0.077932,3.10751,[ 97 170] ; [19 18],[101.88157895 165.11842105] ; [14.11842105 22.88157895],0
n5,1,0.1128,2.51455,[190  88] ; [30  7],[194.15873016  83.84126984] ; [25.84126984 11.15873016],0
v1,1,0.124247,2.362953,[145 131] ; [25 13],[149.42675159 126.57324841] ; [20.57324841 17.42675159],0
b3,1,0.139236,2.186381,[ 57 111] ; [11 11],[ 60.12631579 107.87368421] ; [ 7.87368421 14.12631579],0
b2,1,0.139236,2.186381,[ 57 111] ; [11 11],[ 60.12631579 107.87368421] ; [ 7.87368421 14.12631579],0
n4,1,0.141354,2.163162,[204  75] ; [32  6],[207.70977918  71.29022082] ; [28.29022082  9.70977918],0
a2,1,0.220777,1.49931,[ 63 216] ; [12 26],[ 66.00946372 212.99053628] ; [ 8.99053628 29.00946372],0
n1,1,0.238403,1.390011,[22 45] ; [1 7],[20.54666667 46.45333333] ; [2.45333333 5.54666667],0
s1,1,0.240191,1.379472,[  6 271] ; [ 2 35],[  7.05732484 269.94267516] ; [ 0.94267516 36.05732484],0
s5,1,0.256415,1.288008,[ 63 209] ; [12 26],[ 65.80645161 206.19354839] ; [ 9.19354839 28.80645161],0
r4,1,0.265284,1.240971,[258  21] ; [37  1],[259.63722397  19.36277603] ; [35.36277603  2.63722397],0
a6,1,0.278797,1.172944,[200  79] ; [24 14],[197.14826498  81.85173502] ; [26.85173502 11.14826498],0
a4,1,0.309308,1.03363,[122 156] ; [20 18],[124.92405063 153.07594937] ; [17.07594937 20.92405063],0
p7,1,0.324836,0.969376,[162 112] ; [25 12],[164.75241158 109.24758842] ; [22.24758842 14.75241158],0
r2,1,0.345704,0.889164,[258  18] ; [37  1],[259.29936306  16.70063694] ; [35.70063694  2.29936306],0
n6,1,0.366264,0.8163,[224  55] ; [32  5],[226.02531646  52.97468354] ; [29.97468354  7.02531646],0
d2,1,0.373639,0.791525,[125 153] ; [20 18],[127.56329114 150.43670886] ; [17.43670886 20.56329114],0
p4,1,0.379278,0.773042,[151 126] ; [23 14],[153.49681529 123.50318471] ; [20.50318471 16.49681529],0
p3,1,0.381189,0.766865,[129 149] ; [20 17],[131.4984127 146.5015873] ; [17.5015873 19.4984127],0
p5,1,0.391574,0.734049,[ 27 250] ; [ 2 35],[ 25.58280255 251.41719745] ; [ 3.41719745 33.58280255],0
n2,1,0.414707,0.665266,[44 24] ; [4 4],[42.94736842 25.05263158] ; [5.05263158 2.94736842],0
d3,1,0.453915,0.560858,[193  86] ; [24 14],[190.9873817  88.0126183] ; [26.0126183 11.9873817],0
b4,1,0.4711,0.519394,[164 115] ; [20 18],[161.94321767 117.05678233] ; [22.05678233 15.94321767],0
d5,1,0.498021,0.459151,[230  49] ; [33  5],[231.47318612  47.52681388] ; [31.52681388  6.47318612],0
p10,1,0.529584,0.39519,[211  65] ; [30  7],[212.51118211  63.48881789] ; [28.48881789  8.51118211],0
s4,1,0.577158,0.310851,[ 23 253] ; [ 4 32],[ 23.88461538 252.11538462] ; [ 3.11538462 32.88461538],0
v2,1,0.621409,0.243892,[158 110] ; [24 14],[159.39869281 108.60130719] ; [22.60130719 15.39869281],0
u3,1,0.644162,0.21334,[49 38] ; [7 4],[49.71428571 37.28571429] ; [6.28571429 4.71428571],0
p9,1,0.644854,0.21245,[218  58] ; [28  9],[216.9201278  59.0798722] ; [29.0798722  7.9201278],0
d4,1,0.663223,0.189632,[226  52] ; [32  6],[226.97468354  51.02531646] ; [31.02531646  6.97468354],0
n3,1,0.677872,0.172531,[46 20] ; [5 3],[45.48648649 20.51351351] ; [5.51351351 2.48648649],0
a1,1,0.700175,0.14829,[ 11 268] ; [ 2 36],[ 11.44164038 267.55835962] ; [ 1.55835962 36.44164038],0
p8,1,0.730987,0.118208,[140 131] ; [18 19],[139.01948052 131.98051948] ; [18.98051948 18.01948052],0
a7,1,0.734149,0.115337,[205  73] ; [29  9],[205.86075949  72.13924051] ; [28.13924051  9.86075949],0
a5,1,0.757809,0.095085,[214  65] ; [30  8],[214.75078864  64.24921136] ; [29.24921136  8.75078864],0
b5,1,0.759403,0.093798,[169 110] ; [24 14],[169.86435331 109.13564669] ; [23.13564669 14.86435331],0
a8,1,0.784082,0.075078,[ 32 214] ; [ 5 29],[ 32.50714286 213.49285714] ; [ 4.49285714 29.50714286],0
b1,1,0.792956,0.068892,[104 175] ; [15 23],[104.73501577 174.26498423] ; [14.26498423 23.73501577],0
a3,1,0.827171,0.047669,[192  85] ; [27 11],[192.58095238  84.41904762] ; [26.41904762 11.58095238],0
p2,1,0.861082,0.030624,[222  56] ; [30  7],[222.4  55.6] ; [29.6  7.4],0
d1,1,0.915739,0.011194,[159 120] ; [22 16],[159.30283912 119.69716088] ; [21.69716088 16.30283912],0
u2,1,0.936442,0.006359,[48 38] ; [6 5],[47.87628866 38.12371134] ; [6.12371134 4.87628866],0
v4,1,0.97682,0.000844,[264  15] ; [36  2],[264.03785489  14.96214511] ; [35.96214511  2.03785489],0
