Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.000169,14.150749,[ 9 30] ; [13  4],[15.32142857 23.67857143] ; [ 6.67857143 10.32142857],1
p3,1,0.001432,10.163901,[ 5 34] ; [9 8],[ 9.75 29.25] ; [ 4.25 12.75],0
p8,1,0.001815,9.727637,[ 5 34] ; [8 7],[ 9.38888889 29.61111111] ; [ 3.61111111 11.38888889],0
p4,1,0.003522,8.515263,[ 6 33] ; [9 8],[10.44642857 28.55357143] ; [ 4.55357143 12.44642857],0
p11,1,0.007693,7.103469,[ 7 32] ; [9 8],[11.14285714 27.85714286] ; [ 4.85714286 12.14285714],0
u2,1,0.009997,6.635417,[ 5 15] ; [5 1],[ 7.69230769 12.30769231] ; [2.30769231 3.69230769],0
n3,1,0.028877,4.774908,[ 6 15] ; [7 3],[ 8.80645161 12.19354839] ; [4.19354839 5.80645161],0
p5,1,0.031791,4.609716,[ 2 37] ; [ 4 12],[ 4.25454545 34.74545455] ; [ 1.74545455 14.25454545],0
b3,1,0.050694,3.818357,[13 13] ; [ 2 10],[10.26315789 15.73684211] ; [4.73684211 7.26315789],0
b2,1,0.050694,3.818357,[13 13] ; [ 2 10],[10.26315789 15.73684211] ; [4.73684211 7.26315789],0
a6,1,0.091835,2.841907,[21 18] ; [ 5 12],[18.10714286 20.89285714] ; [7.89285714 9.10714286],0
n4,1,0.110926,2.540975,[25 14] ; [ 7 10],[22.28571429 16.71428571] ; [9.71428571 7.28571429],0
p10,1,0.131827,2.270859,[12 26] ; [9 8],[14.50909091 23.49090909] ; [ 6.49090909 10.50909091],0
p9,1,0.174884,1.840572,[13 23] ; [9 7],[15.23076923 20.76923077] ; [6.76923077 9.23076923],0
s4,1,0.191848,1.703369,[ 4 35] ; [ 4 13],[ 5.57142857 33.42857143] ; [ 2.42857143 14.57142857],0
b1,1,0.20897,1.578549,[23 16] ; [13  4],[25.07142857 13.92857143] ; [10.92857143  6.07142857],0
b5,1,0.233241,1.420985,[14 25] ; [9 8],[16.01785714 22.98214286] ; [ 6.98214286 10.01785714],0
p1,1,0.322848,0.977376,[ 6 33] ; [ 1 16],[ 4.875 34.125] ; [ 2.125 14.875],0
v4,1,0.352822,0.863282,[20 19] ; [11  6],[21.58928571 17.41071429] ; [9.41071429 7.58928571],0
a3,1,0.359015,0.841335,[19 18] ; [11  6],[20.55555556 16.44444444] ; [9.44444444 7.55555556],0
v2,1,0.359015,0.841335,[ 5 32] ; [ 4 13],[ 6.16666667 30.83333333] ; [ 2.83333333 14.16666667],0
s1,1,0.375261,0.78617,[ 2 37] ; [ 2 15],[ 2.78571429 36.21428571] ; [ 1.21428571 15.78571429],0
s7,1,0.395957,0.720571,[ 5 33] ; [ 3 10],[ 5.96078431 32.03921569] ; [ 2.03921569 10.96078431],0
v3,1,0.409203,0.681115,[ 8 30] ; [ 2 15],[ 6.90909091 31.09090909] ; [ 3.09090909 13.90909091],0
s3,1,0.433219,0.614178,[ 4 33] ; [ 3 13],[ 4.88679245 32.11320755] ; [ 2.11320755 13.88679245],0
a2,1,0.440202,0.595757,[ 5 34] ; [ 1 16],[ 4.17857143 34.82142857] ; [ 1.82142857 15.17857143],0
r4,1,0.441935,0.591252,[ 4 35] ; [ 3 14],[ 4.875 34.125] ; [ 2.125 14.875],0
d1,1,0.463157,0.538255,[13 26] ; [ 4 13],[11.83928571 27.16071429] ; [ 5.16071429 11.83928571],0
v1,1,0.468303,0.525977,[ 8 31] ; [ 5 12],[ 9.05357143 29.94642857] ; [ 3.94642857 13.05357143],0
u1,1,0.538393,0.378526,[ 1 38] ; [ 1 16],[ 1.39285714 37.60714286] ; [ 0.60714286 16.39285714],0
a4,1,0.547045,0.362638,[14 23] ; [ 5 12],[13.01851852 23.98148148] ; [ 5.98148148 11.01851852],0
a8,1,0.54789,0.361111,[ 1 35] ; [ 1 15],[ 1.38461538 34.61538462] ; [ 0.61538462 15.38461538],0
n5,1,0.595771,0.281421,[28 11] ; [11  6],[27.16071429 11.83928571] ; [11.83928571  5.16071429],0
n1,1,0.599283,0.276078,[11 11] ; [4 6],[10.3125 11.6875] ; [4.6875 5.3125],0
r2,1,0.619695,0.246296,[25 13] ; [10  7],[24.18181818 13.81818182] ; [10.81818182  6.18181818],0
d2,1,0.633729,0.227038,[16 22] ; [ 6 11],[15.2 22.8] ; [ 6.8 10.2],0
s5,1,0.635077,0.225239,[ 5 34] ; [ 3 14],[ 5.57142857 33.42857143] ; [ 2.42857143 14.57142857],0
b4,1,0.674862,0.175968,[23 16] ; [9 8],[22.28571429 16.71428571] ; [9.71428571 7.28571429],0
u3,1,0.686494,0.162907,[ 5 15] ; [2 4],[ 5.38461538 14.61538462] ; [1.61538462 4.38461538],0
d3,1,0.730464,0.118686,[18 21] ; [ 7 10],[17.41071429 21.58928571] ; [7.58928571 9.41071429],0
a5,1,0.771336,0.084465,[19 20] ; [9 8],[19.5 19.5] ; [8.5 8.5],0
d5,1,0.810243,0.057654,[22 17] ; [9 8],[21.58928571 17.41071429] ; [9.41071429 7.58928571],0
a7,1,0.810243,0.057654,[17 22] ; [8 9],[17.41071429 21.58928571] ; [7.58928571 9.41071429],0
r1,1,0.84831,0.036586,[15 24] ; [ 7 10],[15.32142857 23.67857143] ; [ 6.67857143 10.32142857],0
s6,1,0.881993,0.022035,[ 8 31] ; [ 3 13],[ 7.8 31.2] ; [ 3.2 12.8],0
p12,1,0.908254,0.013281,[ 2 37] ; [ 1 16],[ 2.08928571 36.91071429] ; [ 0.91071429 16.08928571],0
d4,1,0.950215,0.003898,[21 18] ; [9 8],[20.89285714 18.10714286] ; [9.10714286 7.89285714],0
n6,1,0.991316,0.000118,[17 22] ; [7 9],[17.01818182 21.98181818] ; [6.98181818 9.01818182],0
n2,1,1.0,0.0,[11 11] ; [5 5],[11. 11.] ; [5. 5.],0
