Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,6e-06,20.458438,[26  8] ; [ 7 26],[16.74626866 17.25373134] ; [16.25373134 16.74626866],1
s7,1,3.4e-05,17.184142,[26  7] ; [ 8 22],[17.80952381 15.19047619] ; [16.19047619 13.80952381],1
s2,1,5.6e-05,16.245837,[26  8] ; [ 9 24],[17.76119403 16.23880597] ; [17.23880597 15.76119403],1
a5,1,0.004812,7.948733,[25  9] ; [13 20],[19.28358209 14.71641791] ; [18.71641791 14.28358209],0
d1,1,0.01023,6.594387,[22 12] ; [11 22],[16.74626866 17.25373134] ; [16.25373134 16.74626866],0
s6,1,0.038867,4.266667,[24  8] ; [16 16],[20. 12.] ; [20. 12.],0
d4,1,0.041675,4.148352,[29  5] ; [21 12],[25.37313433  8.62686567] ; [24.62686567  8.37313433],0
p1,1,0.081266,3.039392,[ 7 27] ; [ 2 31],[ 4.56716418 29.43283582] ; [ 4.43283582 28.56716418],0
v1,1,0.082549,3.013979,[18 15] ; [11 22],[14.5 18.5] ; [14.5 18.5],0
v3,1,0.091642,2.845289,[16 17] ; [ 9 23],[12.69230769 20.30769231] ; [12.30769231 19.69230769],0
p11,1,0.108537,2.575392,[30  4] ; [24  9],[27.40298507  6.59701493] ; [26.59701493  6.40298507],0
r2,1,0.119506,2.423786,[31  2] ; [26  6],[28.93846154  4.06153846] ; [28.06153846  3.93846154],0
n5,1,0.129387,2.299848,[27  7] ; [20 12],[24.21212121  9.78787879] ; [22.78787879  9.21212121],0
d2,1,0.159402,1.979887,[16 18] ; [10 23],[13.19402985 20.80597015] ; [12.80597015 20.19402985],0
u1,1,0.173783,1.850003,[ 4 30] ; [ 1 32],[ 2.53731343 31.46268657] ; [ 2.46268657 30.53731343],0
a3,1,0.17834,1.811404,[23 11] ; [17 16],[20.29850746 13.70149254] ; [19.70149254 13.29850746],0
b1,1,0.180692,1.791925,[13 21] ; [18 15],[15.73134328 18.26865672] ; [15.26865672 17.73134328],0
p10,1,0.197479,1.660919,[28  6] ; [22 10],[25.75757576  8.24242424] ; [24.24242424  7.75757576],0
s5,1,0.227659,1.455431,[13 15] ; [10 22],[10.73333333 17.26666667] ; [12.26666667 19.73333333],0
a8,1,0.229556,1.443609,[ 5 27] ; [ 2 30],[ 3.5 28.5] ; [ 3.5 28.5],0
u3,1,0.233703,1.418182,[7 4] ; [6 9],[5.5 5.5] ; [7.5 7.5],0
n4,1,0.260107,1.268185,[25  9] ; [20 13],[22.8358209 11.1641791] ; [22.1641791 10.8358209],0
n3,1,0.323727,0.97383,[6 4] ; [11  3],[7.08333333 2.91666667] ; [9.91666667 4.08333333],0
u2,1,0.383666,0.758924,[8 3] ; [9 7],[6.92592593 4.07407407] ; [10.07407407  5.92592593],0
b5,1,0.394121,0.726189,[23 11] ; [19 14],[21.31343284 12.68656716] ; [20.68656716 12.31343284],0
p3,1,0.397251,0.716632,[21 13] ; [17 16],[19.28358209 14.71641791] ; [18.71641791 14.28358209],0
p12,1,0.413651,0.668284,[ 4 30] ; [ 2 31],[ 3.04477612 30.95522388] ; [ 2.95522388 30.04477612],0
a2,1,0.413651,0.668284,[ 4 30] ; [ 2 31],[ 3.04477612 30.95522388] ; [ 2.95522388 30.04477612],0
s4,1,0.415804,0.662145,[ 9 25] ; [ 6 27],[ 7.6119403 26.3880597] ; [ 7.3880597 25.6119403],0
v2,1,0.451259,0.567488,[19 13] ; [16 16],[17.5 14.5] ; [17.5 14.5],0
p7,1,0.460209,0.545385,[22 11] ; [24  8],[23.35384615  9.64615385] ; [22.64615385  9.35384615],0
p5,1,0.478563,0.502136,[ 5 29] ; [ 3 30],[ 4.05970149 29.94029851] ; [ 3.94029851 29.05970149],0
p9,1,0.487449,0.482152,[29  5] ; [26  7],[27.91044776  6.08955224] ; [27.08955224  5.91044776],0
n6,1,0.506786,0.440698,[28  6] ; [25  8],[26.89552239  7.10447761] ; [26.10447761  6.89552239],0
p4,1,0.539403,0.376648,[25  9] ; [22 11],[23.85074627 10.14925373] ; [23.14925373  9.85074627],0
p8,1,0.549184,0.358781,[21 13] ; [18 15],[19.79104478 14.20895522] ; [19.20895522 13.79104478],0
n2,1,0.558185,0.342857,[6 4] ; [10  4],[6.66666667 3.33333333] ; [9.33333333 4.66666667],0
a7,1,0.569165,0.324082,[20 14] ; [21 11],[21.12121212 12.87878788] ; [19.87878788 12.12121212],0
b2,1,0.576347,0.312177,[10 16] ; [8 9],[10.88372093 15.11627907] ; [7.11627907 9.88372093],0
b3,1,0.576347,0.312177,[10 16] ; [8 9],[10.88372093 15.11627907] ; [7.11627907 9.88372093],0
d3,1,0.637512,0.222011,[20 14] ; [20 11],[20.92307692 13.07692308] ; [19.07692308 11.92307692],0
d5,1,0.669064,0.182699,[27  7] ; [24  8],[26.27272727  7.72727273] ; [24.72727273  7.27272727],0
a4,1,0.675674,0.175036,[13 21] ; [11 22],[12.17910448 21.82089552] ; [11.82089552 21.17910448],0
b4,1,0.686093,0.163347,[20 14] ; [21 12],[20.80597015 13.19402985] ; [20.19402985 12.80597015],0
v4,1,0.720556,0.12796,[30  4] ; [30  3],[30.44776119  3.55223881] ; [29.55223881  3.44776119],0
r4,1,0.729385,0.119677,[24 10] ; [22 11],[23.34328358 10.65671642] ; [22.65671642 10.34328358],0
n1,1,0.794625,0.067761,[4 5] ; [7 7],[4.30434783 4.69565217] ; [6.69565217 7.30434783],0
a6,1,0.881777,0.022117,[20 14] ; [20 13],[20.29850746 13.70149254] ; [19.70149254 13.29850746],0
p2,1,0.954488,0.003257,[28  6] ; [27  6],[27.91044776  6.08955224] ; [27.08955224  5.91044776],0
r3,1,0.964114,0.002024,[30  4] ; [29  4],[29.94029851  4.05970149] ; [29.05970149  3.94029851],0
a1,1,0.969433,0.001468,[ 3 31] ; [ 3 30],[ 3.04477612 30.95522388] ; [ 2.95522388 30.04477612],0
