Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,27.950626,[17 21] ; [87 12],[28.84671533  9.15328467] ; [75.15328467 23.84671533],1
v1,1,0.004216,8.188342,[10 28] ; [51 44],[17.42857143 20.57142857] ; [43.57142857 51.42857143],0
n6,1,0.004849,7.935089,[25 13] ; [86 13],[30.78832117  7.21167883] ; [80.21167883 18.78832117],0
r1,1,0.006426,7.426801,[20 18] ; [75 23],[26.54411765 11.45588235] ; [68.45588235 29.54411765],0
p3,1,0.009796,6.671649,[11 27] ; [52 45],[17.73333333 20.26666667] ; [45.26666667 51.73333333],0
a5,1,0.016855,5.711451,[14 24] ; [59 40],[20.24817518 17.75182482] ; [52.75182482 46.24817518],0
v3,1,0.019735,5.435215,[ 6 31] ; [36 61],[11.59701493 25.40298507] ; [30.40298507 66.59701493],0
r2,1,0.020148,5.398985,[30  8] ; [91  7],[33.80882353  4.19117647] ; [87.19117647 10.80882353],0
p1,1,0.025573,4.984673,[ 1 36] ; [17 81],[ 4.93333333 32.06666667] ; [13.06666667 84.93333333],0
a4,1,0.036688,4.364822,[ 5 33] ; [30 68],[ 9.77941176 28.22058824] ; [25.22058824 72.77941176],0
d3,1,0.039394,4.243781,[ 5 33] ; [30 69],[ 9.7080292 28.2919708] ; [25.2919708 73.7080292],0
p2,1,0.056955,3.623905,[25 12] ; [81 17],[29.05185185  7.94814815] ; [76.94814815 21.05185185],0
b5,1,0.057787,3.599787,[17 21] ; [62 37],[21.91240876 16.08759124] ; [57.08759124 41.91240876],0
r4,1,0.064532,3.416901,[28 10] ; [86 13],[31.62043796  6.37956204] ; [82.37956204 16.62043796],0
a6,1,0.064742,3.411552,[18 20] ; [64 35],[22.74452555 15.25547445] ; [59.25547445 39.74452555],0
p4,1,0.071165,3.255933,[14 24] ; [53 45],[18.72058824 19.27941176] ; [48.27941176 49.72058824],0
p10,1,0.087711,2.915889,[26 11] ; [81 16],[29.54477612  7.45522388] ; [77.45522388 19.54477612],0
s7,1,0.118611,2.435561,[10 27] ; [38 53],[13.875 23.125] ; [34.125 56.875],0
s6,1,0.119934,2.418182,[18 20] ; [59 36],[22. 16.] ; [55. 40.],0
a7,1,0.130767,2.28337,[18 20] ; [61 38],[21.91240876 16.08759124] ; [57.08759124 41.91240876],0
s3,1,0.138248,2.197355,[14 24] ; [48 46],[17.84848485 20.15151515] ; [44.15151515 49.84848485],0
p6,1,0.140606,2.171313,[ 8 30] ; [33 64],[11.54074074 26.45925926] ; [29.45925926 67.54074074],0
a2,1,0.149761,2.07468,[ 1 37] ; [10 89],[ 3.05109489 34.94890511] ; [ 7.94890511 91.05109489],0
p12,1,0.188975,1.725593,[ 1 37] ; [ 9 89],[ 2.79411765 35.20588235] ; [ 7.20588235 90.79411765],0
p9,1,0.193135,1.693541,[28 10] ; [81 16],[30.68148148  7.31851852] ; [78.31851852 18.68148148],0
b4,1,0.23691,1.398889,[18 20] ; [58 41],[21.08029197 16.91970803] ; [54.91970803 44.08029197],0
n1,1,0.256839,1.285714,[ 5 10] ; [11 10],[6.66666667 8.33333333] ; [ 9.33333333 11.66666667],0
s4,1,0.315577,1.007189,[ 5 33] ; [20 77],[ 7.03703704 30.96296296] ; [17.96296296 79.03703704],0
p8,1,0.351062,0.869615,[17 21] ; [51 44],[19.42857143 18.57142857] ; [48.57142857 46.42857143],0
v4,1,0.354069,0.858819,[34  3] ; [93  4],[35.06716418  1.93283582] ; [91.93283582  5.06716418],0
v2,1,0.361112,0.834021,[14 22] ; [44 48],[16.3125 19.6875] ; [41.6875 50.3125],0
s5,1,0.382872,0.76146,[ 7 31] ; [24 70],[ 8.92424242 29.07575758] ; [22.07575758 71.92424242],0
