Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4.3e-05,16.749687,[46  3] ; [149  83],[34.00355872 14.99644128] ; [160.99644128  71.00355872],1
s2,1,0.000133,14.596779,[40 10] ; [118 116],[27.81690141 22.18309859] ; [130.18309859 103.81690141],1
p6,1,0.000158,14.279609,[38 12] ; [109 125],[25.88028169 24.11971831] ; [121.11971831 112.88028169],1
s5,1,0.002415,9.204257,[28 18] ; [ 85 146],[18.76534296 27.23465704] ; [ 94.23465704 136.76534296],0
s7,1,0.006884,7.302933,[35 13] ; [116 109],[26.54945055 21.45054945] ; [124.45054945 100.54945055],0
s3,1,0.009072,6.808542,[38 12] ; [130 102],[29.78723404 20.21276596] ; [138.21276596  93.78723404],0
v2,1,0.013891,6.051931,[23 26] ; [153  80],[30.58156028 18.41843972] ; [145.41843972  87.58156028],0
s8,1,0.039121,4.255618,[35 15] ; [126 107],[28.44522968 21.55477032] ; [132.55477032 100.44522968],0
p4,1,0.057913,3.596155,[44  6] ; [178  57],[38.94736842 11.05263158] ; [183.05263158  51.94736842],0
v3,1,0.060326,3.528389,[18 32] ; [115 112],[24.00722022 25.99277978] ; [108.99277978 118.00722022],0
p10,1,0.066251,3.373549,[48  2] ; [205  31],[44.23076923  5.76923077] ; [208.76923077  27.23076923],0
a7,1,0.095942,2.771739,[34 16] ; [187  50],[38.50174216 11.49825784] ; [182.49825784  54.50174216],0
s1,1,0.132241,2.266001,[ 3 47] ; [  5 230],[ 1.40350877 48.59649123] ; [  6.59649123 228.40350877],0
p3,1,0.136814,2.21343,[38 12] ; [153  82],[33.50877193 16.49122807] ; [157.49122807  77.50877193],0
a8,1,0.142995,2.145431,[ 4 43] ; [ 36 175],[ 7.28682171 39.71317829] ; [ 32.71317829 178.28682171],0
a3,1,0.186036,1.748732,[37 13] ; [193  42],[40.35087719  9.64912281] ; [189.64912281  45.35087719],0
n1,1,0.209211,1.576876,[2 8] ; [15 21],[3.69565217 6.30434783] ; [13.30434783 22.69565217],0
n3,1,0.267227,1.230926,[8 2] ; [22 14],[6.52173913 3.47826087] ; [23.47826087 12.52173913],0
p11,1,0.273991,1.196659,[40 10] ; [204  33],[42.5087108  7.4912892] ; [201.4912892  35.5087108],0
p2,1,0.280764,1.16339,[48  2] ; [216  20],[46.15384615  3.84615385] ; [217.84615385  18.15384615],0
d5,1,0.304065,1.05628,[48  2] ; [231   4],[48.94736842  1.05263158] ; [230.05263158   4.94736842],0
p7,1,0.322117,0.980333,[43  6] ; [190  42],[40.62989324  8.37010676] ; [192.37010676  39.62989324],0
r3,1,0.366199,0.816522,[46  3] ; [228   8],[47.10877193  1.89122807] ; [226.89122807   9.10877193],0
r2,1,0.443727,0.586625,[48  2] ; [228   5],[48.76325088  1.23674912] ; [227.23674912   5.76325088],0
