Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000124,14.726107,[34 10] ; [ 8 18],[26.4 17.6] ; [15.6 10.4],1
p8,1,0.000264,13.310366,[30 14] ; [ 6 20],[22.62857143 21.37142857] ; [13.37142857 12.62857143],1
p11,1,0.000274,13.239265,[37  7] ; [11 15],[30.17142857 13.82857143] ; [17.82857143  8.17142857],1
a5,1,0.006234,7.481509,[33 11] ; [11 15],[27.65714286 16.34285714] ; [16.34285714  9.65714286],0
p3,1,0.013375,6.118881,[27 17] ; [ 8 18],[22. 22.] ; [13. 13.],0
d5,1,0.024021,5.093132,[28 16] ; [23  3],[32.05714286 11.94285714] ; [18.94285714  7.05714286],0
p6,1,0.026234,4.940533,[18 26] ; [ 4 22],[13.82857143 30.17142857] ; [ 8.17142857 17.82857143],0
p2,1,0.038743,4.272092,[38  6] ; [17  9],[34.57142857  9.42857143] ; [20.42857143  5.57142857],0
u1,1,0.055018,3.681527,[ 9 35] ; [ 1 25],[ 6.28571429 37.71428571] ; [ 3.71428571 22.28571429],0
p10,1,0.06572,3.386815,[39  5] ; [17  7],[36.23529412  7.76470588] ; [19.76470588  4.23529412],0
n5,1,0.116189,2.467949,[22 22] ; [ 8 18],[18.85714286 25.14285714] ; [11.14285714 14.85714286],0
u3,1,0.123324,2.374585,[8 5] ; [9 1],[9.60869565 3.39130435] ; [7.39130435 2.60869565],0
n1,1,0.134481,2.24,[2 8] ; [7 7],[3.75 6.25] ; [5.25 8.75],0
v3,1,0.161239,1.962569,[15 28] ; [ 4 18],[12.56923077 30.43076923] ; [ 6.43076923 15.56923077],0
b4,1,0.173734,1.850427,[25 19] ; [19  7],[27.65714286 16.34285714] ; [16.34285714  9.65714286],0
n3,1,0.189225,1.723644,[9 2] ; [8 6],[7.48 3.52] ; [9.52 4.48],0
a7,1,0.190255,1.71564,[35  9] ; [17  9],[32.68571429 11.31428571] ; [19.31428571  6.68571429],0
v2,1,0.217105,1.523403,[24 18] ; [ 9 13],[21.65625 20.34375] ; [11.34375 10.65625],0
n6,1,0.258753,1.275418,[29 14] ; [14 12],[26.79710145 16.20289855] ; [16.20289855  9.79710145],0
r2,1,0.272335,1.204949,[42  2] ; [23  3],[40.85714286  3.14285714] ; [24.14285714  1.85714286],0
d3,1,0.277065,1.181432,[31 13] ; [15 11],[28.91428571 15.08571429] ; [17.08571429  8.91428571],0
p9,1,0.29203,1.11024,[39  5] ; [19  5],[37.52941176  6.47058824] ; [20.47058824  3.52941176],0
a8,1,0.350595,0.871302,[ 5 38] ; [ 1 21],[ 3.96923077 39.03076923] ; [ 2.03076923 19.96923077],0
s7,1,0.368358,0.809197,[30 11] ; [15  9],[28.38461538 12.61538462] ; [16.61538462  7.38461538],0
v1,1,0.399679,0.709293,[20 24] ; [14 11],[21.68115942 22.31884058] ; [12.31884058 12.68115942],0
r4,1,0.423884,0.639522,[40  4] ; [22  4],[38.97142857  5.02857143] ; [23.02857143  2.97142857],0
p5,1,0.433013,0.614727,[ 4 40] ; [ 1 24],[ 3.1884058 40.8115942] ; [ 1.8115942 23.1884058],0
s4,1,0.434078,0.611888,[14 30] ; [ 6 20],[12.57142857 31.42857143] ; [ 7.42857143 18.57142857],0
a6,1,0.442842,0.588907,[31 13] ; [16 10],[29.54285714 14.45714286] ; [17.45714286  8.54285714],0
a3,1,0.442842,0.588907,[31 13] ; [16 10],[29.54285714 14.45714286] ; [17.45714286  8.54285714],0
a2,1,0.458032,0.550699,[10 34] ; [ 4 22],[ 8.8 35.2] ; [ 5.2 20.8],0
s6,1,0.487626,0.481761,[38  6] ; [20  5],[36.98550725  7.01449275] ; [21.01449275  3.98550725],0
u2,1,0.512091,0.429792,[9 4] ; [5 4],[8.27272727 4.72727273] ; [5.72727273 3.27272727],0
s5,1,0.544145,0.367911,[20 22] ; [10 15],[18.80597015 23.19402985] ; [11.19402985 13.80597015],0
b1,1,0.567822,0.32634,[20 24] ; [10 16],[18.85714286 25.14285714] ; [11.14285714 14.85714286],0
a4,1,0.571528,0.320133,[14 30] ; [10 16],[15.08571429 28.91428571] ; [ 8.91428571 17.08571429],0
p1,1,0.587772,0.293837,[ 7 36] ; [ 3 23],[ 6.23188406 36.76811594] ; [ 3.76811594 22.23188406],0
d1,1,0.620793,0.244755,[23 21] ; [12 14],[22. 22.] ; [13. 13.],0
b5,1,0.621546,0.243701,[28 16] ; [15 11],[27.02857143 16.97142857] ; [15.97142857 10.02857143],0
p12,1,0.630156,0.23185,[ 3 41] ; [ 1 24],[ 2.55072464 41.44927536] ; [ 1.44927536 23.55072464],0
u4,1,0.702608,0.145773,[ 1 43] ; [ 1 25],[ 1.25714286 42.74285714] ; [ 0.74285714 25.25714286],0
a1,1,0.702608,0.145773,[ 1 43] ; [ 1 25],[ 1.25714286 42.74285714] ; [ 0.74285714 25.25714286],0
v4,1,0.702608,0.145773,[43  1] ; [25  1],[42.74285714  1.25714286] ; [25.25714286  0.74285714],0
s3,1,0.754362,0.097902,[32 12] ; [18  8],[31.42857143 12.57142857] ; [18.57142857  7.42857143],0
s2,1,0.814465,0.05507,[31 13] ; [19  7],[31.42857143 12.57142857] ; [18.57142857  7.42857143],0
b2,1,0.846791,0.037332,[10 13] ; [7 8],[10.28947368 12.71052632] ; [6.71052632 8.28947368],0
b3,1,0.846791,0.037332,[10 13] ; [7 8],[10.28947368 12.71052632] ; [6.71052632 8.28947368],0
d4,1,0.856133,0.032869,[33 11] ; [20  6],[33.31428571 10.68571429] ; [19.68571429  6.31428571],0
