Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,46.574608,[25 91] ; [71 35],[50.16216216 65.83783784] ; [45.83783784 60.16216216],1
s2,1,0.0,34.953806,[36 80] ; [75 31],[58. 58.] ; [53. 53.],1
s6,1,0.0,29.332876,[59 53] ; [91 14],[77.41935484 34.58064516] ; [72.58064516 32.41935484],1
s3,1,2e-06,23.057813,[49 66] ; [79 27],[66.60633484 48.39366516] ; [61.39366516 44.60633484],1
p10,1,0.000154,14.323764,[78 38] ; [93 12],[89.75565611 26.24434389] ; [81.24434389 23.75565611],1
s5,1,0.000343,12.819915,[26 88] ; [48 57],[38.52054795 75.47945205] ; [35.47945205 69.52054795],1
p9,1,0.000402,12.523445,[81 34] ; [95 11],[91.58371041 23.41628959] ; [84.41628959 21.58371041],1
s4,1,0.001411,10.191639,[15 98] ; [33 73],[24.76712329 88.23287671] ; [23.23287671 82.76712329],0
p4,1,0.002232,9.348456,[68 49] ; [82 24],[78.69955157 38.30044843] ; [71.30044843 34.69955157],0
n1,1,0.002603,9.066471,[ 7 24] ; [14  8],[12.28301887 18.71698113] ; [ 8.71698113 13.28301887],0
p5,1,0.003178,8.70238,[  7 109] ; [20 85],[ 14.1719457 101.8280543] ; [12.8280543 92.1719457],0
p3,1,0.003555,8.498057,[50 67] ; [66 40],[60.86098655 56.13901345] ; [55.13901345 50.86098655],0
v3,1,0.005742,7.629677,[ 14 102] ; [28 77],[22.04524887 93.95475113] ; [19.95475113 85.04524887],0
a3,1,0.006133,7.510731,[67 49] ; [79 26],[76.63348416 39.36651584] ; [69.36651584 35.63348416],0
r1,1,0.012837,6.191405,[78 38] ; [86 19],[86.08144796 29.91855204] ; [77.91855204 27.08144796],0
p2,1,0.01331,6.127437,[99 17] ; [101   5],[104.5045045  11.4954955] ; [95.4954955 10.5045045],0
u3,1,0.014356,5.993771,[22 27] ; [20  7],[27.07894737 21.92105263] ; [14.92105263 12.07894737],0
b2,1,0.015841,5.820452,[19 50] ; [34 38],[25.93617021 43.06382979] ; [27.06382979 44.93617021],0
b3,1,0.015841,5.820452,[19 50] ; [34 38],[25.93617021 43.06382979] ; [27.06382979 44.93617021],0
p6,1,0.01586,5.818331,[47 68] ; [60 45],[55.93181818 59.06818182] ; [51.06818182 53.93181818],0
p12,1,0.01706,5.690216,[  3 113] ; [11 95],[  7.31531532 108.68468468] ; [ 6.68468468 99.31531532],0
n4,1,0.022951,5.172183,[79 38] ; [85 20],[86.43243243 30.56756757] ; [77.56756757 27.43243243],0
d3,1,0.023129,5.1588,[64 51] ; [74 31],[72.13636364 42.86363636] ; [65.86363636 39.13636364],0
b5,1,0.023891,5.102505,[76 41] ; [53 53],[67.68161435 49.31838565] ; [61.31838565 44.68161435],0
v4,1,0.027036,4.888525,[105  12] ; [103   3],[109.13004484   7.86995516] ; [98.86995516  7.13004484],0
a4,1,0.028334,4.807608,[38 78] ; [50 56],[45.98198198 70.01801802] ; [42.01801802 63.98198198],0
n6,1,0.028391,4.804149,[90 26] ; [94 12],[96.14414414 19.85585586] ; [87.85585586 18.14414414],0
p11,1,0.033156,4.537716,[83 34] ; [88 18],[89.71748879 27.28251121] ; [81.28251121 24.71748879],0
r3,1,0.043347,4.081822,[106  11] ; [103   3],[109.65470852   7.34529148] ; [99.34529148  6.65470852],0
n5,1,0.056971,3.623448,[77 40] ; [82 24],[83.42152466 33.57847534] ; [75.57847534 30.42152466],0
r4,1,0.081168,3.041356,[98 19] ; [97  9],[102.30941704  14.69058296] ; [92.69058296 13.30941704],0
u1,1,0.086818,2.93241,[ 10 107] ; [17 89],[ 14.16591928 102.83408072] ; [12.83408072 93.16591928],0
r2,1,0.091763,2.843175,[101  14] ; [100   6],[104.59276018  10.40723982] ; [96.40723982  9.59276018],0
p8,1,0.103588,2.649417,[70 46] ; [75 31],[75.76576577 40.23423423] ; [69.23423423 36.76576577],0
a2,1,0.118376,2.438675,[ 17 100] ; [24 82],[21.51121076 95.48878924] ; [19.48878924 86.51121076],0
a6,1,0.136909,2.212361,[75 42] ; [57 48],[69.56756757 47.43243243] ; [62.43243243 42.56756757],0
u2,1,0.141692,2.159487,[26 23] ; [19  8],[29.01315789 19.98684211] ; [15.98684211 11.01315789],0
d1,1,0.196792,1.666024,[55 62] ; [59 47],[59.81165919 57.18834081] ; [54.18834081 51.81165919],0
p1,1,0.236378,1.402068,[  7 109] ; [11 95],[  9.40540541 106.59459459] ; [ 8.59459459 97.40540541],0
a8,1,0.257249,1.2835,[13 97] ; [17 81],[15.86538462 94.13461538] ; [14.13461538 83.86538462],0
n3,1,0.272388,1.204682,[24  7] ; [14  8],[22.22641509  8.77358491] ; [15.77358491  6.22641509],0
a5,1,0.290424,1.117653,[75 42] ; [75 31],[78.69955157 38.30044843] ; [71.30044843 34.69955157],0
v1,1,0.30758,1.04104,[43 73] ; [46 59],[46.71493213 69.28506787] ; [42.28506787 62.71493213],0
d2,1,0.425613,0.634764,[53 64] ; [42 63],[50.06756757 66.93243243] ; [44.93243243 60.06756757],0
d5,1,0.42776,0.628896,[85 31] ; [81 23],[87.52727273 28.47272727] ; [78.47272727 25.52727273],0
d4,1,0.432491,0.616124,[87 30] ; [82 22],[89.47058824 27.52941176] ; [79.52941176 24.47058824],0
a7,1,0.437796,0.602053,[78 38] ; [66 40],[75.24324324 40.75675676] ; [68.75675676 37.24324324],0
b4,1,0.458798,0.548825,[61 56] ; [50 56],[58.23766816 58.76233184] ; [52.76233184 53.23766816],0
n2,1,0.492056,0.472028,[22 10] ; [17  5],[23.11111111  8.88888889] ; [15.88888889  6.11111111],0
s1,1,0.546857,0.362977,[  5 109] ; [  3 102],[  4.16438356 109.83561644] ; [  3.83561644 101.16438356],0
a1,1,0.63293,0.228109,[  5 112] ; [  6 100],[  5.77130045 111.22869955] ; [  5.22869955 100.77130045],0
b1,1,0.896283,0.016993,[54 63] ; [48 58],[53.51569507 63.48430493] ; [48.48430493 57.51569507],0
