Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2.5e-05,17.771236,[11  3] ; [ 6 31],[4.66666667 9.33333333] ; [12.33333333 24.66666667],1
v2,1,0.002274,9.314455,[9 5] ; [ 7 29],[4.48 9.52] ; [11.52 24.48],0
r3,1,0.005017,7.873246,[12  2] ; [15 21],[7.56 6.44] ; [19.44 16.56],0
s8,1,0.005564,7.686386,[ 4 10] ; [ 1 36],[ 1.37254902 12.62745098] ; [ 3.62745098 33.37254902],0
p6,1,0.006706,7.35,[5 9] ; [ 2 33],[ 2. 12.] ; [ 5. 30.],0
n6,1,0.014827,5.93692,[10  4] ; [12 24],[6.16 7.84] ; [15.84 20.16],0
b1,1,0.024089,5.08824,[ 3 11] ; [21 16],[6.58823529 7.41176471] ; [17.41176471 19.58823529],0
p2,1,0.028818,4.778439,[9 5] ; [11 25],[5.6 8.4] ; [14.4 21.6],0
s2,1,0.03735,4.334391,[5 9] ; [ 4 33],[ 2.47058824 11.52941176] ; [ 6.52941176 30.47058824],0
p11,1,0.039142,4.254688,[9 5] ; [12 25],[5.76470588 8.23529412] ; [15.23529412 21.76470588],0
r1,1,0.0446,4.033696,[8 6] ; [10 27],[4.94117647 9.05882353] ; [13.05882353 23.94117647],0
p3,1,0.045328,4.006386,[6 8] ; [ 6 31],[ 3.29411765 10.70588235] ; [ 8.70588235 28.29411765],0
p8,1,0.051537,3.790727,[6 8] ; [ 6 30],[ 3.36 10.64] ; [ 8.64 27.36],0
d3,1,0.060683,3.51863,[9 5] ; [13 24],[6.03921569 7.96078431] ; [15.96078431 21.03921569],0
u2,1,0.06399,3.430827,[4 4] ; [ 3 16],[2.07407407 5.92592593] ; [ 4.92592593 14.07407407],0
b5,1,0.072356,3.228738,[10  4] ; [16 21],[7.1372549 6.8627451] ; [18.8627451 18.1372549],0
r4,1,0.080021,3.06448,[6 8] ; [ 7 30],[ 3.56862745 10.43137255] ; [ 9.43137255 27.56862745],0
u3,1,0.136198,2.220395,[2 6] ; [ 1 18],[0.88888889 7.11111111] ; [ 2.11111111 16.88888889],0
d4,1,0.150445,2.06773,[11  3] ; [21 16],[8.78431373 5.21568627] ; [23.21568627 13.78431373],0
a5,1,0.179759,1.799617,[9 5] ; [16 21],[6.8627451 7.1372549] ; [18.1372549 18.8627451],0
b3,1,0.186449,1.745455,[1 7] ; [ 9 15],[2.5 5.5] ; [ 7.5 16.5],0
b2,1,0.186449,1.745455,[1 7] ; [ 9 15],[2.5 5.5] ; [ 7.5 16.5],0
v1,1,0.206994,1.59233,[5 9] ; [ 7 30],[ 3.29411765 10.70588235] ; [ 8.70588235 28.29411765],0
a7,1,0.242325,1.367018,[5 9] ; [20 17],[6.8627451 7.1372549] ; [18.1372549 18.8627451],0
p10,1,0.275641,1.188455,[7 7] ; [12 24],[5.32 8.68] ; [13.68 22.32],0
n4,1,0.276915,1.18217,[8 6] ; [27 10],[9.60784314 4.39215686] ; [25.39215686 11.60784314],0
s3,1,0.30474,1.053338,[6 8] ; [10 26],[4.48 9.52] ; [11.52 24.48],0
p5,1,0.306934,1.043823,[ 2 12] ; [ 2 34],[ 1.12 12.88] ; [ 2.88 33.12],0
p9,1,0.324198,0.971935,[8 6] ; [15 21],[6.44 7.56] ; [16.56 19.44],0
v3,1,0.325436,0.966975,[ 3 11] ; [ 4 33],[ 1.92156863 12.07843137] ; [ 5.07843137 31.92156863],0
n3,1,0.368066,0.810185,[2 1] ; [ 7 11],[1.28571429 1.71428571] ; [ 7.71428571 10.28571429],0
d1,1,0.374813,0.787645,[6 8] ; [11 26],[4.66666667 9.33333333] ; [12.33333333 24.66666667],0
d5,1,0.407431,0.686284,[9 5] ; [19 18],[7.68627451 6.31372549] ; [20.31372549 16.68627451],0
b4,1,0.430947,0.62027,[7 7] ; [23 14],[8.23529412 5.76470588] ; [21.76470588 15.23529412],0
p12,1,0.465994,0.531459,[ 1 13] ; [ 1 36],[ 0.54901961 13.45098039] ; [ 1.45098039 35.54901961],0
