Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,90.585799,[347   4] ; [17 10],[338.  13.] ; [26.  1.],1
r1,1,0.0,65.843446,[310  41] ; [10 21],[294.03141361  56.96858639] ; [25.96858639  5.03141361],1
r3,1,0.0,61.679136,[347   5] ; [22  9],[339.13315927  12.86684073] ; [29.86684073  1.13315927],1
v4,1,0.0,35.481227,[347   5] ; [23  6],[341.83727034  10.16272966] ; [28.16272966  0.83727034],1
s6,1,7.1e-05,15.771578,[303  43] ; [19 12],[295.52254642  50.47745358] ; [26.47745358  4.52254642],1
n6,1,0.000381,12.623654,[316  33] ; [20  9],[310.22222222  38.77777778] ; [25.77777778  3.22222222],1
n3,1,0.004711,7.987242,[53 16] ; [6 9],[48.46428571 20.53571429] ; [10.53571429  4.46428571],0
u1,1,0.014235,6.008771,[ 90 262] ; [ 2 30],[ 84.33333333 267.66666667] ; [ 7.66666667 24.33333333],0
p3,1,0.022849,5.179969,[215 136] ; [13 19],[208.95039164 142.04960836] ; [19.04960836 12.95039164],0
d1,1,0.028693,4.785924,[233 119] ; [15 17],[227.33333333 124.66666667] ; [20.66666667 11.33333333],0
a7,1,0.028997,4.767768,[252 100] ; [17 15],[246.58333333 105.41666667] ; [22.41666667  9.58333333],0
s5,1,0.029082,4.762746,[164 173] ; [ 8 21],[158.3715847 178.6284153] ; [13.6284153 15.3715847],0
a2,1,0.032493,4.572293,[107 245] ; [ 4 28],[101.75 250.25] ; [ 9.25 22.75],0
v1,1,0.038256,4.293589,[210 134] ; [12 17],[204.73994638 139.26005362] ; [17.26005362 11.73994638],0
d3,1,0.038319,4.290807,[257  93] ; [18 14],[251.96335079  98.03664921] ; [23.03664921  8.96335079],0
p4,1,0.040896,4.18031,[247 103] ; [17 15],[241.88481675 108.11518325] ; [22.11518325  9.88481675],0
p7,1,0.049056,3.873449,[252  91] ; [17 13],[247.36461126  95.63538874] ; [21.63538874  8.36461126],0
v2,1,0.086101,2.945807,[212 128] ; [15 17],[207.47311828 132.52688172] ; [19.52688172 12.47311828],0
a8,1,0.08921,2.888566,[ 59 258] ; [ 2 29],[ 55.56609195 261.43390805] ; [ 5.43390805 25.56609195],0
