Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.002251,9.332749,[56  7] ; [7 6],[52.22368421 10.77631579] ; [10.77631579  2.22368421],0
n6,1,0.00689,7.301382,[45 19] ; [4 9],[40.72727273 23.27272727] ; [8.27272727 4.72727273],0
d5,1,0.057821,3.598823,[46 17] ; [6 7],[43.10526316 19.89473684] ; [8.89473684 4.10526316],0
p6,1,0.096544,2.761718,[18 42] ; [ 1 12],[15.61643836 44.38356164] ; [3.38356164 9.61643836],0
v2,1,0.102867,2.660517,[25 39] ; [ 2 11],[22.44155844 41.55844156] ; [4.55844156 8.44155844],0
n3,1,0.114169,2.495544,[16  8] ; [1 3],[14.57142857  9.42857143] ; [2.42857143 1.57142857],0
s3,1,0.121906,2.392656,[27 36] ; [2 9],[24.68918919 38.31081081] ; [4.31081081 6.68918919],0
r2,1,0.126079,2.340128,[49 13] ; [7 5],[46.91891892 15.08108108] ; [9.08108108 2.91891892],0
a7,1,0.129551,2.297878,[43 20] ; [6 7],[40.61842105 22.38157895] ; [8.38157895 4.61842105],0
s2,1,0.138044,2.199624,[29 35] ; [ 3 10],[26.5974026 37.4025974] ; [5.4025974 7.5974026],0
u2,1,0.154398,2.028257,[15 14] ; [5 1],[16.57142857 12.42857143] ; [3.42857143 2.57142857],0
p11,1,0.166238,1.916543,[38 26] ; [5 8],[35.74025974 28.25974026] ; [7.25974026 5.74025974],0
a6,1,0.171299,1.871535,[33 31] ; [4 9],[30.75324675 33.24675325] ; [6.24675325 6.75324675],0
v1,1,0.18289,1.773981,[17 45] ; [6 7],[19.01333333 42.98666667] ; [3.98666667 9.01333333],0
d1,1,0.197689,1.659367,[27 37] ; [ 3 10],[24.93506494 39.06493506] ; [5.06493506 7.93506494],0
s5,1,0.252388,1.310036,[19 42] ; [ 2 11],[17.31081081 43.68918919] ; [3.68918919 9.31081081],0
d4,1,0.260053,1.268477,[49 15] ; [8 5],[47.37662338 16.62337662] ; [9.62337662 3.37662338],0
s6,1,0.265945,1.237541,[30 33] ; [4 9],[28.18421053 34.81578947] ; [5.81578947 7.18421053],0
b1,1,0.285725,1.139655,[29 35] ; [8 5],[30.75324675 33.24675325] ; [6.24675325 6.75324675],0
b5,1,0.358069,0.844655,[43 21] ; [7 6],[41.55844156 22.44155844] ; [8.44155844 4.55844156],0
a5,1,0.38659,0.749639,[28 36] ; [4 9],[26.5974026 37.4025974] ; [5.4025974 7.5974026],0
s8,1,0.394066,0.72636,[17 47] ; [ 2 11],[15.79220779 48.20779221] ; [3.20779221 9.79220779],0
p1,1,0.397824,0.714895,[ 5 58] ; [ 2 11],[ 5.80263158 57.19736842] ; [ 1.19736842 11.80263158],0
p9,1,0.42516,0.636008,[40 21] ; [7 6],[38.74324324 22.25675676] ; [8.25675676 4.74324324],0
v3,1,0.442812,0.588984,[13 49] ; [4 9],[14.05333333 47.94666667] ; [ 2.94666667 10.05333333],0
p7,1,0.496253,0.462939,[33 30] ; [5 7],[31.92 31.08] ; [6.08 5.92],0
b4,1,0.505087,0.444231,[36 28] ; [6 7],[34.90909091 29.09090909] ; [7.09090909 5.90909091],0
d2,1,0.506475,0.441343,[26 38] ; [4 9],[24.93506494 39.06493506] ; [5.06493506 7.93506494],0
n4,1,0.533497,0.387727,[19 45] ; [5 8],[19.94805195 44.05194805] ; [4.05194805 8.94805195],0
p4,1,0.54695,0.36281,[25 38] ; [4 9],[24.03947368 38.96052632] ; [4.96052632 8.03947368],0
s7,1,0.585799,0.296953,[19 43] ; [ 3 10],[18.18666667 43.81333333] ; [3.81333333 9.18666667],0
s4,1,0.599,0.276506,[14 50] ; [ 2 11],[13.2987013 50.7012987] ; [ 2.7012987 10.2987013],0
p10,1,0.602437,0.271336,[33 28] ; [6 7],[32.14864865 28.85135135] ; [6.85135135 6.14864865],0
b3,1,0.626162,0.237302,[13 26] ; [3 4],[13.56521739 25.43478261] ; [2.43478261 4.56521739],0
b2,1,0.626162,0.237302,[13 26] ; [3 4],[13.56521739 25.43478261] ; [2.43478261 4.56521739],0
p2,1,0.722703,0.125917,[42 21] ; [8 5],[41.44736842 21.55263158] ; [8.55263158 4.44736842],0
a4,1,0.793866,0.068275,[17 47] ; [ 3 10],[16.62337662 47.37662338] ; [3.37662338 9.62337662],0
p3,1,0.808102,0.058988,[22 41] ; [5 8],[22.38157895 40.61842105] ; [4.61842105 8.38157895],0
u3,1,0.816921,0.053596,[16 13] ; [3 3],[15.74285714 13.25714286] ; [3.25714286 2.74285714],0
p8,1,0.838851,0.041356,[22 40] ; [5 8],[22.32 39.68] ; [4.68 8.32],0
s1,1,0.847426,0.037019,[ 4 60] ; [ 1 12],[ 4.15584416 59.84415584] ; [ 0.84415584 12.15584416],0
d3,1,0.894234,0.017675,[40 23] ; [8 5],[39.78947368 23.21052632] ; [8.21052632 4.78947368],0
a3,1,0.910144,0.012737,[35 28] ; [7 6],[34.81578947 28.18421053] ; [7.18421053 5.81578947],0
a2,1,0.98824,0.000217,[ 5 59] ; [ 1 12],[ 4.98701299 59.01298701] ; [ 1.01298701 11.98701299],0
