Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,84.426752,[148  84] ; [ 22 122],[104.89361702 127.10638298] ; [65.10638298 78.89361702],1
s3,1,0.0,79.120073,[156  72] ; [ 30 113],[114.30727763 113.69272237] ; [71.69272237 71.30727763],1
s8,1,0.0,56.63429,[120 111] ; [ 20 127],[ 85.55555556 145.44444444] ; [54.44444444 92.55555556],1
s7,1,0.0,49.394672,[125 104] ; [ 24 114],[ 92.97275204 136.02724796] ; [56.02724796 81.97275204],1
s5,1,0.0,32.076872,[ 87 139] ; [ 16 126],[ 63.25543478 162.74456522] ; [ 39.74456522 102.25543478],1
v1,1,4e-05,16.85073,[118 109] ; [ 44 101],[ 98.85483871 128.14516129] ; [63.14516129 81.85483871],1
r1,1,0.000166,14.185619,[196  35] ; [100  46],[181.36870027  49.63129973] ; [114.63129973  31.36870027],1
p9,1,0.000276,13.225573,[187  39] ; [94 48],[172.57065217  53.42934783] ; [108.42934783  33.57065217],1
r4,1,0.000707,11.471904,[207  25] ; [112  35],[195.27176781  36.72823219] ; [123.72823219  23.27176781],1
s4,1,0.000782,11.283202,[ 46 181] ; [ 11 136],[ 34.59625668 192.40374332] ; [ 22.40374332 124.59625668],1
r3,1,0.001053,10.731899,[221   9] ; [127  19],[212.87234043  17.12765957] ; [135.12765957  10.87234043],0
v4,1,0.001059,10.721114,[219  11] ; [124  21],[210.37333333  19.62666667] ; [132.62666667  12.37333333],0
p7,1,0.001467,10.119262,[121  98] ; [55 89],[106.18181818 112.81818182] ; [69.81818182 74.18181818],0
p4,1,0.001539,10.031798,[103 128] ; [ 41 104],[ 88.46808511 142.53191489] ; [55.53191489 89.46808511],0
p10,1,0.003606,8.472296,[178  51] ; [92 52],[165.76407507  63.23592493] ; [104.23592493  39.76407507],0
n6,1,0.004318,8.144811,[190  40] ; [103  44],[178.75331565  51.24668435] ; [114.24668435  32.75331565],0
p2,1,0.006503,7.405357,[187  45] ; [99 46],[176.  56.] ; [110.  35.],0
p12,1,0.013711,6.075034,[ 16 215] ; [  2 144],[ 11.02917772 219.97082228] ; [  6.97082228 139.02917772],0
n2,1,0.016098,5.792189,[52 15] ; [29 22],[45.99152542 21.00847458] ; [35.00847458 15.99152542],0
n5,1,0.01687,5.709845,[168  63] ; [89 57],[157.47214854  73.52785146] ; [99.52785146 46.47214854],0
p6,1,0.017255,5.670199,[ 64 163] ; [ 25 119],[ 54.45552561 172.54447439] ; [ 34.54447439 109.45552561],0
u3,1,0.034127,4.488312,[42 24] ; [18 24],[36.66666667 29.33333333] ; [23.33333333 18.66666667],0
u1,1,0.058055,3.592102,[ 40 192] ; [ 15 132],[ 33.66754617 198.33245383] ; [ 21.33245383 125.66754617],0
d2,1,0.064352,3.421515,[108 123] ; [82 63],[116.7287234 114.2712766] ; [73.2712766 71.7287234],0
a5,1,0.094795,2.791004,[176  56] ; [100  47],[168.94986807  63.05013193] ; [107.05013193  39.94986807],0
b5,1,0.101499,2.681828,[155  77] ; [86 61],[147.52506596  84.47493404] ; [93.47493404 53.52506596],0
n4,1,0.102081,2.672727,[172  59] ; [98 49],[165.  66.] ; [105.  42.],0
p11,1,0.105787,2.616052,[174  58] ; [99 48],[167.11345646  64.88654354] ; [105.88654354  41.11345646],0
a8,1,0.132627,2.261485,[ 33 176] ; [ 14 124],[ 28.30835735 180.69164265] ; [ 18.69164265 119.30835735],0
d3,1,0.140198,2.175789,[175  57] ; [100  46],[168.78306878  63.21693122] ; [106.21693122  39.78306878],0
p8,1,0.154658,2.025694,[ 89 135] ; [47 98],[ 82.55826558 141.44173442] ; [53.44173442 91.55826558],0
u4,1,0.179338,1.803099,[  6 226] ; [  1 146],[  4.28496042 227.71503958] ; [  2.71503958 144.28496042],0
a7,1,0.180704,1.791828,[178  54] ; [103  43],[172.46560847  59.53439153] ; [108.53439153  37.46560847],0
v3,1,0.216517,1.527308,[ 79 145] ; [40 98],[ 73.63535912 150.36464088] ; [45.36464088 92.63535912],0
v2,1,0.273079,1.201215,[123  97] ; [70 70],[117.94444444 102.05555556] ; [75.05555556 64.94444444],0
n1,1,0.283625,1.149636,[27 40] ; [15 34],[24.25862069 42.74137931] ; [17.74137931 31.25862069],0
r2,1,0.291578,1.112321,[216  13] ; [129  12],[213.52702703  15.47297297] ; [131.47297297   9.52702703],0
a2,1,0.347972,0.880839,[ 57 175] ; [ 30 117],[ 53.25593668 178.74406332] ; [ 33.74406332 113.25593668],0
b1,1,0.380269,0.769831,[ 72 160] ; [52 95],[ 75.90501319 156.09498681] ; [48.09498681 98.90501319],0
n3,1,0.428949,0.625668,[46 20] ; [32 19],[44. 22.] ; [34. 17.],0
d4,1,0.435035,0.609343,[205  27] ; [125  21],[202.53968254  29.46031746] ; [127.46031746  18.53968254],0
a1,1,0.527289,0.399613,[ 11 221] ; [  5 142],[  9.79419525 222.20580475] ; [  6.20580475 140.79419525],0
b2,1,0.533147,0.38839,[43 91] ; [29 51],[45.08411215 88.91588785] ; [26.91588785 53.08411215],0
b3,1,0.533147,0.38839,[43 91] ; [29 51],[45.08411215 88.91588785] ; [26.91588785 53.08411215],0
s1,1,0.562042,0.336182,[  7 220] ; [  3 141],[  6.11859838 220.88140162] ; [  3.88140162 140.11859838],0
b4,1,0.633623,0.22718,[143  89] ; [87 60],[140.79155673  91.20844327] ; [89.20844327 57.79155673],0
a6,1,0.648622,0.207641,[159  73] ; [104  43],[160.99208443  71.00791557] ; [102.00791557  44.99208443],0
p5,1,0.65576,0.198716,[ 10 220] ; [  5 141],[  9.17553191 220.82446809] ; [  5.82446809 140.17553191],0
a4,1,0.66862,0.18322,[106 126] ; [70 76],[108.02116402 123.97883598] ; [67.97883598 78.02116402],0
p1,1,0.736605,0.113133,[  8 223] ; [  6 139],[  8.60106383 222.39893617] ; [  5.39893617 139.60106383],0
d1,1,0.778647,0.079007,[153  79] ; [99 48],[154.2585752  77.7414248] ; [97.7414248 49.2585752],0
a3,1,0.948554,0.004163,[165  67] ; [105  42],[165.27704485  66.72295515] ; [104.72295515  42.27704485],0
u2,1,0.954822,0.00321,[39 27] ; [24 17],[38.85981308 27.14018692] ; [24.14018692 16.85981308],0
