Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,79.45208,[206 136] ; [ 56 187],[153.16923077 188.83076923] ; [108.83076923 134.16923077],1
v1,1,0.0,48.777508,[230 110] ; [ 94 150],[188.63013699 151.36986301] ; [135.36986301 108.63013699],1
r3,1,1e-06,24.295649,[338   8] ; [218  31],[323.3210084  22.6789916] ; [232.6789916  16.3210084],1
p10,1,4.3e-05,16.720648,[294  49] ; [178  69],[274.4  68.6] ; [197.6  49.4],1
p11,1,8.3e-05,15.492781,[296  53] ; [179  71],[276.75292154  72.24707846] ; [198.24707846  51.75292154],1
p7,1,0.000221,13.641262,[236 103] ; [134 111],[214.77739726 124.22260274] ; [155.22260274  89.77739726],1
d1,1,0.000427,12.408385,[230 119] ; [129 121],[209.16694491 139.83305509] ; [149.83305509 100.16694491],1
p9,1,0.000483,12.178678,[299  43] ; [188  58],[283.25510204  58.74489796] ; [203.74489796  42.25510204],1
s8,1,0.000779,11.289636,[174 171] ; [ 91 158],[153.91414141 191.08585859] ; [111.08585859 137.91414141],1
s7,1,0.001285,10.364645,[187 140] ; [103 134],[168.13829787 158.86170213] ; [121.86170213 115.13829787],0
p3,1,0.001436,10.159004,[196 149] ; [108 140],[176.86340641 168.13659359] ; [127.13659359 120.86340641],0
r1,1,0.001959,9.587659,[293  55] ; [184  65],[278.05025126  69.94974874] ; [198.94974874  50.05025126],0
p2,1,0.002098,9.4615,[300  46] ; [191  57],[286.003367  59.996633] ; [204.996633  43.003367],0
s2,1,0.002208,9.368029,[181 164] ; [ 99 150],[162.62626263 182.37373737] ; [117.37373737 131.62626263],0
n6,1,0.007489,7.15172,[311  34] ; [205  43],[300.20236088  44.79763912] ; [215.79763912  32.20236088],0
n3,1,0.007592,7.127377,[48 11] ; [36 25],[41.3 17.7] ; [42.7 18.3],0
r4,1,0.007872,7.0624,[318  31] ; [210  40],[307.6327212  41.3672788] ; [220.3672788  29.6327212],0
p6,1,0.00957,6.713234,[144 196] ; [ 79 169],[128.94557823 211.05442177] ; [ 94.05442177 153.94557823],0
d4,1,0.011245,6.42619,[297  49] ; [193  55],[285.42087542  60.57912458] ; [204.57912458  43.42087542],0
a5,1,0.011407,6.400853,[280  68] ; [179  71],[267.11036789  80.88963211] ; [191.88963211  58.11036789],0
p4,1,0.011455,6.393314,[222 120] ; [136 113],[207.16751269 134.83248731] ; [150.83248731  98.16751269],0
d2,1,0.012185,6.28379,[193 153] ; [112 135],[177.95952782 168.04047218] ; [127.04047218 119.95952782],0
d5,1,0.012309,6.265833,[296  52] ; [191  57],[284.3557047  63.6442953] ; [202.6442953  45.3557047],0
d3,1,0.013745,6.070618,[244 103] ; [151  98],[229.97483221 117.02516779] ; [165.02516779  83.97483221],0
p8,1,0.014417,5.986389,[191 149] ; [114 134],[176.36054422 163.63945578] ; [128.63945578 119.36054422],0
a3,1,0.014505,5.975659,[266  81] ; [167  80],[252.94781145  94.05218855] ; [180.05218855  66.94781145],0
s1,1,0.018464,5.551622,[  7 336] ; [ 14 232],[ 12.22920204 330.77079796] ; [  8.77079796 237.22920204],0
b1,1,0.021922,5.251946,[128 221] ; [115 135],[141.58096828 207.41903172] ; [101.41903172 148.58096828],0
v4,1,0.025884,4.963723,[326  19] ; [224  26],[318.90756303  26.09243697] ; [231.09243697  18.90756303],0
a7,1,0.034587,4.465459,[256  90] ; [165  85],[244.40604027 101.59395973] ; [176.59395973  73.40604027],0
u1,1,0.041493,4.15578,[ 73 276] ; [ 36 214],[ 63.50751252 285.49248748] ; [ 45.49248748 204.50751252],0
a6,1,0.043648,4.070111,[244 102] ; [156  93],[232.60504202 113.39495798] ; [167.39495798  81.60504202],0
p12,1,0.048645,3.887549,[ 37 308] ; [ 15 232],[ 30.30405405 314.69594595] ; [ 21.69594595 225.30405405],0
s5,1,0.07501,3.169832,[113 222] ; [ 66 180],[103.20998279 231.79001721] ; [ 75.79001721 170.20998279],0
n2,1,0.103386,2.652517,[46 12] ; [43 22],[41.96747967 16.03252033] ; [47.03252033 17.96747967],0
s6,1,0.110214,2.551143,[227 116] ; [147  99],[217.79626486 125.20373514] ; [156.20373514  89.79626486],0
r2,1,0.133069,2.256333,[326  15] ; [229  18],[321.8622449  19.1377551] ; [233.1377551  13.8622449],0
u4,1,0.167786,1.902618,[ 10 339] ; [  3 247],[  7.57429048 341.42570952] ; [  5.42570952 244.57429048],0
u2,1,0.174095,1.847324,[48 32] ; [41 42],[43.6809816 36.3190184] ; [45.3190184 37.6809816],0
a2,1,0.193438,1.691238,[ 93 256] ; [ 55 195],[ 86.23038397 262.76961603] ; [ 61.76961603 188.23038397],0
u3,1,0.243949,1.357626,[48 35] ; [40 42],[44.26666667 38.73333333] ; [43.73333333 38.26666667],0
n1,1,0.340745,0.907626,[24 33] ; [32 31],[26.6 30.4] ; [29.4 33.6],0
s3,1,0.392857,0.730082,[187 153] ; [126 119],[181.91452991 158.08547009] ; [131.08547009 113.91452991],0
p5,1,0.49255,0.47095,[ 44 303] ; [ 36 210],[ 46.81281619 300.18718381] ; [ 33.18718381 212.81281619],0
n5,1,0.551786,0.354127,[297  48] ; [210  39],[294.46969697  50.53030303] ; [212.53030303  36.46969697],0
p1,1,0.657442,0.196646,[ 34 314] ; [ 27 221],[ 35.61744966 312.38255034] ; [ 25.38255034 222.61744966],0
b5,1,0.768535,0.086607,[208 141] ; [146 104],[206.25375626 142.74624374] ; [147.74624374 102.25375626],0
a8,1,0.812722,0.056129,[ 56 252] ; [ 40 190],[ 54.95910781 253.04089219] ; [ 41.04089219 188.95910781],0
b2,1,0.862021,0.030207,[ 97 139] ; [68 94],[ 97.83919598 138.16080402] ; [67.16080402 94.83919598],0
b3,1,0.862021,0.030207,[ 97 139] ; [68 94],[ 97.83919598 138.16080402] ; [67.16080402 94.83919598],0
a1,1,0.878976,0.023185,[ 22 327] ; [ 15 235],[ 21.55759599 327.44240401] ; [ 15.44240401 234.55759599],0
b4,1,0.932187,0.007241,[204 145] ; [147 103],[204.50584307 144.49415693] ; [146.49415693 103.50584307],0
a4,1,0.997983,6e-06,[163 184] ; [116 131],[162.98484848 184.01515152] ; [116.01515152 130.98484848],0
